省份,行政区划代码,年份,总人口,城镇人口,0-14岁,65岁及以上,平均家庭规模,土地调查总面积（平方公里）,人口密度（人/平方公里）,log1p人口密度,城镇化率,老龄人口占比,少儿人口占比
上海,310000,2015,2458.0,2176.0,244.04,279.33,2.41,8239.0121,2983.3673869710665,8.001143072703266,0.8852725793327909,0.11364117168429617,0.09928397070789259
上海,310000,2016,2467.0,2196.0,238.66,319.84,2.47,8239.0121,2994.291026711807,8.00479667668413,0.8901499797324686,0.12964734495338467,0.09674098094852047
上海,310000,2017,2466.0,2197.0,245.29,351.7,2.49,8239.0121,2993.0772889628356,8.004391379263227,0.8909164639091647,0.14261962692619626,0.09946877534468775
上海,310000,2018,2475.0,2206.0,243.43,370.07,2.43,8239.0121,3004.000928703576,8.00803315602203,0.8913131313131313,0.1495232323232323,0.09835555555555556
上海,310000,2019,2481.0,2214.0,248.95,403.54,2.38,8239.0121,3011.2833551974027,8.010453659925712,0.8923821039903265,0.16265215638855302,0.10034260378879484
上海,310000,2020,2488.0,2222.0,246.68,418.89,2.38,8239.0121,3019.779519440201,8.013270196081866,0.8930868167202572,0.16836414790996784,0.09914790996784566
上海,310000,2021,2489.0,2223.0,244.41,434.25,2.37,8239.0121,3020.993257189172,8.013671911589022,0.8931297709923665,0.17446765769385295,0.0981960626757734
上海,310000,2022,2475.0,2211.0,241.87,462.05,2.4,8239.0121,3004.000928703576,8.00803315602203,0.8933333333333333,0.18668686868686868,0.09772525252525252
上海,310000,2023,2487.0,2225.0,238.28,486.54,2.45,8239.0121,3018.56578169123,8.012868319134508,0.8946521913952553,0.1956332931242461,0.09581021310816244
上海,310000,2024,2480.0,2228.28,235.66,502.32,2.2,8239.0121,3010.069617448432,8.010050649253447,0.8985000000000001,0.2025483870967742,0.09502419354838709
云南,530000,2015,4663.0,2002.0,897.68,398.8,3.43,383194.1223,121.68767025996735,4.809641859788889,0.4293373364786618,0.08552434055329187,0.19251125884623632
云南,530000,2016,4677.0,2088.0,913.37,391.77,3.55,383194.1223,122.05302033151776,4.812615322098751,0.44644002565747276,0.08376523412443874,0.19528971562967715
云南,530000,2017,4693.0,2172.0,888.52,394.25,3.53,383194.1223,122.4705632704325,4.816002773571616,0.46281696143191986,0.0840080971659919,0.18932878755593438
云南,530000,2018,4703.0,2231.0,850.32,450.33,3.3,383194.1223,122.73152760725422,4.818114118446075,0.47437805655964277,0.09575377418668934,0.18080374229215396
