省份,行政区划代码,cluster,cluster_label,核心特征摘要,人口密度（人/平方公里）,城镇化率,老龄人口占比,少儿人口占比,平均家庭规模,人均可支配收入_地区总计,人均消费支出_地区总计,口粮（千克/人）,饲料粮折算值（千克/人）,log1p人口密度_最新年值,log1p人口密度_线性趋势斜率,城镇化率_最新年值,城镇化率_线性趋势斜率,老龄人口占比_最新年值,老龄人口占比_线性趋势斜率,少儿人口占比_最新年值,少儿人口占比_线性趋势斜率,平均家庭规模_最新年值,平均家庭规模_线性趋势斜率,log1p人均可支配收入_最新年值,log1p人均可支配收入_线性趋势斜率,log1p人均消费支出_最新年值,log1p人均消费支出_线性趋势斜率,口粮_最新年值,口粮_线性趋势斜率,口粮_变异系数,饲料粮_最新年值,饲料粮_线性趋势斜率,饲料粮_变异系数
内蒙古,150000,0,中密度-中收入-口粮高位上升-饲料粮高位上升,人口密度=20.85人/平方公里；收入=40077.00元；支出=28113.00元；口粮=164.80千克/人；饲料粮=177.08千克/人,20.853687262737655,0.7072989949748744,0.16039363484087102,0.1249539363484087,2.36,40077.0,28113.0,164.8,177.08,3.0843696607477096,-0.0023626690423746836,0.7072989949748744,0.009097871660226521,0.16039363484087102,0.00818103899479052,0.1249539363484087,-0.0003192994069133774,2.36,-0.03896969696969798,10.598582834314088,0.0644429938168343,10.244022951891711,0.05116368880345162,164.8,1.1339393939393678,0.045948339884309984,177.08,7.594424242424512,0.16218502393664783
吉林,220000,0,中密度-中收入-口粮高位上升-饲料粮高位上升,人口密度=121.23人/平方公里；收入=31318.00元；支出=23118.00元；口粮=144.30千克/人；饲料粮=139.50千克/人,121.23025338048535,0.6577988778593008,0.19413034095813553,0.0993094518774277,2.23,31318.0,23118.0,144.3,139.5,4.805906588768168,-0.013550878860163556,0.6577988778593008,0.008712971290823102,0.19413034095813553,0.01076714440335641,0.0993094518774277,-0.0030558314988404704,2.23,-0.06109090909091073,10.351980221114811,0.057192683526233926,10.048410069255738,0.0502481008282008,144.3,1.6060606060605962,0.059651265991671316,139.5,6.4693333333335685,0.1684921091607254
河北,130000,0,中密度-中收入-口粮高位上升-饲料粮高位上升,人口密度=391.55人/平方公里；收入=34665.00元；支出=24253.00元；口粮=147.30千克/人；饲料粮=142.82千克/人,391.54996872233255,0.6342003252914069,0.16457034426673897,0.16965302249932232,2.53,34665.0,24253.0,147.3,142.82000000000002,5.972663837966087,0.00045932280154736973,0.6342003252914069,0.012753268880057409,0.16457034426673897,0.007335337239927852,0.16965302249932232,-0.0008124263321087741,2.53,-0.07024242424242616,10.453514658501255,0.07251794218462089,10.096336831216737,0.06644796423923897,147.3,5.19818181818203,0.13215807927336162,142.82000000000002,8.702242424242785,0.22613837696365938
河南,410000,0,中密度-中收入-口粮高位上升-饲料粮高位上升,人口密度=591.11人/平方公里；收入=31552.00元；支出=21956.00元；口粮=141.90千克/人；饲料粮=157.68千克/人,591.1085935879005,0.5922003065917221,0.15036177823198774,0.19362187020950433,2.67,31552.0,21956.0,141.9,157.68,6.383690053176539,0.0008208164425967412,0.5922003065917221,0.013422440425341456,0.15036177823198774,0.006824364251066551,0.19362187020950433,-0.0007016881178319302,2.67,-0.08084848484848745,10.359423950612095,0.06790499796507168,9.996841274269336,0.06832767577781326,141.9,2.810909090909172,0.07702219043930915,157.68,10.018363636364045,0.26786154705975807
辽宁,210000,0,中密度-中收入-口粮高位上升-饲料粮高位上升,人口密度=280.62人/平方公里；收入=39844.00元；支出=25963.00元；口粮=144.50千克/人；饲料粮=174.22千克/人,280.6224479832405,0.7418002406738868,0.21902527075812273,0.09845246690734055,2.2,39844.0,25963.0,144.5,174.21999999999997,5.640567336956323,-0.0048949586952198795,0.7418002406738868,0.006897217279493554,0.21902527075812273,0.010923436404120485,0.09845246690734055,-0.0003431279146735205,2.2,-0.053515151515152896,10.592752205831848,0.05346497576135869,10.16446624215336,0.03654844148007241,144.5,2.286666666666789,0.07478182439054204,174.21999999999997,8.132666666667031,0.1810873372681712
黑龙江,230000,0,中密度-中收入-口粮高位上升-饲料粮高位上升,人口密度=66.92人/平方公里；收入=31269.00元；支出=23467.00元；口粮=134.60千克/人；饲料粮=146.26千克/人,66.91778078289401,0.6804985143611754,0.19411026741498846,0.08385605810498514,2.03,31269.0,23467.0,134.6,146.26,4.218297867483626,-0.01740992071271188,0.6804985143611754,0.008459318696351765,0.19411026741498846,0.010336326587851693,0.08385605810498514,-0.0022207607863114175,2.03,-0.07418181818182011,10.350414450451886,0.057658029165292966,10.06339307004575,0.059851765312636425,134.6,0.7648484848484887,0.0784681803587564,146.26,7.900484848485145,0.20096822414640156
上海,310000,1,高密度-高收入-口粮低位下降-饲料粮中位上升,人口密度=3010.07人/平方公里；收入=88366.00元；支出=52722.00元；口粮=93.60千克/人；饲料粮=172.26千克/人,3010.069617448432,0.8985000000000001,0.2025483870967742,0.09502419354838709,2.2,88366.0,52722.0,93.6,172.26,8.010050649253447,0.0010582507439724116,0.8985000000000001,0.0010230378577749787,0.2025483870967742,0.009472412438454557,0.09502419354838709,-0.00033481306591230377,2.2,-0.01612121212121235,11.389253875763341,0.06300560350453749,10.872807071958002,0.04319444667581917,93.6,-0.4854545454545735,0.06358327662865836,172.26,3.2681818181819424,0.06402051393200188
北京,110000,1,高密度-高收入-口粮低位下降-饲料粮中位上升,人口密度=1330.24人/平方公里；收入=85415.00元；支出=49748.00元；口粮=86.30千克/人；饲料粮=123.45千克/人,1330.2428799252577,0.8821988089784699,0.1647961520842877,0.1196243701328447,2.21,85415.0,49748.0,86.3,123.45,7.193868281030481,-0.00046484999045986385,0.8821988089784699,0.0015853688061838863,0.1647961520842877,0.0066288485005011255,0.1196243701328447,0.0019763736087858494,2.21,-0.034424242424243606,11.355288715858139,0.06233999744491764,10.814745641882208,0.03863414180940902,86.3,1.0381818181818385,0.10465124846110627,123.45,3.0722424242425523,0.09957209070900466
天津,120000,1,高密度-高收入-口粮低位下降-饲料粮中位上升,人口密度=1144.55人/平方公里；收入=53581.00元；支出=35804.00元；口粮=91.90千克/人；饲料粮=137.95千克/人,1144.5527207541165,0.8601026392961877,0.18566715542521994,0.12126099706744868,2.36,53581.0,35804.0,91.9,137.95000000000002,7.043642525063291,-0.006453267834860435,0.8601026392961877,0.003281108679118098,0.18566715542521994,0.009388934019079842,0.12126099706744868,0.002546540932951593,2.36,-0.044000000000001455,10.888968469762906,0.05868483565226113,10.48584282744104,0.03853103444480953,91.9,-3.8969696969697782,0.10424044576664178,137.95000000000002,1.7690909090909746,0.043951668020981466
云南,530000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=121.48人/平方公里；收入=29932.00元；支出=22280.00元；口粮=118.20千克/人；饲料粮=162.13千克/人,121.47889879050997,0.5410998925886145,0.12068528464017185,0.17851342642320087,2.74,29932.0,22280.0,118.2,162.12999999999997,4.807938760375878,-0.00016862660125414606,0.5410998925886145,0.011993537357144906,0.12068528464017185,0.004772071161712254,0.17851342642320087,-0.0010923284116593434,2.74,-0.07048484848485022,10.306716829702717,0.07580162875704508,10.011489576337405,0.08071712770031368,118.2,-0.4884848484848295,0.062014579745438184,162.12999999999997,5.7092727272729755,0.1341341527784184
四川,510000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=172.79人/平方公里；收入=34325.00元；支出=24878.00元；口粮=117.90千克/人；饲料粮=194.33千克/人,172.78990032372687,0.6009995217599235,0.18443328550932567,0.13973577235772358,2.51,34325.0,24878.0,117.9,194.33,5.157847100232125,0.0021264657520852727,0.6009995217599235,0.013335956559703882,0.18443328550932567,0.006330348270583417,0.13973577235772358,-0.0021664320476043274,2.51,-0.040000000000000924,10.443658363496583,0.07806692038891426,10.121779353119313,0.06585388597363172,117.9,-4.342909090909194,0.09342967933526725,194.33,3.794727272727474,0.08234342170577807
宁夏,640000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=140.32人/平方公里；收入=33355.00元；支出=22865.00元；口粮=107.70千克/人；饲料粮=87.43千克/人,140.315420712278,0.6821947873799725,0.08864197530864198,0.19117969821673525,2.84,33355.0,22865.0,107.7,87.42999999999999,4.9509944182883086,0.006838283021441004,0.6821947873799725,0.01219979065743065,0.08864197530864198,0.002093618091614495,0.19117969821673525,-0.003494647726904329,2.84,-0.04387878787878971,10.414992945206876,0.07303273218544902,10.037406370101916,0.05279838705781243,107.7,-1.4630303030302647,0.06359246947455571,87.42999999999999,2.875454545454672,0.12068963391606767
山西,140000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=219.89人/平方公里；收入=32441.00元；支出=21090.00元；口粮=116.80千克/人；饲料粮=95.40千克/人,219.8948724475257,0.6632008125362739,0.1578554846198491,0.14561520603598377,2.44,32441.0,21090.0,116.8,95.4,5.397686898058549,-0.0020956275166244083,0.6632008125362739,0.01131812672732483,0.1578554846198491,0.009026841270392582,0.14561520603598377,-0.0004643775277344521,2.44,-0.0681818181818201,10.38720915861006,0.0683018543963592,9.956601688185614,0.06102368806292242,116.8,-1.3327272727273978,0.0991997918469557,95.4,4.388727272727428,0.1609498202886327
广西,450000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=211.02人/平方公里；收入=31125.00元；支出=21150.00元；口粮=118.70千克/人；饲料粮=187.54千克/人,211.0220633270098,0.5738998603630561,0.13970676241771396,0.2070396967883503,2.95,31125.0,21150.0,118.7,187.54,5.356690341554082,0.004904441525853855,0.5738998603630561,0.010519355572431706,0.13970676241771396,0.00568520340045208,0.2070396967883503,-0.0002775169400172178,2.95,-0.060242424242426144,10.345798761764955,0.0682623601220574,9.959442464680574,0.066727444220024,118.7,-1.667878787878814,0.06426678511809812,187.54,4.489333333333514,0.08194191631892435
新疆,650000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=15.75人/平方公里；收入=30899.00元；支出=21364.00元；口粮=124.30千克/人；饲料粮=88.12千克/人,15.75472676094736,0.6035989325200153,0.06295844452916508,0.2376706061761342,3.18,30899.0,21364.0,124.3,88.11999999999999,2.8186804131450693,0.009287631354754234,0.6035989325200153,0.012539410208732619,0.06295844452916508,0.0011163406065857198,0.2376706061761342,0.0002921164887225446,3.18,-0.09757575757576124,10.338511462885837,0.06527178945208832,9.969509348078125,0.04976077896847184,124.3,-5.783636363636451,0.12408585150272929,88.11999999999999,1.9821818181819044,0.08718061836551537
湖北,420000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=313.84人/平方公里；收入=36947.00元；支出=27888.00元；口粮=99.30千克/人；饲料粮=144.58千克/人,313.84417408125097,0.6635001714089819,0.17294480630785053,0.1428025368529311,2.6,36947.0,27888.0,99.3,144.57999999999996,5.75207783097207,-0.0012534625850703677,0.6635001714089819,0.010004180275167878,0.17294480630785053,0.0076104523020502956,0.1428025368529311,-0.0010522151021195834,2.6,-0.03806060606060692,10.5172667977125,0.06670346050777028,10.23598762483351,0.0735492553225136,99.3,-0.5587878787878756,0.08375457951111778,144.57999999999996,5.058181818182097,0.13480640889944706
甘肃,620000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=60.83人/平方公里；收入=26612.00元；支出=19829.00元；口粮=131.40千克/人；饲料粮=97.41千克/人,60.82790191560308,0.568299430431245,0.10576484947111474,0.19368185516680228,2.77,26612.0,19829.0,131.4,97.40999999999998,4.124354749881411,-0.0028768547303330175,0.568299430431245,0.013457481330994892,0.10576484947111474,0.004391538655591016,0.19368185516680228,0.0005342340096747393,2.77,-0.05727272727272864,10.189155097188696,0.07571108431563897,9.89495122151384,0.06305651252867911,131.4,-2.0806060606061276,0.06472084976903311,97.40999999999998,3.4269090909092346,0.1262232151246957
贵州,520000,2,低密度-低收入-口粮低位下降-饲料粮低位上升,人口密度=219.13人/平方公里；收入=28561.00元；支出=20871.00元；口粮=119.50千克/人；饲料粮=136.60千克/人,219.1283542864916,0.5665,0.1290362694300518,0.21896113989637306,2.83,28561.0,20871.0,119.5,136.6,5.394210804799041,0.003941396720413387,0.5665,0.014989774154976347,0.1290362694300518,0.003979338085668854,0.21896113989637306,0.0007115517972930091,2.83,-0.03921212121212221,10.259832442012879,0.08285733048059042,9.946163826816564,0.07482508465668648,119.5,-0.741818181818102,0.06671472793570611,136.6,1.883636363636532,0.08334475561712311
