省份,行政区划代码,年份,人均可支配收入_地区总计,人均消费支出_地区总计,log1p人均可支配收入,log1p人均消费支出
上海,310000,2015,49867.0,34784.0,10.817134793464865,10.456941538357741
上海,310000,2016,54305.0,37458.0,10.902389997055225,10.531002280500273
上海,310000,2017,58988.0,39792.0,10.985106264827667,10.59144629640695
上海,310000,2018,64183.0,43351.0,11.069509237433492,10.67710811724595
上海,310000,2019,69442.0,45605.0,11.148261551165996,10.727794565794095
上海,310000,2020,72232.0,42536.0,11.187652284171028,10.658129564405668
上海,310000,2021,78027.0,48879.0,11.264823015614823,10.797123593845477
上海,310000,2022,79610.0,46045.0,11.284907553239758,10.737396175804315
上海,310000,2023,84834.0,52508.0,11.34846347247704,10.868739862458945
上海,310000,2024,88366.0,52722.0,11.389253875763341,10.872807071958002
云南,530000,2015,15223.0,11005.0,9.630628408975985,9.306195857619704
云南,530000,2016,16720.0,11769.0,9.724420693462669,9.373309200254322
云南,530000,2017,18348.0,12658.0,9.817330356084954,9.446123703636829
云南,530000,2018,20084.0,14250.0,9.907728546793383,9.564582358673212
云南,530000,2019,22082.0,15780.0,10.002563360726816,9.666561963748133
云南,530000,2020,23295.0,16792.0,10.056036950996413,9.728717411895008
云南,530000,2021,25666.0,18851.0,10.152961399096368,9.844374288043621
云南,530000,2022,26937.0,18951.0,10.20129320815876,9.849664745838622
云南,530000,2023,28421.0,20995.0,10.254918772151807,9.95208722237219
云南,530000,2024,29932.0,22280.0,10.306716829702717,10.011489576337405
内蒙古,150000,2015,22310.0,17179.0,10.01283510937141,9.751501195538246
内蒙古,150000,2016,24127.0,18072.0,10.091128270807683,9.802174390835638
内蒙古,150000,2017,26212.0,18946.0,10.174010749897112,9.849400886632361
内蒙古,150000,2018,28376.0,19665.0,10.25333423688128,9.886646535340102
内蒙古,150000,2019,30555.0,20743.0,10.32731634466125,9.9400123272185
内蒙古,150000,2020,31497.0,19794.0,10.357679330734525,9.89318465954023
内蒙古,150000,2021,34108.0,22658.0,10.437316558067081,10.028312402981557
内蒙古,150000,2022,35921.0,22298.0,10.489105200153407,10.012297113393403
内蒙古,150000,2023,38130.0,27025.0,10.548782878576425,10.204554644598032
内蒙古,150000,2024,40077.0,28113.0,10.598582834314088,10.244022951891711
北京,110000,2015,48458.0,33803.0,10.788473358581868,10.428334417664374
北京,110000,2016,52530.0,35416.0,10.86915875050772,10.47494720983897
北京,110000,2017,57230.0,37425.0,10.954850988603628,10.530120929037734
北京,110000,2018,62361.0,39843.0,11.040711394498347,10.592727108265056
北京,110000,2019,67756.0,43038.0,11.123683054437908,10.669861960365004
北京,110000,2020,69434.0,38903.0,11.148146342133481,10.568852352083622
北京,110000,2021,75002.0,43640.0,11.225283391718468,10.683752354441571
北京,110000,2022,77415.0,42683.0,11.256948756560778,10.661579421736455
北京,110000,2023,81752.0,47586.0,11.311457785333879,10.770314893674692
北京,110000,2024,85415.0,49748.0,11.355288715858139,10.814745641882208
吉林,220000,2015,18684.0,13764.0,9.835476341919584,9.529884417576708
吉林,220000,2016,19967.0,14773.0,9.901886271169154,9.600624158088683
吉林,220000,2017,21368.0,15632.0,9.969696552646463,9.657139343577324
吉林,220000,2018,22798.0,17200.0,10.034471954331547,9.75272280064639
吉林,220000,2019,24563.0,18075.0,10.10903723544929,9.802340370531171
吉林,220000,2020,25751.0,17318.0,10.156267572978644,9.759559443729044
吉林,220000,2021,27770.0,19605.0,10.23174758973532,9.883590920821671
吉林,220000,2022,27975.0,17898.0,10.239102278743212,9.7925001243465
吉林,220000,2023,29797.0,21411.0,10.302196556147285,9.971706791513272
吉林,220000,2024,31318.0,23118.0,10.351980221114811,10.048410069255738
四川,510000,2015,17221.0,13632.0,9.753942915256111,9.520248603186129
四川,510000,2016,18808.0,14839.0,9.842090757670805,9.605081516721372
四川,510000,2017,20580.0,16180.0,9.93212359907246,9.691592993399809
四川,510000,2018,22461.0,17664.0,10.019580271522981,9.779340559793246
四川,510000,2019,24703.0,19338.0,10.114720452824503,9.8698790613623
四川,510000,2020,26522.0,19783.0,10.185767560073915,9.892628809201252
四川,510000,2021,29080.0,21518.0,10.277840318951666,9.976691544794544
四川,510000,2022,30679.0,22302.0,10.331366255481193,10.012476477547958
四川,510000,2023,32514.0,23550.0,10.389456800303252,10.066923561388053
四川,510000,2024,34325.0,24878.0,10.443658363496583,10.121779353119313
天津,120000,2015,31291.0,24162.0,10.35111775280497,10.092577816525454
天津,120000,2016,34074.0,26129.0,10.436319256564733,10.170839358514659
天津,120000,2017,37022.0,27841.0,10.519294620121293,10.234300950948512
天津,120000,2018,39506.0,29903.0,10.58423315037833,10.305747529695344
天津,120000,2019,42404.0,31854.0,10.6550215587958,10.368949634550589
天津,120000,2020,43854.0,28461.0,10.688644016385481,10.256325143243606
天津,120000,2021,47449.0,33188.0,10.767431804038074,10.40997377470302
天津,120000,2022,48976.0,31324.0,10.799106079140744,10.35217177976427
天津,120000,2023,51271.0,34914.0,10.844900073184062,10.460671815280136
天津,120000,2024,53581.0,35804.0,10.888968469762906,10.48584282744104
宁夏,640000,2015,17329.0,13816.0,9.760194382709651,9.53365499705667
宁夏,640000,2016,18832.0,14965.0,9.843365929194746,9.613536240640304
宁夏,640000,2017,20562.0,15350.0,9.931248623321519,9.638935897473202
宁夏,640000,2018,22400.0,16715.0,10.016860879703811,9.724121623567806
宁夏,640000,2019,24412.0,18297.0,10.102871056285998,9.81454704323948
宁夏,640000,2020,25735.0,17506.0,10.155646068918863,9.770356079932933
宁夏,640000,2021,27904.0,20024.0,10.236561163222534,9.90473677193656
宁夏,640000,2022,29599.0,19136.0,10.295529640312152,9.859378912910065
宁夏,640000,2023,31604.0,21629.0,10.3610706149064,9.981836518947105
宁夏,640000,2024,33355.0,22865.0,10.414992945206876,10.037406370101916
安徽,340000,2015,18363.0,12840.0,9.818147505369113,9.460398455831275
安徽,340000,2016,19998.0,14712.0,9.903437551286085,9.596486735697948
安徽,340000,2017,21863.0,15752.0,9.992596727607904,9.66478610230597
安徽,340000,2018,23984.0,17045.0,10.085183913936165,9.743670851082243
安徽,340000,2019,26415.0,19137.0,10.181725166159909,9.859431166339208
安徽,340000,2020,28103.0,18877.0,10.243667193945663,9.84575250188489
安徽,340000,2021,30904.0,21911.0,10.338673262093375,9.994789710942914
安徽,340000,2022,32745.0,22542.0,10.396536096199437,10.023179875454133
安徽,340000,2023,34893.0,23607.0,10.460070173639847,10.069340916622775
安徽,340000,2024,36782.0,24996.0,10.512791060900497,10.126511096649761
山东,370000,2015,22703.0,14578.0,10.030296399399823,9.587337416104821
山东,370000,2016,24685.0,15926.0,10.113991560303875,9.675771061251782
山东,370000,2017,26930.0,17281.0,10.201033318424798,9.757420776401345
山东,370000,2018,29205.0,18780.0,10.282129446600417,9.840600999480937
山东,370000,2019,31597.0,20427.0,10.360849106432795,9.924661787767535
山东,370000,2020,32886.0,20940.0,10.400832721888241,9.949464238776152
山东,370000,2021,35705.0,22821.0,10.483074020872907,10.035480261994625
山东,370000,2022,37560.0,22640.0,10.533721557035943,10.027517700952979
山东,370000,2023,39890.0,24293.0,10.593906013524816,10.097984685260217
山东,370000,2024,42077.0,25645.0,10.647280317764965,10.152142893019061
山西,140000,2015,17853.7,11729.1,9.790022057871152,9.369913466760373
山西,140000,2016,19048.9,12682.9,9.854817131197237,9.448088751678878
山西,140000,2017,20420.0,13664.4,9.92431906211606,9.522622369796178
山西,140000,2018,21990.1,14810.1,9.99839310503532,9.603132178642753
山西,140000,2019,23828.5,15862.6,10.078679587917145,9.671782455560011
山西,140000,2020,25213.7,15732.7,10.135182436760095,9.663560187718723
山西,140000,2021,27426.0,17191.0,10.219283208646708,9.752199438322346
山西,140000,2022,29178.0,17537.0,10.281204551441567,9.7721252343393
山西,140000,2023,30924.0,19756.0,10.339320197260689,9.891263137913406
山西,140000,2024,32441.0,21090.0,10.38720915861006,9.956601688185614
广东,440000,2015,27858.9,20976.0,10.234943657951906,9.95118187839879
广东,440000,2016,30295.8,23448.0,10.318797375359216,10.062583129041906
广东,440000,2017,33003.3,24820.0,10.404393134990219,10.119445348035613
广东,440000,2018,35809.9,26054.0,10.48600759532117,10.167964967343314
广东,440000,2019,39014.3,28995.0,10.571709155871549,10.274913168420769
广东,440000,2020,41028.6,28492.0,10.622049036424539,10.257413722053586
广东,440000,2021,44993.0,31589.0,10.714284426529444,10.36059589379613
广东,440000,2022,47065.0,32169.0,10.759306150966905,10.378789620233071
广东,440000,2023,49327.0,34331.0,10.806247150125932,10.44383314283811
广东,440000,2024,51474.0,35818.0,10.84885153189599,10.486233757860406
广西,450000,2015,16873.0,11401.0,9.733529254725571,9.341544057591527
广西,450000,2016,18305.0,12295.0,9.814984153944724,9.417029285218431
广西,450000,2017,19905.0,13424.0,9.89877647280601,9.504873919377065
广西,450000,2018,21485.0,14935.0,9.975156839226488,9.611529685221559
广西,450000,2019,23328.0,16418.0,10.057452500830639,9.706194479812028
广西,450000,2020,24562.0,16357.0,10.108996524638528,9.702472353294919
广西,450000,2021,26727.0,18088.0,10.193466984036592,9.803059297701635
广西,450000,2022,27981.0,18343.0,10.23931672529323,9.81705782453774
广西,450000,2023,29514.0,19749.0,10.29265388767479,9.890908770329268
广西,450000,2024,31125.0,21150.0,10.345798761764955,9.959442464680574
新疆,650000,2015,16859.0,12867.0,9.732699231555847,9.462498888358917
新疆,650000,2016,18355.0,14066.0,9.817711775514724,9.551586907757695
新疆,650000,2017,19975.0,15087.0,9.902286831959609,9.621655004873238
新疆,650000,2018,21500.0,16189.0,9.975854724662028,9.69214904667168
新疆,650000,2019,23103.0,17397.0,10.047761041692553,9.764110536067486
新疆,650000,2020,23845.0,16512.0,10.079371767366077,9.711903228462988
新疆,650000,2021,26075.0,18961.0,10.16877063004443,9.850192255477904
新疆,650000,2022,27063.0,17927.0,10.205959710460544,9.794119015480764
新疆,650000,2023,28947.0,19715.0,10.273256395986019,9.889185767825268
新疆,650000,2024,30899.0,21364.0,10.338511462885837,9.969509348078125
江苏,320000,2015,29539.0,20556.0,10.293500556085371,9.930956794525674
江苏,320000,2016,32070.0,22130.0,10.375707473990893,10.004734619552412
江苏,320000,2017,35024.0,23469.0,10.463817371205208,10.063478288845069
江苏,320000,2018,38096.0,25007.0,10.547890817857143,10.126951052661259
江苏,320000,2019,41400.0,26697.0,10.63106031411106,10.192343935215678
江苏,320000,2020,43390.0,26225.0,10.678007325311796,10.17450656409137
江苏,320000,2021,47498.0,31451.0,10.768463937169544,10.356217853111406
江苏,320000,2022,49862.0,32848.0,10.81703452373922,10.399676582049104
江苏,320000,2023,52674.0,35491.0,10.87189623867239,10.477062597955229
江苏,320000,2024,55415.0,37346.0,10.92262363970244,10.528007866049895
江西,360000,2015,18437.0,12403.0,9.82216903135854,9.42577428022034
江西,360000,2016,20110.0,13259.0,9.909022208034603,9.492507263739853
江西,360000,2017,22031.0,14459.0,10.000251220968437,9.579141495712756
江西,360000,2018,24080.0,15792.0,10.089178426799686,9.667322082870054
江西,360000,2019,26262.0,17650.0,10.175916383525095,9.77854771798028
江西,360000,2020,28017.0,17955.0,10.24060243975606,9.795679599901822
江西,360000,2021,30610.0,20290.0,10.329114700468233,9.917932716967623
江西,360000,2022,32419.0,21708.0,10.386530795289667,9.985482200088756
江西,360000,2023,34242.0,23379.0,10.441237443239979,10.05963623502606
江西,360000,2024,36007.0,24726.0,10.491496414972769,10.115651043007174
河北,130000,2015,18118.0,13031.0,9.804716390436107,9.475163150281881
河北,130000,2016,19725.0,14247.0,9.88969284151394,9.564371824969498
河北,130000,2017,21484.0,15437.0,9.975110296209095,9.6445872815098
河北,130000,2018,23446.0,16722.0,10.062497833920736,9.724540296381123
河北,130000,2019,25665.0,17987.0,10.152922437804406,9.797460147890598
河北,130000,2020,27136.0,18037.0,10.208653389327727,9.800235922725653
河北,130000,2021,29383.0,19954.0,10.288205587499503,9.901235017482835
河北,130000,2022,30867.0,20890.0,10.337475327577494,9.947073723199049
河北,130000,2023,32903.0,22920.0,10.40134950991026,10.039808799894367
河北,130000,2024,34665.0,24253.0,10.453514658501255,10.096336831216737
河南,410000,2015,17125.0,11835.0,9.748353055586138,9.3789010135201
河南,410000,2016,18443.0,12712.0,9.822494393326597,9.450380370950123
河南,410000,2017,20170.0,13730.0,9.912001208301334,9.527411329321751
河南,410000,2018,21964.0,15169.0,9.99720555640988,9.627075072342578
河南,410000,2019,23903.0,16332.0,10.081801087932543,9.70094288005314
河南,410000,2020,24810.0,16143.0,10.119042382201663,9.68930374259339
河南,410000,2021,26811.0,18391.0,10.196604827477849,9.819671066443018
河南,410000,2022,28222.0,19019.0,10.247892527339829,9.853246336099382
河南,410000,2023,29933.0,21011.0,10.306750237089092,9.952848982073853
河南,410000,2024,31552.0,21956.0,10.359423950612095,9.996841274269336
浙江,330000,2015,35537.0,24117.0,10.47835782550502,10.090713728663538
浙江,330000,2016,38529.0,25527.0,10.559192437620203,10.14753116795808
浙江,330000,2017,42046.0,27079.0,10.646543319217491,10.206550727026212
浙江,330000,2018,45840.0,29471.0,10.732934166159403,10.291195939055033
浙江,330000,2019,49899.0,32026.0,10.81777628173961,10.374334576024932
浙江,330000,2020,52397.0,31295.0,10.866623701641787,10.351245572834545
浙江,330000,2021,57541.0,36668.0,10.960270394930397,10.509686990445372
浙江,330000,2022,60302.0,38971.0,11.007137132721505,10.570598718545233
浙江,330000,2023,63830.0,42194.0,11.063994244741828,10.650057009592066
浙江,330000,2024,67013.0,45107.0,11.11265683176888,10.71681489335218
海南,460000,2015,18979.0,13575.0,9.85114107216392,9.516058806914062
海南,460000,2016,20653.0,14275.0,9.935664284231349,9.566335084610051
海南,460000,2017,22553.0,15403.0,10.023667712792234,9.6423824949348
海南,460000,2018,24579.0,17528.0,10.109688383120027,9.771611931222546
海南,460000,2019,26679.0,19555.0,10.19166950002956,9.881037423698537
海南,460000,2020,27904.0,18972.0,10.236561163222534,9.850772194864133
海南,460000,2021,30457.0,22242.0,10.324103964411636,10.00978263135373
海南,460000,2022,30957.0,21500.0,10.340386726133822,9.975854724662028
海南,460000,2023,33192.0,23752.0,10.410094289300497,10.075464117275093
海南,460000,2024,34829.0,25908.0,10.458234363360047,10.162345677674331
湖北,420000,2015,20026.0,14316.0,9.904836642105424,9.569202921360327
湖北,420000,2016,21787.0,15889.0,9.989114638503565,9.673445259530762
湖北,420000,2017,23757.0,16938.0,10.075674594849485,9.737373934586381
湖北,420000,2018,25815.0,19538.0,10.158749733731797,9.88016774721451
湖北,420000,2019,28319.0,21567.0,10.251323547807656,9.978966013712034
湖北,420000,2020,27881.0,19246.0,10.235736598313034,9.865110483415124
湖北,420000,2021,30829.0,23846.0,10.336243520880195,10.079413702241222
湖北,420000,2022,32914.0,24828.0,10.401683759901976,10.119767603828935
湖北,420000,2023,35146.0,27106.0,10.467294545090018,10.207547276096449
湖北,420000,2024,36947.0,27888.0,10.5172667977125,10.23598762483351
湖南,430000,2015,19317.0,14267.0,9.86879258273924,9.565774546478782
湖南,430000,2016,21115.0,15750.0,9.957786325943507,9.664659134301736
湖南,430000,2017,23103.0,17160.0,10.047761041692553,9.750394646402302
湖南,430000,2018,25241.0,18808.0,10.136264552818576,9.842090757670805
湖南,430000,2019,27680.0,20479.0,10.228501536246666,9.927204079153444
湖南,430000,2020,29380.0,20998.0,10.288103485908332,9.952230096524119
湖南,430000,2021,31993.0,22798.0,10.373303664201542,10.034471954331547
湖南,430000,2022,34036.0,24083.0,10.43520344719362,10.089302998584339
湖南,430000,2023,35895.0,25462.0,10.488381147655819,10.144981697062931
湖南,430000,2024,37679.0,26760.0,10.5368847286903,10.194700882751727
甘肃,620000,2015,13466.6,10950.8,9.50804207981021,9.301259105296793
甘肃,620000,2016,14670.3,12254.2,9.593648483434427,9.413705615698486
甘肃,620000,2017,16011.0,13120.1,9.681093720112464,9.481976900446996
甘肃,620000,2018,17488.4,14624.0,9.769350262106883,9.590487672100057
甘肃,620000,2019,19139.0,15879.1,9.859535665006945,9.672822032010519
甘肃,620000,2020,20335.1,16174.9,9.920152910805028,9.691277759243123
甘肃,620000,2021,22066.0,17456.0,10.001838558883081,9.76749599332478
甘肃,620000,2022,23273.0,17489.0,10.055092136668023,9.769384568012647
甘肃,620000,2023,25011.0,19013.0,10.127110988687189,9.852930828918975
甘肃,620000,2024,26612.0,19829.0,10.189155097188696,9.89495122151384
福建,350000,2015,25404.4,18850.2,10.142717028835982,9.844331851327368
福建,350000,2016,27607.9,20167.5,10.22589346349309,9.911877260309751
福建,350000,2017,30047.7,21249.3,10.310574677796279,9.96412629189997
福建,350000,2018,32643.9,22996.0,10.3934439203598,10.043119051621321
福建,350000,2019,35616.1,25314.3,10.480581138593847,10.139164235015205
福建,350000,2020,37202.4,25125.8,10.52415543393417,10.131690284586272
福建,350000,2021,40659.0,28440.0,10.613000087182337,10.25558704504304
福建,350000,2022,43118.0,30042.0,10.671719014219342,10.310384967735917
福建,350000,2023,45426.0,31869.0,10.723861920913743,10.369420407411383
福建,350000,2024,47857.0,33876.0,10.775993572039262,10.430491597029581
西藏,540000,2015,12254.0,8246.0,9.413689295962213,9.017604776833355
