省份,行政区划代码,log1p人口密度_最新年值,log1p人口密度_线性趋势斜率,城镇化率_最新年值,城镇化率_线性趋势斜率,老龄人口占比_最新年值,老龄人口占比_线性趋势斜率,少儿人口占比_最新年值,少儿人口占比_线性趋势斜率,平均家庭规模_最新年值,平均家庭规模_线性趋势斜率,log1p人均可支配收入_最新年值,log1p人均可支配收入_线性趋势斜率,log1p人均消费支出_最新年值,log1p人均消费支出_线性趋势斜率,口粮_最新年值,口粮_线性趋势斜率,口粮_变异系数,饲料粮_最新年值,饲料粮_线性趋势斜率,饲料粮_变异系数
上海,310000,1.8654986112537282,-0.045842316178151016,2.2930427990696205,-2.7339268075876797,1.4068575906644947,1.317839186928203,-1.6704474070582687,0.07128771191030223,-1.3000260473723004,1.8787393720538792,2.7724401303245023,-0.7971880590989662,2.6012562015188307,-1.447053956069032,-1.5372860672627306,0.05969037775634459,-0.33564660153859033,0.31676280097342385,-0.8896419529793793,-1.5543386439898577
云南,530000,-0.3864881495718088,-0.2406127271565545,-1.259835072371911,0.54730700094764,-0.8840702024378361,-0.663489825831802,0.562844660559024,-0.4149219454664067,0.6712091005454821,-0.695777960821238,-0.8719033773221956,0.5493165168136421,-0.684586808357519,1.4711351605472085,-0.23237249324830647,0.05887185497520181,-0.3744791043000059,0.08724498281540631,-0.04439519134194577,-0.18724681774435908
内蒙古,150000,-1.5986427926411944,-0.588923460600079,0.39233318632956166,-0.3187753669053723,0.22716257964792877,0.773488145249654,-0.8698428874151345,0.08124512184117103,-0.7159563739151807,0.7966958553382432,0.11065882032167686,-0.6459338536181802,0.20250554784446648,-0.8272753312592674,2.2395369599660087,0.4971089520058394,-0.7721928439309023,0.4259706868097168,0.6083532202160096,0.3596955077492923
北京,110000,1.291492470480916,-0.2876390672234656,2.130994328301056,-2.5657358041050204,0.35036642619042047,0.11919521658866129,-1.0124059167210466,1.554718097245167,-1.2635216927812312,1.0119565018996937,2.658096967254798,-0.8672286840076779,2.3797574567144997,-1.8017149681892195,-1.9245165180881487,0.4712436321213384,0.6809756322708966,-0.7891369724019768,-0.9574874959649702,-0.8611458384011652
吉林,220000,-0.38791733871794226,-2.3650848941791986,-0.09974240930324185,-0.433897573061689,1.1712797138933497,1.863605941887271,-1.5558190519470505,-1.675192339507037,-1.1905129835990909,-0.25090595792755216,-0.7195249000894647,-1.408872015307611,-0.5437386957930791,-0.8984818333462977,1.1521089816206556,0.6246348013098693,-0.4329820495476906,-0.4254883069097583,0.21878172006612645,0.48267250336861045
四川,510000,-0.14040401004009379,0.12373997903084591,-0.6643789922612925,0.948819372641975,0.8999089354561439,-0.006631214095833995,-0.474436725833533,-1.10433314188893,-0.1683910550491304,0.74790344211765,-0.410891912241204,0.787689409012386,-0.2638419681072435,0.3152009612791541,-0.24828607341921394,-0.9822563817433692,0.40318989894806256,0.8168080375723815,-0.707321483613802,-1.197074381818992
天津,120000,1.1858414422491368,-1.2383181299694817,1.9113385680484867,-2.058546591629081,0.9344386173099869,1.282650632627928,-0.9686270266193687,1.9206788145909444,-0.7159563739151807,0.5584740731435411,1.0882373790535087,-1.2518553147302482,1.1250250040995815,-1.8097337659137427,-1.6274630215645398,-0.8618025692685214,0.6708063657045971,-0.4606070253840843,-1.4087138693878822,-1.9456456087764762
宁夏,640000,-0.2858797202414687,0.8717549208489183,0.1427748291986376,0.6089965623079445,-1.780797857848806,-1.79253481738588,0.9016606174046222,-1.9568456275838113,1.0362526464561812,0.5642143570518289,-0.5073935806305003,0.25795010964340037,-0.5857167446905018,-0.7001426604430951,-0.7893477992300727,-0.2043650714443988,-0.33541903608760176,-1.6052506752698716,-1.0256268334453968,-0.44939113298642114
安徽,340000,0.5096328232371914,0.11763372037428536,-0.41883585319363,0.7388483111285253,0.12811989922379546,-0.2517572932116072,0.23393632439778678,-0.35269417787728385,-0.35091282800448,-1.4420148689009793,-0.17815780132381365,0.8573859101029183,-0.24579082380435663,0.772755021584956,0.6216563092570688,0.22748754789322734,-1.0005080994541626,0.840371564806768,1.1018860008950049,0.6986925605413609
山东,370000,0.7795052310939277,0.16597303628934557,-0.030148915789965973,-0.17990561733210028,0.7015786549425158,0.3125739151711916,0.2781663278617761,0.6055218271134747,-0.4604258917776894,0.8196569909714723,0.274598113021869,-0.2725830501409208,-0.14800799765851738,-0.09355654987734863,-1.2614506776336654,-0.043116083556764315,-0.005969187321390007,0.18535082216626741,0.7542012015800471,0.8383807451091672
