省份,行政区划代码,log1p人口密度_最新年值,log1p人口密度_线性趋势斜率,城镇化率_最新年值,城镇化率_线性趋势斜率,老龄人口占比_最新年值,老龄人口占比_线性趋势斜率,少儿人口占比_最新年值,少儿人口占比_线性趋势斜率,平均家庭规模_最新年值,平均家庭规模_线性趋势斜率,log1p人均可支配收入_最新年值,log1p人均可支配收入_线性趋势斜率,log1p人均消费支出_最新年值,log1p人均消费支出_线性趋势斜率,口粮_最新年值,口粮_线性趋势斜率,口粮_变异系数,饲料粮_最新年值,饲料粮_线性趋势斜率,饲料粮_变异系数
上海,310000,8.010050649253447,0.0010582507439724116,0.8985000000000001,0.0010230378577749787,0.2025483870967742,0.009472412438454557,0.09502419354838709,-0.00033481306591230377,2.2,-0.01612121212121235,11.389253875763341,0.06300560350453749,10.872807071958002,0.04319444667581917,93.6,-0.4854545454545735,0.06358327662865836,172.26,3.2681818181819424,0.06402051393200188
云南,530000,4.807938760375878,-0.00016862660125414606,0.5410998925886145,0.011993537357144906,0.12068528464017185,0.004772071161712254,0.17851342642320087,-0.0010923284116593434,2.74,-0.07048484848485022,10.306716829702717,0.07580162875704508,10.011489576337405,0.08071712770031368,118.2,-0.4884848484848295,0.062014579745438184,162.12999999999997,5.7092727272729755,0.1341341527784184
内蒙古,150000,3.0843696607477096,-0.0023626690423746836,0.7072989949748744,0.009097871660226521,0.16039363484087102,0.00818103899479052,0.1249539363484087,-0.0003192994069133774,2.36,-0.03896969696969798,10.598582834314088,0.0644429938168343,10.244022951891711,0.05116368880345162,164.8,1.1339393939393678,0.045948339884309984,177.08,7.594424242424512,0.16218502393664783
北京,110000,7.193868281030481,-0.00046484999045986385,0.8821988089784699,0.0015853688061838863,0.1647961520842877,0.0066288485005011255,0.1196243701328447,0.0019763736087858494,2.21,-0.034424242424243606,11.355288715858139,0.06233999744491764,10.814745641882208,0.03863414180940902,86.3,1.0381818181818385,0.10465124846110627,123.45,3.0722424242425523,0.09957209070900466
吉林,220000,4.805906588768168,-0.013550878860163556,0.6577988778593008,0.008712971290823102,0.19413034095813553,0.01076714440335641,0.0993094518774277,-0.0030558314988404704,2.23,-0.06109090909091073,10.351980221114811,0.057192683526233926,10.048410069255738,0.0502481008282008,144.3,1.6060606060605962,0.059651265991671316,139.5,6.4693333333335685,0.1684921091607254
四川,510000,5.157847100232125,0.0021264657520852727,0.6009995217599235,0.013335956559703882,0.18443328550932567,0.006330348270583417,0.13973577235772358,-0.0021664320476043274,2.51,-0.040000000000000924,10.443658363496583,0.07806692038891426,10.121779353119313,0.06585388597363172,117.9,-4.342909090909194,0.09342967933526725,194.33,3.794727272727474,0.08234342170577807
天津,120000,7.043642525063291,-0.006453267834860435,0.8601026392961877,0.003281108679118098,0.18566715542521994,0.009388934019079842,0.12126099706744868,0.002546540932951593,2.36,-0.044000000000001455,10.888968469762906,0.05868483565226113,10.48584282744104,0.03853103444480953,91.9,-3.8969696969697782,0.10424044576664178,137.95000000000002,1.7690909090909746,0.043951668020981466
宁夏,640000,4.9509944182883086,0.006838283021441004,0.6821947873799725,0.01219979065743065,0.08864197530864198,0.002093618091614495,0.19117969821673525,-0.003494647726904329,2.84,-0.04387878787878971,10.414992945206876,0.07303273218544902,10.037406370101916,0.05279838705781243,107.7,-1.4630303030302647,0.06359246947455571,87.42999999999999,2.875454545454672,0.12068963391606767
安徽,340000,6.082137912351502,0.00208800184798303,0.6256998203495019,0.01263393788025973,0.1568544830965213,0.005748831409802744,0.16621754042136208,-0.0009953774602227319,2.46,-0.08624242424242635,10.512791060900497,0.07872925619075245,10.126511096649761,0.07173721099823625,134.3,0.13575757575757413,0.03672520451414206,195.37,9.019757575757875,0.1795710666831242
山东,370000,6.4658709167859,0.002392495796945909,0.6647996031746032,0.009562169728291124,0.17734623015873016,0.007087604150439349,0.16787103174603177,0.0004975244542255286,2.43,-0.03848484848484935,10.647280317764965,0.06799099981310139,10.152142893019061,0.06059799710057733,98.8,-0.8660606060605573,0.07690108762137314,166.46,8.015636363636693,0.18673521376956867
山西,140000,5.397686898058549,-0.0020956275166244083,0.6632008125362739,0.01131812672732483,0.1578554846198491,0.009026841270392582,0.14561520603598377,-0.0004643775277344521,2.44,-0.0681818181818201,10.38720915861006,0.0683018543963592,9.956601688185614,0.06102368806292242,116.8,-1.3327272727273978,0.0991997918469557,95.4,4.388727272727428,0.1609498202886327
广东,440000,6.568047283727506,0.009471130508730422,0.7591001564945227,0.007557821090000559,0.10186150234741784,0.0028909181213737827,0.17533724569640063,0.001924404347990494,2.63,-0.04563636363636418,10.84885153189599,0.06937608935106226,10.486233757860406,0.056614131549737906,105.8,-1.027878787878844,0.05555444799254153,231.42,6.889575757575934,0.10626272446116732
广西,450000,5.356690341554082,0.004904441525853855,0.5738998603630561,0.010519355572431706,0.13970676241771396,0.00568520340045208,0.2070396967883503,-0.0002775169400172178,2.95,-0.060242424242426144,10.345798761764955,0.0682623601220574,9.959442464680574,0.066727444220024,118.7,-1.667878787878814,0.06426678511809812,187.54,4.489333333333514,0.08194191631892435
