省份,行政区划代码,年份,饲料粮折算值（千克/人）
上海,310000,2015,148.98
上海,310000,2016,151.89
上海,310000,2017,147.25
上海,310000,2018,158.39
上海,310000,2019,154.99
上海,310000,2020,160.06000000000003
上海,310000,2021,175.53
上海,310000,2022,169.11
上海,310000,2023,175.30999999999997
上海,310000,2024,172.26
云南,530000,2015,118.84
云南,530000,2016,120.94
云南,530000,2017,121.72
云南,530000,2018,121.83
云南,530000,2019,126.52
云南,530000,2020,121.18999999999998
云南,530000,2021,144.98
云南,530000,2022,153.72000000000003
云南,530000,2023,167.83999999999995
云南,530000,2024,162.12999999999997
内蒙古,150000,2015,115.12999999999998
内蒙古,150000,2016,118.26999999999998
内蒙古,150000,2017,117.14
内蒙古,150000,2018,124.39999999999998
内蒙古,150000,2019,129.45999999999998
内蒙古,150000,2020,135.99
内蒙古,150000,2021,162.22
内蒙古,150000,2022,153.81999999999996
内蒙古,150000,2023,174.28999999999996
内蒙古,150000,2024,177.08
北京,110000,2015,116.39
北京,110000,2016,105.36
北京,110000,2017,103.29
北京,110000,2018,123.43
北京,110000,2019,121.86
北京,110000,2020,132.85
北京,110000,2021,142.19
北京,110000,2022,132.48
北京,110000,2023,138.24
北京,110000,2024,123.45
吉林,220000,2015,90.24
吉林,220000,2016,92.45
吉林,220000,2017,99.0
吉林,220000,2018,108.58
吉林,220000,2019,106.87
吉林,220000,2020,108.50999999999998
吉林,220000,2021,137.89
吉林,220000,2022,135.29
吉林,220000,2023,142.89
吉林,220000,2024,139.5
四川,510000,2015,166.455
四川,510000,2016,162.043
四川,510000,2017,173.767
四川,510000,2018,180.893
四川,510000,2019,170.82000000000002
四川,510000,2020,156.31
四川,510000,2021,182.64999999999995
四川,510000,2022,188.02
四川,510000,2023,206.79
四川,510000,2024,194.33
天津,120000,2015,125.08
天津,120000,2016,130.29
天津,120000,2017,130.7
天津,120000,2018,132.83
天津,120000,2019,128.71
天津,120000,2020,133.17
天津,120000,2021,141.15
天津,120000,2022,142.80999999999997
天津,120000,2023,142.58999999999995
天津,120000,2024,137.95000000000002
宁夏,640000,2015,69.06
宁夏,640000,2016,66.44
宁夏,640000,2017,63.87
宁夏,640000,2018,68.87
宁夏,640000,2019,71.22
宁夏,640000,2020,73.17
宁夏,640000,2021,84.02
宁夏,640000,2022,89.74
宁夏,640000,2023,85.35000000000001
宁夏,640000,2024,87.42999999999999
安徽,340000,2015,118.94
安徽,340000,2016,122.76
安徽,340000,2017,122.14
安徽,340000,2018,139.08
安徽,340000,2019,144.57
安徽,340000,2020,140.79000000000002
安徽,340000,2021,161.28
安徽,340000,2022,166.32
安徽,340000,2023,196.57
安徽,340000,2024,195.37
山东,370000,2015,106.23999999999998
山东,370000,2016,109.32
山东,370000,2017,109.94
山东,370000,2018,117.15
山东,370000,2019,118.22
山东,370000,2020,121.26
山东,370000,2021,148.96
山东,370000,2022,149.64
山东,370000,2023,178.41
山东,370000,2024,166.46
山西,140000,2015,68.09
山西,140000,2016,65.39999999999999
山西,140000,2017,69.50999999999999
山西,140000,2018,75.22999999999999
山西,140000,2019,79.27
山西,140000,2020,86.73
山西,140000,2021,98.73
山西,140000,2022,102.24
山西,140000,2023,99.22
山西,140000,2024,95.4
广东,440000,2015,173.1
广东,440000,2016,173.97
广东,440000,2017,176.56
广东,440000,2018,194.09
广东,440000,2019,201.5
广东,440000,2020,200.49
广东,440000,2021,196.37
广东,440000,2022,208.3
广东,440000,2023,237.88
广东,440000,2024,231.42
广西,450000,2015,152.82
广西,450000,2016,151.85000000000002
广西,450000,2017,155.2
广西,450000,2018,164.66
广西,450000,2019,160.04
广西,450000,2020,159.74
广西,450000,2021,180.2
广西,450000,2022,180.81
广西,450000,2023,188.12
广西,450000,2024,187.54
新疆,650000,2015,72.05000000000001
新疆,650000,2016,72.51
新疆,650000,2017,71.31
新疆,650000,2018,69.19
新疆,650000,2019,68.41
新疆,650000,2020,76.46
新疆,650000,2021,83.47
新疆,650000,2022,82.75
新疆,650000,2023,83.13
新疆,650000,2024,88.11999999999999
江苏,320000,2015,130.21
江苏,320000,2016,131.54
江苏,320000,2017,132.2
江苏,320000,2018,138.18
江苏,320000,2019,133.33
江苏,320000,2020,139.71
江苏,320000,2021,169.11
江苏,320000,2022,178.51
江苏,320000,2023,205.18
江苏,320000,2024,203.96
江西,360000,2015,117.13
江西,360000,2016,114.12999999999997
江西,360000,2017,118.17
江西,360000,2018,135.44
江西,360000,2019,136.29
江西,360000,2020,149.14999999999998
江西,360000,2021,179.14
江西,360000,2022,183.68
江西,360000,2023,214.34
江西,360000,2024,203.16000000000005
河北,130000,2015,88.41000000000001
河北,130000,2016,91.59
河北,130000,2017,92.34
河北,130000,2018,105.17
河北,130000,2019,104.33999999999996
河北,130000,2020,112.98
河北,130000,2021,141.91
河北,130000,2022,150.41
河北,130000,2023,168.29999999999998
河北,130000,2024,142.82000000000002
河南,410000,2015,83.29
河南,410000,2016,84.35
河南,410000,2017,86.93
河南,410000,2018,92.52
河南,410000,2019,96.01999999999998
河南,410000,2020,103.33
河南,410000,2021,136.02999999999997
河南,410000,2022,137.22000000000003
河南,410000,2023,169.23999999999998
河南,410000,2024,157.68
