省份,年份,行政区划代码,地区生产总值,人均可支配收入_地区总计,人均消费支出_地区总计,地区居民消费价格指数_总指数,地区居民消费价格指数_食品,地区居民消费价格指数_粮食
上海,2000,310000,4812.2,11056.0,8565.0,102.5,98.1,92.1
上海,2001,310000,5257.7,12136.44,9145.11,100.0,100.3,102.9
上海,2002,310000,5795.0,12527.47,10354.67,100.5,102.9,98.5
上海,2003,310000,6804.0,14049.15,11043.23,100.1,101.3,100.8
上海,2004,310000,8101.6,15755.19,12756.58,102.2,108.3,133.9
上海,2005,310000,9197.1,17738.0,14135.0,101.0,104.5,103.0
上海,2006,310000,10598.9,19647.0,15284.0,101.2,102.5,101.9
上海,2007,310000,12878.7,22459.0,18001.0,103.2,109.4,101.6
上海,2008,310000,14536.9,25385.0,20345.0,105.8,115.3,107.3
上海,2009,310000,15742.4,27500.0,22230.0,99.6,102.1,103.7
上海,2010,310000,17915.4,30436.0,24758.0,103.1,107.7,112.0
上海,2011,310000,20009.7,34731.0,26858.0,105.2,110.8,113.5
上海,2012,310000,21305.6,38550.0,28152.0,102.8,105.8,102.9
上海,2013,310000,23204.1,42174.0,30400.0,102.3,104.4,103.7
上海,2014,310000,25269.8,45966.0,33065.0,102.7,103.2,102.4
上海,2015,310000,26887.0,49867.0,34784.0,102.4,102.9,103.0
上海,2016,310000,29887.0,54305.0,37458.0,103.2,104.8,100.9
上海,2017,310000,32925.0,58988.0,39792.0,101.7,100.7,101.7
上海,2018,310000,36011.8,64183.0,43351.0,101.6,102.5,100.3
上海,2019,310000,37987.6,69442.0,45605.0,102.5,106.4,100.7
上海,2020,310000,38963.3,72232.0,42536.0,101.7,106.3,101.5
上海,2021,310000,43653.2,78027.0,48879.0,101.2,99.6,99.1
上海,2022,310000,44809.1,79610.0,46045.0,102.5,105.8,103.4
上海,2023,310000,47218.7,84834.0,52508.0,100.3,97.0,98.5
上海,2024,310000,53926.7,88366.0,52722.0,100.0,99.3,99.0
云南,2000,530000,2030.1,2623.0,2202.0,97.9,94.6,90.6
云南,2001,530000,2159.0,2818.34,2303.04,99.1,98.3,103.6
云南,2002,530000,2358.7,3058.1,2539.72,99.8,100.5,97.5
云南,2003,530000,2633.4,3306.04,2671.54,101.2,101.7,100.5
云南,2004,530000,3136.4,3848.22,3086.64,106.0,114.8,126.6
云南,2005,530000,3497.7,4197.0,3379.0,101.4,100.8,103.6
云南,2006,530000,4090.7,4664.0,3855.0,101.9,102.4,101.5
云南,2007,530000,5077.4,5469.0,4415.0,105.9,114.1,105.7
云南,2008,530000,6016.6,6492.0,5129.0,105.7,115.4,109.8
云南,2009,530000,6574.4,7170.0,5524.0,100.4,101.6,104.1
云南,2010,530000,7735.3,8184.0,6204.0,103.7,108.4,114.1
云南,2011,530000,9523.1,9739.0,7135.0,104.9,111.5,111.9
云南,2012,530000,11097.4,11233.0,8192.0,102.7,106.2,103.5
云南,2013,530000,12825.5,12578.0,8824.0,103.1,105.5,102.2
云南,2014,530000,14041.7,13772.0,9870.0,102.4,104.3,102.6
云南,2015,530000,14960.0,15223.0,11005.0,101.9,103.4,101.4
云南,2016,530000,16369.0,16720.0,11769.0,101.5,104.3,100.3
云南,2017,530000,18486.0,18348.0,12658.0,100.9,99.8,101.6
云南,2018,530000,20880.6,20084.0,14250.0,101.6,100.2,102.1
云南,2019,530000,23223.8,22082.0,15780.0,102.5,109.1,101.5
云南,2020,530000,24555.7,23295.0,16792.0,103.6,115.8,101.1
云南,2021,530000,27161.6,25666.0,18851.0,100.2,96.4,101.2
云南,2022,530000,28556.1,26937.0,18951.0,101.6,100.7,101.5
云南,2023,530000,30021.1,28421.0,20995.0,100.3,100.4,100.9
云南,2024,530000,31534.1,29932.0,22280.0,100.2,99.1,101.4
内蒙古,2000,150000,1539.1,3379.0,2648.0,101.3,97.2,93.0
内蒙古,2001,150000,1713.8,3624.44,2812.34,100.6,101.8,101.1
内蒙古,2002,150000,1940.9,3975.98,3219.4,100.2,99.0,99.8
内蒙古,2003,150000,2388.4,4590.77,3608.85,102.2,102.8,100.2
