省份,行政区划代码,地区生产总值_均值,地区生产总值_最新年值,地区生产总值_首年值,地区生产总值_变化量,地区生产总值_变化率,地区生产总值_线性趋势斜率,地区生产总值_标准差,地区生产总值_变异系数,人均可支配收入_地区总计_均值,人均可支配收入_地区总计_最新年值,人均可支配收入_地区总计_首年值,人均可支配收入_地区总计_变化量,人均可支配收入_地区总计_变化率,人均可支配收入_地区总计_线性趋势斜率,人均可支配收入_地区总计_标准差,人均可支配收入_地区总计_变异系数,人均消费支出_地区总计_均值,人均消费支出_地区总计_最新年值,人均消费支出_地区总计_首年值,人均消费支出_地区总计_变化量,人均消费支出_地区总计_变化率,人均消费支出_地区总计_线性趋势斜率,人均消费支出_地区总计_标准差,人均消费支出_地区总计_变异系数,地区居民消费价格指数_总指数_均值,地区居民消费价格指数_总指数_最新年值,地区居民消费价格指数_总指数_首年值,地区居民消费价格指数_总指数_变化量,地区居民消费价格指数_总指数_变化率,地区居民消费价格指数_总指数_线性趋势斜率,地区居民消费价格指数_总指数_标准差,地区居民消费价格指数_总指数_变异系数,地区居民消费价格指数_食品_均值,地区居民消费价格指数_食品_最新年值,地区居民消费价格指数_食品_首年值,地区居民消费价格指数_食品_变化量,地区居民消费价格指数_食品_变化率,地区居民消费价格指数_食品_线性趋势斜率,地区居民消费价格指数_食品_标准差,地区居民消费价格指数_食品_变异系数,地区居民消费价格指数_粮食_均值,地区居民消费价格指数_粮食_最新年值,地区居民消费价格指数_粮食_首年值,地区居民消费价格指数_粮食_变化量,地区居民消费价格指数_粮食_变化率,地区居民消费价格指数_粮食_线性趋势斜率,地区居民消费价格指数_粮食_标准差,地区居民消费价格指数_粮食_变异系数
上海,310000,0.3059417787206784,0.3109261795346926,0.6545877821552291,0.282671817328401,-0.8956219181699221,0.18381534715955497,0.18019578838060946,-0.8067822266690047,3.185803959875044,3.1734577338876924,3.4234996063422596,3.112520757161393,-1.5306540117155456,3.1412718910541995,3.144406470170255,-1.1238813179092615,3.234897805107215,2.9554160500588824,3.3873732542211097,2.8156920303245876,-2.2508680968889205,3.001815025807052,2.9818563664508386,-2.2923657771605637,-0.3942574904186877,-1.0086560288819606,1.5607871093990562,-1.6345030373123308,-1.6223539714520654,0.7022696600686762,-1.4473557402418609,-1.4531970190466676,0.14003114703235325,0.29997039378288093,0.7109600776750393,-0.4550928266231464,-0.4612153537889098,-0.7506213154824322,-1.3016305099163235,-1.3135571196234248,0.22140901510339348,-1.0357220204497222,0.6054763263751649,-0.8731155164829297,-0.8790155886114719,-2.028721011366913,0.8917864111183718,0.895558359115515
云南,530000,-0.3884875717712352,-0.34032942968295327,-0.45142291318398864,-0.3302423021556581,0.2380278122431414,-0.30518486359037766,-0.2977353572705333,0.8356890356911458,-0.7497634738824432,-0.7243130730913862,-0.6651678200654054,-0.7288195492259953,0.29397254703731446,-0.6970006412487112,-0.693999203838298,0.8232216436712213,-0.7364273454208546,-0.6387437165265989,-0.5933213229515661,-0.6403857487036058,0.5198784437760495,-0.708697331786637,-0.6861198483483791,1.064777753632439,-0.1667755881636933,-0.0315205009024658,-1.5133598767930125,1.4519697031962306,1.4803518935389337,0.5453178862075467,1.1533870524216063,1.1668673036392474,1.3899589730709079,0.08371266803242046,-1.8776026212425279,1.7409447282611972,1.759414028874512,0.7906851967733564,1.7077892270591915,1.6923965863252046,0.4933456025916796,1.756224295545187,0.17628960112447226,0.25949892496327737,0.18028084562941318,-0.5681641657061547,-0.00992173559167492,-0.018673411321435573
内蒙古,150000,-0.5257189829577938,-0.4921308574899745,-0.6466176406961399,-0.47802866221686885,0.6478159593341761,-0.5164039954282036,-0.5166249841923204,0.027707233659678317,-0.052445800844515354,-0.047602855806881395,-0.29862773061156994,-0.00750709274170127,0.5337397939803548,0.031371992674442024,0.015631698234528434,0.15516079103126568,0.012140900154311393,0.04993422574043718,-0.314303598384693,0.13281459166039924,0.8685275727736665,0.03240116924653584,0.019041491582855216,-0.2833405919640548,0.04002614115906892,-0.0315205009024658,0.7588357216967745,-0.7342818213306628,-0.7455615540919375,-1.13138642967263,-1.3257911991283624,-1.3364271545608923,0.275158479577057,-0.7813182349694061,0.045329669381956914,-0.5216394191954049,-0.5187506095661649,-1.123662166999518,-0.24473648872939233,-0.2505526729321315,1.0480962410677972,0.5929133305473109,0.8629883615255822,-0.7279085368103393,-0.7677603076612466,-0.4260107322543778,-0.7729310467003284,-0.796653729118673
北京,110000,0.14301167496102932,0.1921607210438886,0.044594320048009575,0.20299813876901873,0.15235414277298387,0.12894213841336577,0.12701661835564826,-0.1979077272524094,2.9722798141298683,2.9766147717184888,2.5381792315503238,3.0260923288362434,-0.8573931720376438,3.0109127906994537,3.004359413129999,-0.9483072339330738,2.7969654519607476,2.6042882941353156,2.811195396987724,2.5210233281216357,-2.0043229424308184,2.527060710680525,2.513509236626858,-2.2636903307546974,-1.1594238889131137,-0.5200882648922479,2.2290799324842894,-2.2132166761576904,-2.1705350157625958,0.09743111689735098,-0.6631405160036833,-0.6505216019033828,-1.7686424251617896,-1.3219625493455496,0.5630422091654724,-1.3201985300624415,-1.2941245631143363,-0.551815113176916,-1.1958566454069264,-1.1771158303177451,-2.182510418293232,-1.0357220204497222,0.40518918792484493,-0.6698257449413064,-0.682103992501623,0.14957130711384228,-0.7152150405039028,-0.680168912666981
吉林,220000,-0.7425876633442526,-0.8397777943897632,-0.5622187799001527,-0.8582601353260305,-1.683278533313205,-0.8300209464246142,-0.8344869479781882,-1.6572581742528962,-0.450926574859495,-0.6318615835737594,-0.2942641581180719,-0.6811110567905128,-0.8628696413707344,-0.6419210535283697,-0.6651895560425263,-1.0643878169167706,-0.4029324459293696,-0.53980455732554,-0.23047316095877152,-0.6033548060984614,-0.7444903320251484,-0.6930419270664825,-0.7118863127083973,-0.9583220985462358,-0.3942574904186877,-1.0086560288819606,-1.0455549006333569,0.8732560643508807,0.8780927114788233,0.3194604555296563,-0.40112066281713954,-0.3975130082493051,-0.5693873488273864,0.29997039378288093,-0.9161364759302801,1.0089322099664095,0.9980672037791851,0.058006159063394507,-0.3284896581075122,-0.32011867874725386,0.5368554565897837,0.36025113754773236,-0.25289712412622045,0.34662311276683083,0.3088176592604133,-0.09431938753375457,1.1950588867336163,1.1933396655476425
四川,510000,0.5059961155598502,0.624164405017969,0.3031577635793804,0.6469197978848923,0.483412866780674,0.6420701142119307,0.6529137507663905,0.6319311533983007,-0.5195520107297229,-0.4312832076866716,-0.4818977753384877,-0.42036609169223876,0.3081120598103937,-0.4098470900995214,-0.40236566156188336,0.883107709156655,-0.3744636398989129,-0.33200870983882935,-0.45068445927163997,-0.3002177875633251,0.6036363503673324,-0.20229520924396707,-0.20214250486127663,0.8484652983877917,0.7638321937888837,-1.0086560288819606,-0.04311566600550719,-0.0912666670580455,-0.10667553950256349,-1.5333360944385224,-0.5861303070866383,-0.6015214181458785,0.2244857298727856,0.5162281195333415,-1.2119722129494348,1.4082117653999326,1.402222610189445,0.4399821207963611,0.8908542472121334,0.8948559284594866,-0.35509655037185345,-0.6867287309503627,-0.4531842625765405,0.2885403208977897,0.27829797920593996,-0.12079894866693637,-0.4175501144400444,-0.4128484203488814
天津,120000,-0.6746339036921554,-0.7332419556695985,-0.625706759500337,-0.738780871872082,-0.8647896282865862,-0.725851941966679,-0.7331702560560966,-0.9662168367164653,1.0102297148053734,0.8531654807342672,1.325106078357868,0.772653520273317,-1.5459719064002497,0.8328960840943314,0.8213976790061782,-1.2466355589568574,1.2309854352771807,0.9579784660928758,1.1683690635513815,0.8965419001951813,-1.5659027336496851,1.1037404079059934,1.1056055534193954,-1.5096702692511588,-0.704460084402978,-0.0315205009024658,-0.3772620775481238,0.3588439409327885,0.3483989204214321,1.2228901782414545,-1.3132803462765192,-1.3136883824738967,-0.3160236003061494,-0.5650605092189456,0.6370011434202558,-0.9209189746289185,-0.9093076245876589,-0.7126470970645559,-1.2908135790789825,-1.295651929172842,1.4831947810491477,0.4765822340475133,0.09045225607433453,0.027167757487129362,-0.022153871428355155,-0.9263350715599687,-0.29201662092525055,-0.32188343533482444
宁夏,640000,-1.0990254520373457,-1.0974112397553568,-1.141203710956562,-1.0896050940175992,1.0555197925520747,-1.0855638713994962,-1.0881058564910424,0.6745873498914566,-0.5287256718805701,-0.4959859095857322,-0.5905022462877723,-0.47767774283051584,0.6140912787274118,-0.4874384531364965,-0.494388456239708,0.41175942480983735,-0.47215583536311845,-0.5696752104017547,-0.5082396849670487,-0.5759404261078311,0.2832946040515217,-0.5269711160651481,-0.5444859950223812,0.05656378526068701,0.9292735772471816,-2.474359320851168,-0.3772620775481238,0.0373363637964798,0.023113620232973277,-1.1811516262627662,1.1487099359943729,1.1421339590074073,0.9676860588686862,-1.9707357265969156,0.045329669381956914,-1.2536519374901829,-1.2299338227303072,-1.7468861045638442,0.3558139594559708,0.3414380272147144,0.6891399455832256,0.36025113754773236,0.31935184287470314,-0.23420480592353096,-0.2817171739825149,0.1523586293383896,-0.6706627418325167,-0.687409119252508
安徽,340000,0.12590348241433305,0.21490694131170565,-0.01603133360902314,0.23220848710637884,0.4123144660308531,0.23850173088635485,0.2482373728131624,0.6815529442215676,-0.39713275857879937,-0.267391930814515,-0.5351721470702172,-0.22316484360400754,0.9936863177578076,-0.23234025837591252,-0.2243528181810668,1.0348910525511068,-0.4181122546739613,-0.3180769427914249,-0.6446205458539956,-0.23878661145866686,1.6893377654888213,-0.197133106670037,-0.18919645605062665,1.1480619744442555,-0.27017645282500097,1.4341827910667417,0.3578600278456384,-0.1555681824853127,-0.17063625370252325,-0.06334874900914474,-0.055911118978552686,-0.051171837861185114,0.3258312292813284,1.2731301596599454,0.045329669381956914,0.7427458396774037,0.7096567586264544,-0.060384051298295875,-0.00959982187123613,-0.014521755873134305,1.8639060035326556,0.12758894454815384,-1.4260075064781121,1.4792375542130338,1.5500120504904977,-2.3785299505472457,2.3175835547150863,2.285212567040911
山东,370000,1.705588561686373,1.6091882958332655,2.032439933039883,1.569514866936573,-0.7120782697762207,1.5252374143244243,1.5101941898295437,-0.6846904884859272,0.056516600952000486,0.08580477697468683,0.0485187033156076,0.09113655345340296,-0.31239755289581495,0.09731021579106638,0.09120864382081939,-0.07435609914495105,-0.18592174194809952,-0.24145222403070032,-0.10535310509918716,-0.26935866872570474,-0.5416544369223666,-0.18151055435392616,-0.18917911871837395,-0.08195422289239741,-0.45629800921560454,-0.0315205009024658,0.02371361630302183,-0.026965151630787415,-0.04194343980472403,0.39219420439210123,-1.4306046230442924,-1.4354644751953123,0.9170133091644748,0.5162281195333415,0.41512434065589504,-0.05581327118963285,-0.07213522800434845,0.433280788134409,-0.27839174938281,-0.2957787246524703,0.09087945310900378,-0.6867287309503627,-0.4817967109265891,0.31758171683231023,0.30872645256286324,0.7808997909728895,-0.2024349116417976,-0.20450159936857507
