省份,行政区划代码,cluster,cluster_label,核心特征摘要,地区生产总值_均值,地区生产总值_最新年值,地区生产总值_首年值,地区生产总值_变化量,地区生产总值_变化率,地区生产总值_线性趋势斜率,地区生产总值_标准差,地区生产总值_变异系数,人均可支配收入_地区总计_均值,人均可支配收入_地区总计_最新年值,人均可支配收入_地区总计_首年值,人均可支配收入_地区总计_变化量,人均可支配收入_地区总计_变化率,人均可支配收入_地区总计_线性趋势斜率,人均可支配收入_地区总计_标准差,人均可支配收入_地区总计_变异系数,人均消费支出_地区总计_均值,人均消费支出_地区总计_最新年值,人均消费支出_地区总计_首年值,人均消费支出_地区总计_变化量,人均消费支出_地区总计_变化率,人均消费支出_地区总计_线性趋势斜率,人均消费支出_地区总计_标准差,人均消费支出_地区总计_变异系数,地区居民消费价格指数_总指数_均值,地区居民消费价格指数_总指数_最新年值,地区居民消费价格指数_总指数_首年值,地区居民消费价格指数_总指数_变化量,地区居民消费价格指数_总指数_变化率,地区居民消费价格指数_总指数_线性趋势斜率,地区居民消费价格指数_总指数_标准差,地区居民消费价格指数_总指数_变异系数,地区居民消费价格指数_食品_均值,地区居民消费价格指数_食品_最新年值,地区居民消费价格指数_食品_首年值,地区居民消费价格指数_食品_变化量,地区居民消费价格指数_食品_变化率,地区居民消费价格指数_食品_线性趋势斜率,地区居民消费价格指数_食品_标准差,地区居民消费价格指数_食品_变异系数,地区居民消费价格指数_粮食_均值,地区居民消费价格指数_粮食_最新年值,地区居民消费价格指数_粮食_首年值,地区居民消费价格指数_粮食_变化量,地区居民消费价格指数_粮食_变化率,地区居民消费价格指数_粮食_线性趋势斜率,地区居民消费价格指数_粮食_标准差,地区居民消费价格指数_粮食_变异系数
重庆,500000,0,中等经济水平-上升型,地区生产总值_最新年值=32193.20；人均可支配收入_地区总计_最新年值=39713.00；人均消费支出_地区总计_最新年值=27451.00；地区居民消费价格指数_总指数_最新年值=100.20,13491.728000000001,32193.2,1822.1,30371.100000000002,16.66818506119313,1352.4815384615604,9957.12033200443,0.7380166819257273,17293.2132,39713.0,3414.0,36299.0,10.632396016403046,1584.6273230769489,11668.485295056156,0.6747436211019567,12857.652000000002,27451.0,2866.0,24585.0,8.578157711095603,1091.4623384615556,7993.218786040076,0.6216701763308009,101.728,100.2,96.7,3.5,0.03619441571871768,0.00892307692307109,1.9850481102482118,0.019513291426629952,103.77199999999999,99.1,93.1,6.0,0.0644468313641246,-0.03753846153847571,5.894235828332626,0.05679986728917845,103.28800000000001,99.0,85.3,13.700000000000003,0.160609613130129,-0.1743076923077137,7.671626685390784,0.07427413334938021
湖南,430000,0,中等经济水平-上升型,地区生产总值_最新年值=53231.00；人均可支配收入_地区总计_最新年值=37679.00；人均消费支出_地区总计_最新年值=26760.00；地区居民消费价格指数_总指数_最新年值=100.50,23261.212000000003,53231.0,3551.5,49679.5,13.988314796564831,2213.226538461574,16188.23338196778,0.6959324983568259,16614.7144,37679.0,3345.0,34334.0,10.264275037369208,1500.9588692307932,11036.875503957841,0.6642831912872267,12347.4228,26760.0,2917.0,23843.0,8.173808707576278,1045.4051230769394,7662.745243262376,0.6205947076876946,102.09200000000001,100.5,101.4,-0.9000000000000057,-0.00887573964497047,-0.034461538461541666,1.8207514932027373,0.017834418888872165,104.04000000000002,100.4,98.4,2.0,0.02032520325203252,-0.08830769230770327,5.133341991334691,0.04934008065488937,103.66400000000002,100.8,87.2,13.599999999999994,0.1559633027522935,-0.08961538461540422,7.0767156223773755,0.06826589387229293
湖北,420000,0,中等经济水平-上升型,地区生产总值_最新年值=60013.00；人均可支配收入_地区总计_最新年值=36947.00；人均消费支出_地区总计_最新年值=27888.00；地区居民消费价格指数_总指数_最新年值=100.40,25300.115999999995,60013.0,3545.4,56467.6,15.927004005189822,2483.56700000004,18230.32004543376,0.7205627059351729,16622.639199999998,36947.0,3608.0,33339.0,9.24029933481153,1471.0392538461774,10786.614410576442,0.6489110592363962,12391.4504,27888.0,2839.0,25049.0,8.823177175061641,1092.6587769230946,8067.269542130586,0.6510351316203135,102.13600000000001,100.4,99.0,1.4000000000000057,0.0141414141414142,-0.018384615384619187,1.8624457039065603,0.01823495832915485,104.11999999999998,100.1,97.6,2.5,0.025614754098360656,-0.06515384615385734,5.0840928394355664,0.04882916672527437,103.36399999999999,100.0,83.3,16.700000000000003,0.20048019207683077,-0.06707692307694364,7.642820421807644,0.07394083454401576
安徽,340000,0,中等经济水平-上升型,地区生产总值_最新年值=50625.20；人均可支配收入_地区总计_最新年值=36782.00；人均消费支出_地区总计_最新年值=24996.00；地区居民消费价格指数_总指数_最新年值=100.50,20998.188,50625.2,3125.3,47499.899999999994,15.198508943141455,2065.7096923077256,15224.526053531386,0.725039991714113,15701.288,36782.0,2891.12,33890.88,11.722405157862696,1474.1032769231006,10858.767441505688,0.6915845019533231,11117.801599999999,24996.0,2120.0,22876.0,10.790566037735848,1007.2027923077083,7393.421390628119,0.6650074948835316,101.99600000000001,100.5,100.7,-0.20000000000000284,-0.001986097318768648,-0.016230769230772414,1.7961024469667644,0.017609538089403156,104.12,100.2,97.2,3.0,0.030864197530864196,-0.060384615384627374,4.903794449199516,0.04709752640414441,104.13599999999998,100.0,85.0,15.0,0.17647058823529413,-0.22930769230771483,9.02063767147312,0.08662362364094185
江西,360000,0,中等经济水平-上升型,地区生产总值_最新年值=34202.50；人均可支配收入_地区总计_最新年值=36007.00；人均消费支出_地区总计_最新年值=24726.00；地区居民消费价格指数_总指数_最新年值=100.50,14462.143999999998,34202.5,2003.1,32199.4,16.074784084668764,1415.7103076923304,10405.766540839939,0.7195175584505271,15750.764000000001,36007.0,2972.0,33035.0,11.115410497981157,1441.4937230769463,10600.42036419424,0.6730099164836855,10706.351999999999,24726.0,2240.0,22486.0,10.038392857142858,943.5849461538614,6954.16305456868,0.6495361869821468,101.988,100.5,100.3,0.20000000000000284,0.001994017946161544,0.007846153846151106,1.651016656487754,0.016188342319564595,103.9,99.6,97.2,2.3999999999999915,0.02469135802469127,0.005769230769220386,4.8422308908188185,0.04660472464695686,102.9,100.6,85.9,14.699999999999989,0.17112922002328274,-0.02223076923078663,7.001314162355522,0.06803998214145307
河北,130000,0,中等经济水平-上升型,地区生产总值_最新年值=47526.90；人均可支配收入_地区总计_最新年值=34665.00；人均消费支出_地区总计_最新年值=24253.00；地区居民消费价格指数_总指数_最新年值=100.20,22575.967999999997,47526.9,4628.2,42898.700000000004,9.268981461475304,1814.910153846181,13176.58610265102,0.5836554207842172,15534.977999999997,34665.0,3315.0,31350.0,9.457013574660634,1362.7769384615601,10003.17498793938,0.6439130449968697,10939.4848,24253.0,2215.0,22038.0,9.949435665914221,940.9501307692453,6872.90651564307,0.6282660144692618,102.02799999999999,100.2,99.7,0.5,0.0050150451354062184,-0.011692307692311811,1.7833720868063403,0.017479241843477676,104.06800000000001,99.4,97.5,1.9000000000000057,0.019487179487179547,-0.07092307692308907,4.6404068787122545,0.04459014181796762,103.476,99.1,90.1,9.0,0.09988901220865705,-0.12015384615386274,5.97463170413039,0.05773929900779302
四川,510000,0,中等经济水平-上升型,地区生产总值_最新年值=64697.00；人均可支配收入_地区总计_最新年值=34325.00；人均消费支出_地区总计_最新年值=24878.00；地区居民消费价格指数_总指数_最新年值=100.00,26803.4,64697.0,3928.2,60768.8,15.469884425436588,2626.6816923077345,19332.522927398793,0.7212712912316643,14775.4472,34325.0,3001.0,31324.0,10.43785404865045,1371.1951000000222,10108.311941443248,0.6841290016212334,11333.273200000001,24878.0,2430.0,22448.0,9.237860082304527,1005.6423692307852,7365.150848429227,0.6498696994641606,102.19599999999998,100.0,100.1,-0.09999999999999432,-0.0009990009990009422,-0.045769230769235815,1.682255628612965,0.016461071163381788,104.096,99.5,95.5,4.0,0.041884816753926704,-0.043153846153858574,5.458020153865319,0.05243256372834037,103.32,99.3,88.4,10.899999999999991,0.12330316742081437,-0.10469230769232496,5.960671103156086,0.057691357947697315
陕西,610000,0,中等经济水平-上升型,地区生产总值_最新年值=35538.80；人均可支配收入_地区总计_最新年值=33905.00；人均消费支出_地区总计_最新年值=23213.00；地区居民消费价格指数_总指数_最新年值=100.10,15079.608,35538.8,1804.0,33734.8,18.700000000000003,1489.1310000000235,10914.50659817181,0.7237924618578819,14614.611599999998,33905.0,2637.0,31268.0,11.857413727720894,1372.2881846154064,10082.992719471607,0.689925466063813,10682.902399999999,23213.0,2241.0,20972.0,9.358322177599286,906.0155692307831,6604.809797499564,0.6182598651748017,102.05199999999999,100.1,99.5,0.5999999999999943,0.006030150753768787,-0.004769230769235037,1.7946854877665903,0.017585990355569615,103.964,99.1,96.8,2.299999999999997,0.02376033057851237,-0.05100000000001175,4.732431087718024,0.045519901963352934,103.78,99.5,89.8,9.700000000000003,0.10801781737193768,-0.061384615384630824,6.189474937343233,0.05964034435674728
山西,140000,0,中等经济水平-上升型,地区生产总值_最新年值=25494.70；人均可支配收入_地区总计_最新年值=32441.00；人均消费支出_地区总计_最新年值=21090.00；地区居民消费价格指数_总指数_最新年值=100.10,11435.295999999998,25494.7,1845.7,23649.0,12.813024868613534,1009.5513076923231,7501.953551628002,0.6560349248176875,15570.7256,32441.0,2924.0,29517.0,10.094733242134064,1263.908853846172,9323.33242879222,0.5987731508666636,9821.344,21090.0,2163.0,18927.0,8.750346740638003,795.5014615384734,5790.962068332342,0.5896303060286191,102.09999999999998,100.1,103.9,-3.8000000000000114,-0.036573628488931774,-0.051000000000002044,1.9183326093250885,0.018788762089374033,104.088,98.7,95.4,3.299999999999997,0.03459119496855343,-0.06715384615385997,5.218453410733873,0.05013501470615127,103.28000000000002,98.4,90.5,7.900000000000006,0.08729281767955807,-0.0850000000000142,5.7318059981126375,0.05549773429621065
河南,410000,0,中等经济水平-上升型,地区生产总值_最新年值=63590.00；人均可支配收入_地区总计_最新年值=31552.00；人均消费支出_地区总计_最新年值=21956.00；地区居民消费价格指数_总指数_最新年值=100.30,30766.644,63590.0,5053.0,58537.0,11.584603206016228,2689.0895384615787,19563.46356169234,0.6358660230115556,14209.3224,31552.0,2649.0,28903.0,10.910909777274442,1275.080723076943,9322.683189631742,0.6560962533745974,10002.6024,21956.0,1938.0,20018.0,10.329205366357069,838.4414923077054,6159.176885664045,0.6157574438492172,102.152,100.3,99.2,1.0999999999999943,0.011088709677419296,-0.02930769230769783,1.9612485818987864,0.01919931652731994,104.404,98.9,97.5,1.4000000000000057,0.014358974358974418,-0.11461538461539965,5.464831561905637,0.052343124419616464,103.648,99.2,84.8,14.400000000000006,0.16981132075471705,-0.0656153846154029,7.0348344685571655,0.06787236095783002
