省份,行政区划代码,饲料粮均值,饲料粮最新年值,饲料粮首年值,饲料粮变化量,饲料粮变化率,饲料粮线性趋势斜率,饲料粮标准差,饲料粮变异系数
上海,310000,161.377,172.26,148.98,23.28,0.15626258558195733,3.2681818181819424,10.331438476804669,0.06402051393200188
云南,530000,135.971,162.12999999999997,118.84,43.289999999999964,0.3642712891282393,5.7092727272729755,18.238354887434326,0.1341341527784184
内蒙古,150000,140.77999999999997,177.08,115.12999999999998,61.95000000000003,0.5380873794840618,7.594424242424512,22.832407669801277,0.16218502393664783
北京,110000,123.954,123.45,116.39,7.060000000000002,0.06065813214193661,3.0722424242425523,12.342358931743963,0.09957209070900466
吉林,220000,116.12199999999999,139.5,90.24,49.260000000000005,0.5458776595744682,6.4693333333335685,19.565640699961754,0.1684921091607254
四川,510000,178.2078,194.33,166.455,27.875,0.1674626776005527,3.794727272727474,14.674240026658957,0.08234342170577807
天津,120000,134.52799999999996,137.95000000000002,125.08,12.870000000000019,0.10289414774544307,1.7690909090909746,5.912729995526593,0.043951668020981466
宁夏,640000,75.917,87.42999999999999,69.06,18.36999999999999,0.26600057920648695,2.875454545454672,9.16239493800611,0.12068963391606767
安徽,340000,150.782,195.37,118.94,76.43,0.6425929039852027,9.019757575757875,27.076084576614836,0.1795710666831242
山东,370000,132.56,166.46,106.23999999999998,60.22000000000003,0.5668298192771088,8.015636363636693,24.753619937294022,0.18673521376956867
山西,140000,83.982,95.4,68.09,27.310000000000002,0.4010867968864738,4.388727272727428,13.51688780747995,0.1609498202886327
广东,440000,199.36800000000002,231.42,173.1,58.31999999999999,0.33691507798960135,6.889575757575934,21.18538685037401,0.10626272446116732
广西,450000,168.098,187.54,152.82,34.72,0.2271953932731318,4.489333333333514,13.774272249378546,0.08194191631892435
新疆,650000,76.74000000000001,88.11999999999999,72.05000000000001,16.06999999999998,0.22303955586398302,1.9821818181819044,6.69024065336965,0.08718061836551537
江苏,320000,156.193,203.96,130.21,73.75,0.5663927501727978,9.151212121212511,28.8508835393303,0.18471303796796462
江西,360000,155.06300000000002,203.16000000000005,117.13,86.03000000000006,0.7344830530180146,11.801515151515611,35.31810641866295,0.22776617515888992
河北,130000,119.827,142.82000000000002,88.41000000000001,54.41000000000001,0.6154281189910644,8.702242424242785,27.09748329642441,0.22613837696365938
河南,410000,114.66099999999999,157.68,83.29,74.39,0.8931444351062552,10.018363636364045,30.713272847418914,0.26786154705975807
浙江,330000,163.46599999999998,201.17000000000004,135.68,65.49000000000004,0.48267983490566063,8.694787878788249,27.020704728041427,0.16529862312677518
海南,450000,183.956,222.89,155.945,66.945,0.42928596620603415,7.0338424242427475,27.402898390498773,0.14896441752646705
湖北,420000,132.732,144.57999999999996,121.09,23.489999999999952,0.1939879428524234,5.058181818182097,17.893124266041408,0.13480640889944706
湖南,430000,161.061,190.21,133.89999999999998,56.31000000000003,0.4205377147124723,7.608787878788197,23.60246446877953,0.14654363544731208
甘肃,620000,89.69999999999999,97.40999999999998,77.88,19.529999999999987,0.25077041602465316,3.4269090909092346,11.322222396685202,0.1262232151246957
福建,350000,168.792,204.51,150.59,53.91999999999999,0.35805830400424987,5.910545454545739,21.01684885990286,0.12451329956338489
西藏,540000,87.11899999999999,92.79,99.72,-6.929999999999993,-0.06949458483754506,-0.44818181818171743,9.514355942469257,0.10921103252412515
贵州,520000,121.71799999999999,136.6,123.94,12.659999999999997,0.1021461997740842,1.883636363636532,10.14455696420499,0.08334475561712311
辽宁,210000,143.891,174.21999999999997,117.08,57.13999999999997,0.4880423641954217,8.132666666667031,26.05683804685442,0.1810873372681712
重庆,500000,196.78540000000004,231.87,169.02300000000002,62.84699999999998,0.371825136224064,8.896072727273157,29.3854940240929,0.14932761284166862
陕西,610000,81.781,100.85,64.07,36.78,0.5740596222881225,5.311454545454756,16.082718955450286,0.19665593420782682
青海,630000,86.373,97.24,74.95,22.289999999999992,0.2973982655103401,2.541636363636471,9.017910012857744,0.1044065855401311
黑龙江,230000,121.306,146.26,89.34,56.91999999999999,0.6371166330870829,7.900484848485145,24.378651398303386,0.20096822414640156
