省份,行政区划代码,口粮均值,口粮最新年值,口粮首年值,口粮变化量,口粮变化率,口粮线性趋势斜率,口粮标准差,口粮变异系数
上海,310000,-1.399146348091258,-1.5372860672627306,-1.1450949250096267,0.21852427584355133,0.03628972396214141,0.05969037775634459,-0.48620549782578837,-0.33564660153859033
云南,530000,-0.20402730929313576,-0.23237249324830647,-0.1214965018229591,-0.020087427929652815,-0.19350026081267457,0.05887185497520181,-0.32166888260472654,-0.3744791043000059
内蒙古,150000,1.257305324354189,2.2395369599660087,0.5866533506961191,0.7951692266287962,1.0352488616914488,0.4971089520058394,-0.4000515892248875,-0.7721928439309023
北京,110000,-1.9505211246116756,-1.9245165180881487,-1.5281396179631281,0.37097064214309894,0.3116831554128204,0.4712436321213384,-0.1250166728120268,0.6809756322708966
吉林,220000,0.4155587797865065,1.1521089816206556,-0.27600192419075836,1.0039544674303504,1.4551105164766278,0.6246348013098693,-0.2660373451743232,-0.4329820495476906
四川,510000,0.46415933998495756,-0.24828607341921394,0.7231331404543417,-0.8996366804492152,-1.2184486717351306,-0.9822563817433692,0.31201233206239243,0.40318989894806256
天津,120000,-1.1049850626795916,-1.6274630215645398,-0.3500357724086614,-0.6563853046581982,-1.304015613369241,-0.8618025692685214,0.08907885982801494,0.6708063657045971
宁夏,640000,-0.8795087794977031,-0.7893477992300727,-0.23093784266681683,-0.25538508026156265,-0.5976188936324575,-0.2043650714443988,-0.40414343044092954,-0.33541903608760176
安徽,340000,0.41271664176320666,0.6216563092570688,0.11991822062672666,0.26492099602167507,0.2787762499804112,0.22748754789322734,-0.6509868347013344,-1.0005080994541626
山东,370000,-0.539873285713219,-1.2614506776336654,-0.3500357724086614,-0.42771575520887756,-0.9220422566591787,-0.043116083556764315,-0.15880123254096304,-0.005969187321390007
山西,140000,0.07687066534312402,-0.30663586737920895,-0.21484352783683777,0.02962334368976479,-0.1319475058694464,-0.16916859185475683,0.3142519849640789,0.5460268692006334
广东,440000,-0.9306672639171238,-0.8901338069791545,-0.6429523023142805,0.10584652683953837,-0.08400037705449234,-0.08682520007049584,-0.5202510692051043,-0.5343972419701108
广西,450000,0.005343525090046236,-0.20584985963012714,0.1649823021506682,-0.29846774899839157,-0.5535803784170197,-0.2596972114505274,-0.25396945708452456,-0.31872660533821834
新疆,650000,0.6367718559334445,0.0912036368934812,1.4042445440590552,-1.3887906731842847,-1.572070455460099,-1.3714148528159316,0.8832230911375936,1.1620719386086953
江苏,320000,-0.42050348873457283,0.46252050754799273,-0.5238543725724354,0.8283097410417413,1.198831001513746,0.7567443781883991,-0.41658900051243003,-0.4782156943535138
江西,360000,0.7395625144428358,1.0937591876606598,0.40639702460035393,0.2649209960216741,0.30133196278017377,0.6131754823737362,0.14501056078541105,0.07823793906024377
河北,130000,0.7419309627955873,1.3112447833297316,-0.2180623908028334,1.0437230847258843,1.5086023748939101,1.5949117060916476,1.0575654349837578,1.3618969083315808
河南,410000,0.09155504513017992,1.0248003402533945,-0.3532546353746575,1.00395446743035,1.4700780116307763,0.950079459097317,-0.03644749632124065,-0.0029713325017503758
浙江,330000,0.11192370096383827,0.31399375928618783,-0.24703215749679588,0.45050787673416726,0.5478053266186118,0.3422444418112377,-0.45094559585968397,-0.6492117114523533
海南,450000,-1.5291741626572846,-1.1871873035027627,-1.2030344583975512,0.4969045969122901,0.6122813101397657,0.3660961956541066,-0.6270846567344442,-0.5848653409671632
湖北,420000,-0.7601389825190555,-1.234928044015486,-0.4884468799464816,-0.26864128602674087,-0.7023442808328394,0.03988212645239014,-0.10579117751817228,0.1636864329457504
湖南,430000,0.6666143051781075,0.8497509583734102,0.3259254504504587,0.19532591575448968,0.19546743528530042,0.28183746056196224,-0.33195818074967165,-0.5795841803433308
甘肃,620000,0.8698271738441372,0.4678250342716283,0.6960946915399768,-0.4244017037675828,-0.5958324193274317,-0.3711800142439163,-0.10806029638746473,-0.307486405271588
福建,350000,-0.4631355590840886,-0.296026813931937,-0.3725678131706322,0.19863996719578447,0.12126586601626854,0.07278674225484444,-0.8025881210129729,-1.1222971624708824
西藏,540000,3.4286987741562456,0.07529005672257374,4.4621643617550735,-4.547081696737949,-3.233166892441012,-4.4886770125685755,5.026628908806146,4.514405550153301
贵州,520000,-0.5640314589112788,-0.16341364584104034,-0.0796512832650132,-0.020087427929653286,-0.1853182073882691,-0.009556649529380791,-0.3095858519797877,-0.258128699368383
辽宁,210000,0.2881362584085091,1.1627180350679267,-0.0796512832650132,0.8084254323939735,1.1130373678625791,0.8084750179574283,-0.035783220113073,-0.058430753442742886
重庆,500000,0.6643405947594665,0.6747015764934274,0.37002387308460144,0.04055971344603661,-0.020182496945900824,0.15100477922207534,-0.2695605809610306,-0.4903638492220439
陕西,610000,0.22229339420203106,0.8020102178606872,-0.17943603521088405,0.6858055290660771,0.926946910447048,0.6858603053403273,-0.35830485304282433,-0.5296865506942336
青海,630000,-0.934930470952075,-1.07579224230641,-0.6654843430762512,0.013053086483292255,-0.25635680529127913,-0.15148849978176368,-0.4710118205277525,-0.44255869105882617
黑龙江,230000,0.5870344405256744,0.6375698894279755,0.01047687978286894,0.3875408993495715,0.45766944052484837,0.3974128772611087,0.08307169076775683,0.03282360541171609
