省份,行政区划代码,口粮均值,口粮最新年值,口粮首年值,口粮变化量,口粮变化率,口粮线性趋势斜率,口粮标准差,口粮变异系数
上海,310000,104.53,93.6,102.7,-9.100000000000009,-0.08860759493670894,-0.4854545454545735,6.646359905993658,0.06358327662865836
云南,530000,129.76000000000002,118.2,134.5,-16.299999999999997,-0.1211895910780669,-0.4884848484848295,8.04701186776806,0.062014579745438184
内蒙古,150000,160.60999999999999,164.8,156.5,8.300000000000011,0.053035143769968124,1.1339393939393678,7.379762868819026,0.045948339884309984
北京,110000,92.89,86.3,90.8,-4.5,-0.04955947136563877,1.0381818181818385,9.721054469552161,0.10465124846110627
吉林,220000,142.83999999999997,144.3,129.7,14.600000000000023,0.11256746337702409,1.6060606060605962,8.520586834250329,0.059651265991671316
四川,510000,143.866,117.9,160.74,-42.84,-0.26651735722284436,-4.342909090909194,13.44135424724756,0.09342967933526725
天津,120000,110.74000000000001,91.9,127.4,-35.5,-0.27864992150706436,-3.8969696969697782,11.543586964197912,0.10424044576664178
宁夏,640000,115.5,107.7,131.1,-23.39999999999999,-0.17848970251716242,-1.4630303030302647,7.344930224311185,0.06359246947455571
安徽,340000,142.78,134.3,142.0,-7.699999999999989,-0.05422535211267598,0.13575757575757413,5.243624700529203,0.03672520451414206
山东,370000,122.67,98.8,127.4,-28.60000000000001,-0.2244897959183674,-0.8660606060605573,9.433456418513844,0.07690108762137314
山西,140000,135.69,116.8,131.6,-14.799999999999997,-0.11246200607902734,-1.3327272727273978,13.460419755713419,0.0991997918469557
广东,440000,114.41999999999999,105.8,118.3,-12.5,-0.10566356720202874,-1.027878787878844,6.356539939306601,0.05555444799254153
广西,450000,134.18,118.7,143.4,-24.700000000000003,-0.17224546722454673,-1.667878787878814,8.623317227146407,0.06426678511809812
新疆,650000,147.51,124.3,181.9,-57.60000000000001,-0.31665750412314464,-5.783636363636451,18.303903955167595,0.12408585150272929
江苏,320000,125.18999999999998,131.3,122.0,9.300000000000011,0.0762295081967214,2.0951515151516302,7.238984735444604,0.05782398542570976
江西,360000,149.68,143.2,150.9,-7.700000000000017,-0.051027170311464656,1.563636363636516,12.019717134774849,0.08030276012008851
河北,130000,149.73000000000002,147.3,131.5,15.800000000000011,0.12015209125475294,5.19818181818203,19.788029209600438,0.13215807927336162
河南,410000,136.0,141.9,127.3,14.600000000000009,0.11468970934799692,2.810909090909172,10.475017899746044,0.07702219043930915
浙江,330000,136.43,128.5,130.6,-2.0999999999999943,-0.016079632465543604,0.5606060606060982,6.946517112913491,0.05091634620621191
海南,450000,101.785,100.2,100.9,-0.7000000000000028,-0.0069375619425173715,0.6489090909091207,5.447096933229662,0.05351571384024819
湖北,420000,118.02000000000001,99.3,123.1,-23.799999999999997,-0.19333874898456538,-0.5587878787878756,9.884715473902121,0.08375457951111778
湖南,430000,148.14000000000001,138.6,148.4,-9.800000000000011,-0.06603773584905667,0.3369696969697335,7.959422089574091,0.053729054202606256
甘肃,620000,152.43,131.4,159.9,-28.5,-0.17823639774859287,-2.0806060606061276,9.865399130293717,0.06472084976903311
福建,350000,124.29,117.0,126.7,-9.700000000000003,-0.07655880031570642,-0.4369696969696806,3.953087401006963,0.03180535361659798
西藏,540000,206.45,124.0,276.9,-152.89999999999998,-0.5521849042975803,-17.324242424242783,53.575502797453986,0.25950836908430125
贵州,520000,122.16,119.5,135.8,-16.30000000000001,-0.12002945508100155,-0.741818181818102,8.149871164625859,0.06671472793570611
辽宁,210000,140.15000000000003,144.5,135.8,8.699999999999989,0.06406480117820315,2.286666666666789,10.480672688334469,0.07478182439054204
重庆,500000,148.092,135.3,149.77,-14.469999999999999,-0.09661480937437403,-0.14739393939387785,8.490594561042233,0.05733324258597515
陕西,610000,138.76,137.7,132.7,5.0,0.037678975131876416,1.832727272727364,7.735140593421691,0.05574474339450628
青海,630000,114.33,102.3,117.6,-15.299999999999997,-0.1301020408163265,-1.2672727272727244,6.775699225910196,0.059264403270446915
黑龙江,230000,146.45999999999998,134.6,138.6,-4.0,-0.02886002886002886,0.7648484848484887,11.49244969534346,0.0784681803587564
