省份,行政区划代码,cluster,cluster_label,核心特征摘要,口粮均值,口粮最新年值,口粮首年值,口粮变化量,口粮变化率,口粮线性趋势斜率,口粮标准差,口粮变异系数
山西,140000,0,低水平-下降型,口粮均值=135.69；口粮最新年值=116.80；口粮变化量=-14.80；口粮线性趋势斜率=-1.33；口粮变异系数=0.10,135.69,116.8,131.6,-14.799999999999997,-0.11246200607902734,-1.3327272727273978,13.460419755713419,0.0991997918469557
广西,450000,0,低水平-下降型,口粮均值=134.18；口粮最新年值=118.70；口粮变化量=-24.70；口粮线性趋势斜率=-1.67；口粮变异系数=0.06,134.18,118.7,143.4,-24.700000000000003,-0.17224546722454673,-1.667878787878814,8.623317227146407,0.06426678511809812
云南,530000,0,低水平-下降型,口粮均值=129.76；口粮最新年值=118.20；口粮变化量=-16.30；口粮线性趋势斜率=-0.49；口粮变异系数=0.06,129.76000000000002,118.2,134.5,-16.299999999999997,-0.1211895910780669,-0.4884848484848295,8.04701186776806,0.062014579745438184
福建,350000,0,低水平-下降型,口粮均值=124.29；口粮最新年值=117.00；口粮变化量=-9.70；口粮线性趋势斜率=-0.44；口粮变异系数=0.03,124.29,117.0,126.7,-9.700000000000003,-0.07655880031570642,-0.4369696969696806,3.953087401006963,0.03180535361659798
山东,370000,0,低水平-下降型,口粮均值=122.67；口粮最新年值=98.80；口粮变化量=-28.60；口粮线性趋势斜率=-0.87；口粮变异系数=0.08,122.67,98.8,127.4,-28.60000000000001,-0.2244897959183674,-0.8660606060605573,9.433456418513844,0.07690108762137314
贵州,520000,0,低水平-下降型,口粮均值=122.16；口粮最新年值=119.50；口粮变化量=-16.30；口粮线性趋势斜率=-0.74；口粮变异系数=0.07,122.16,119.5,135.8,-16.30000000000001,-0.12002945508100155,-0.741818181818102,8.149871164625859,0.06671472793570611
湖北,420000,0,低水平-下降型,口粮均值=118.02；口粮最新年值=99.30；口粮变化量=-23.80；口粮线性趋势斜率=-0.56；口粮变异系数=0.08,118.02000000000001,99.3,123.1,-23.799999999999997,-0.19333874898456538,-0.5587878787878756,9.884715473902121,0.08375457951111778
宁夏,640000,0,低水平-下降型,口粮均值=115.50；口粮最新年值=107.70；口粮变化量=-23.40；口粮线性趋势斜率=-1.46；口粮变异系数=0.06,115.5,107.7,131.1,-23.39999999999999,-0.17848970251716242,-1.4630303030302647,7.344930224311185,0.06359246947455571
广东,440000,0,低水平-下降型,口粮均值=114.42；口粮最新年值=105.80；口粮变化量=-12.50；口粮线性趋势斜率=-1.03；口粮变异系数=0.06,114.41999999999999,105.8,118.3,-12.5,-0.10566356720202874,-1.027878787878844,6.356539939306601,0.05555444799254153
青海,630000,0,低水平-下降型,口粮均值=114.33；口粮最新年值=102.30；口粮变化量=-15.30；口粮线性趋势斜率=-1.27；口粮变异系数=0.06,114.33,102.3,117.6,-15.299999999999997,-0.1301020408163265,-1.2672727272727244,6.775699225910196,0.059264403270446915
天津,120000,0,低水平-下降型,口粮均值=110.74；口粮最新年值=91.90；口粮变化量=-35.50；口粮线性趋势斜率=-3.90；口粮变异系数=0.10,110.74000000000001,91.9,127.4,-35.5,-0.27864992150706436,-3.8969696969697782,11.543586964197912,0.10424044576664178
上海,310000,0,低水平-下降型,口粮均值=104.53；口粮最新年值=93.60；口粮变化量=-9.10；口粮线性趋势斜率=-0.49；口粮变异系数=0.06,104.53,93.6,102.7,-9.100000000000009,-0.08860759493670894,-0.4854545454545735,6.646359905993658,0.06358327662865836
海南,450000,0,低水平-下降型,口粮均值=101.78；口粮最新年值=100.20；口粮变化量=-0.70；口粮线性趋势斜率=0.65；口粮变异系数=0.05,101.785,100.2,100.9,-0.7000000000000028,-0.0069375619425173715,0.6489090909091207,5.447096933229662,0.05351571384024819
北京,110000,0,低水平-下降型,口粮均值=92.89；口粮最新年值=86.30；口粮变化量=-4.50；口粮线性趋势斜率=1.04；口粮变异系数=0.10,92.89,86.3,90.8,-4.5,-0.04955947136563877,1.0381818181818385,9.721054469552161,0.10465124846110627
