省份,年份,行政区划代码,总人口,城镇人口,乡村人口,0-14岁,15-64岁,65岁及以上,平均家庭规模,户数,城镇化率,乡村人口占比,0-14岁占比,15-64岁占比,65岁及以上占比
上海,2000,310000.0,1609.0,1417.93,191.07,145.75,1247.51,215.73,3.05,5081.0,0.8812492231199504,0.11875077688004972,0.09058421379738968,0.7753325046612803,0.13407706650093226
上海,2001,310000.0,1668.0,1471.84,196.16,150.61,1299.33,218.06,2.97,5288.0,0.8823980815347722,0.11760191846522781,0.0902937649880096,0.7789748201438849,0.13073141486810552
上海,2002,310000.0,1713.0,1512.96,200.04,183.58,1299.19,230.23,2.89,5495.0,0.8832224168126095,0.11677758318739054,0.10716870986573264,0.7584296555750146,0.13440163455925278
上海,2003,310000.0,1766.0,1561.38,204.62,155.58,1321.26,289.17,2.81,5702.0,0.8841336353340884,0.11586636466591167,0.08809739524348811,0.7481653454133635,0.16374292185730466
上海,2004,310000.0,1835.0,1624.43,210.57,161.39,1391.03,282.58,2.86,5844.0,0.8852479564032698,0.11475204359673025,0.08795095367847411,0.7580544959128065,0.15399455040871934
上海,2005,310000.0,1890.0,1684.0,206.0,160.21,1446.95,282.84,2.76,6019.0,0.891005291005291,0.10899470899470899,0.08476719576719577,0.7655820105820106,0.14965079365079365
上海,2006,310000.0,1964.0,1742.0,222.0,159.02,1521.88,283.1,2.65,6193.0,0.8869653767820774,0.11303462321792261,0.0809674134419552,0.7748879837067211,0.14414460285132383
上海,2007,310000.0,2064.0,1830.0,233.0,164.41,1605.47,294.12,2.65,6281.0,0.8866279069767442,0.11288759689922481,0.07965600775193798,0.777843992248062,0.14250000000000002
上海,2008,310000.0,2141.0,1897.0,244.0,169.21,1692.58,279.22,2.61,6416.0,0.8860345632881831,0.11396543671181691,0.07903316207379729,0.7905558150397011,0.13041569360112099
上海,2009,310000.0,2210.0,1958.0,252.0,167.05,1731.73,311.23,2.59,6475.0,0.885972850678733,0.11402714932126697,0.07558823529411765,0.7835882352941177,0.14082805429864254
上海,2010,310000.0,2303.0,2056.0,246.0,181.14,1873.51,248.35,2.46,7385.0,0.892748588797221,0.10681719496309162,0.07865392965696917,0.8135084672166739,0.10783760312635693
上海,2011,310000.0,2356.0,2104.0,252.0,195.23,1975.3,185.48,2.33,8294.0,0.8930390492359932,0.10696095076400679,0.08286502546689303,0.8384125636672326,0.07872665534804753
上海,2012,310000.0,2399.0,2142.0,257.0,203.04,1979.76,216.2,2.35,8220.0,0.8928720300125053,0.10712796998749478,0.08463526469362234,0.8252438516048354,0.09012088370154231
上海,2013,310000.0,2448.0,2193.0,255.0,229.18,1958.33,260.5,2.35,8377.0,0.8958333333333334,0.10416666666666667,0.09361928104575164,0.7999714052287581,0.10641339869281045
上海,2014,310000.0,2467.0,2203.0,264.0,249.42,1978.75,238.83,2.34,8496.0,0.892987434130523,0.10701256586947709,0.10110255370895824,0.8020875557357114,0.09680989055533036
上海,2015,310000.0,2458.0,2176.0,282.0,244.04,1934.63,279.33,2.41,8312.0,0.8852725793327909,0.11472742066720912,0.09928397070789259,0.7870748576078113,0.11364117168429617
上海,2016,310000.0,2467.0,2196.0,271.0,238.66,1908.51,319.84,2.47,8127.0,0.8901499797324686,0.10985002026753142,0.09674098094852047,0.7736157276043778,0.12964734495338467
上海,2017,310000.0,2466.0,2197.0,269.0,245.29,1869.01,351.7,2.49,7906.0,0.8909164639091647,0.10908353609083536,0.09946877534468775,0.757911597729116,0.14261962692619626
上海,2018,310000.0,2475.0,2206.0,269.0,243.43,1861.51,370.07,2.43,8139.0,0.8913131313131313,0.10868686868686869,0.09835555555555556,0.7521252525252525,0.1495232323232323
上海,2019,310000.0,2481.0,2214.0,267.0,248.95,1828.51,403.54,2.38,7832.0,0.8923821039903265,0.10761789600967352,0.10034260378879484,0.7370052398226522,0.16265215638855302
上海,2020,310000.0,2488.0,2222.0,266.0,246.68,1822.43,418.89,2.38,9368.0,0.8930868167202572,0.10691318327974277,0.09914790996784566,0.7324879421221865,0.16836414790996784
上海,2021,310000.0,2489.0,2223.0,266.0,244.41,1810.34,434.25,2.37,10904.0,0.8931297709923665,0.10687022900763359,0.0981960626757734,0.7273362796303736,0.17446765769385295
上海,2022,310000.0,2475.0,2211.0,264.0,241.87,1771.08,462.05,2.4,10277.0,0.8933333333333333,0.10666666666666667,0.09772525252525252,0.7155878787878788,0.18668686868686868
上海,2023,310000.0,2487.0,2225.0,262.0,238.28,1762.18,486.54,2.45,10373.0,0.8946521913952553,0.10534780860474467,0.09581021310816244,0.7085564937675916,0.1956332931242461
上海,2024,310000.0,2480.0,2228.28,252.0,235.66,1742.03,502.32,2.2,11459.0,0.8985000000000001,0.10161290322580645,0.09502419354838709,0.7024314516129032,0.2025483870967742
云南,2000,530000.0,4241.0,966.48,3274.52,1059.53,2870.52,310.95,3.49,11829.0,0.22788964866776704,0.7721103513322329,0.24983022871964158,0.6768497995755718,0.0733199717047866
云南,2001,530000.0,4287.0,1034.18,3252.82,1049.82,2925.19,311.98,3.64,11508.0,0.2412362957779333,0.7587637042220667,0.2448845346396081,0.6823396314439002,0.07277350128294845
云南,2002,530000.0,4333.0,1101.89,3231.11,1058.67,2969.29,305.04,3.79,11187.0,0.2543018693745673,0.7456981306254328,0.24432725594276483,0.6852734825755827,0.07039926148165244
云南,2003,530000.0,4376.0,1169.6,3206.4,1077.76,2990.55,307.7,3.94,10866.0,0.2672760511882998,0.7327239488117002,0.24628884826325412,0.6833980804387569,0.07031535648994515
云南,2004,530000.0,4415.0,1237.31,3177.69,992.26,3081.68,341.05,3.72,11486.0,0.28025141562853906,0.7197485843714609,0.22474745186862968,0.6980022650056624,0.07724801812004531
云南,2005,530000.0,4450.0,1313.0,3138.0,1004.87,3105.94,339.19,3.68,11426.0,0.2950561797752809,0.7051685393258427,0.22581348314606742,0.6979640449438202,0.07622247191011236
