省份,行政区划代码,cluster,cluster_label,核心特征摘要,总人口_均值,总人口_最新年值,总人口_首年值,总人口_变化量,总人口_变化率,总人口_线性趋势斜率,城镇人口_均值,城镇人口_最新年值,城镇人口_首年值,城镇人口_变化量,城镇人口_变化率,城镇人口_线性趋势斜率,乡村人口_均值,乡村人口_最新年值,乡村人口_首年值,乡村人口_变化量,乡村人口_变化率,乡村人口_线性趋势斜率,0-14岁_均值,0-14岁_最新年值,0-14岁_首年值,0-14岁_变化量,0-14岁_变化率,0-14岁_线性趋势斜率,15-64岁_均值,15-64岁_最新年值,15-64岁_首年值,15-64岁_变化量,15-64岁_变化率,15-64岁_线性趋势斜率,65岁及以上_均值,65岁及以上_最新年值,65岁及以上_首年值,65岁及以上_变化量,65岁及以上_变化率,65岁及以上_线性趋势斜率,平均家庭规模_均值,平均家庭规模_最新年值,平均家庭规模_首年值,平均家庭规模_变化量,平均家庭规模_变化率,平均家庭规模_线性趋势斜率,户数_均值,户数_最新年值,户数_首年值,户数_变化量,户数_变化率,户数_线性趋势斜率,城镇化率_均值,城镇化率_最新年值,城镇化率_首年值,城镇化率_变化量,城镇化率_变化率,城镇化率_线性趋势斜率,乡村人口占比_均值,乡村人口占比_最新年值,乡村人口占比_首年值,乡村人口占比_变化量,乡村人口占比_变化率,乡村人口占比_线性趋势斜率,0-14岁占比_均值,0-14岁占比_最新年值,0-14岁占比_首年值,0-14岁占比_变化量,0-14岁占比_变化率,0-14岁占比_线性趋势斜率,15-64岁占比_均值,15-64岁占比_最新年值,15-64岁占比_首年值,15-64岁占比_变化量,15-64岁占比_变化率,15-64岁占比_线性趋势斜率,65岁及以上占比_均值,65岁及以上占比_最新年值,65岁及以上占比_首年值,65岁及以上占比_变化量,65岁及以上占比_变化率,65岁及以上占比_线性趋势斜率
广东,440000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=12780.00；城镇化率_最新年值=0.76；65岁及以上占比_最新年值=0.10；总人口_线性趋势斜率=201.02,10864.88,12780.0,8642.0,4138.0,0.47882434621615366,201.0169230769257,7332.163199999999,9701.3,4753.1,4948.199999999999,1.0410468957101677,227.01762307692604,3532.7688,3079.0,3888.9,-809.9000000000001,-0.20825940497312867,-26.001007692308022,2038.4124,2240.81,1944.76,296.04999999999995,0.15222958102799314,7.804100000000138,7951.8772,9237.4,6079.26,3158.1399999999994,0.5194941489589192,166.11897692307906,874.5904,1301.79,617.98,683.81,1.106524482992977,27.093830769231197,3.2295999999999996,2.63,3.29,-0.6600000000000001,-0.20060790273556234,-0.03805384615384696,29191.88,49218.0,20747.0,28471.0,1.3722947896081361,1068.8238461538642,0.6664567658955718,0.7591001564945227,0.55,0.20910015649452263,0.38018210271731384,0.008709172220106975,0.33354821734273493,0.24092331768388106,0.45,-0.20907668231611895,-0.46461484959137545,-0.008709274004840908,0.19076072224488272,0.17533724569640063,0.22503587132608194,-0.0496986256296813,-0.22084757126416926,-0.0030684767843951466,0.7295849237266766,0.7228012519561815,0.7034552186993752,0.019346033256806283,0.027501442511970186,0.002116162705147353,0.07965436049902913,0.10186150234741784,0.07150890997454293,0.03035259237287491,0.4244588874824185,0.0009523113484335723
山东,370000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=10080.00；城镇化率_最新年值=0.66；65岁及以上占比_最新年值=0.18；总人口_线性趋势斜率=54.51,9660.32,10080.0,8998.0,1082.0,0.1202489442098244,54.5061538461545,5133.226,6701.18,3355.15,3346.03,0.9972817906799994,148.173223076925,4527.1012,3379.0,5642.85,-2263.8500000000004,-0.40118911542926006,-93.66386923077052,1617.5052000000003,1692.14,1447.37,244.7700000000002,0.16911363369421795,14.177830769230921,6889.229200000001,6600.21,6837.97,-237.76000000000022,-0.034770553248990595,-5.6102846153847645,1153.5839999999998,1787.65,712.66,1074.9900000000002,1.5084191620127414,45.93863846153911,2.8852,2.43,3.2,-0.77,-0.240625,-0.022269230769231096,30652.56,42300.0,27978.0,14322.0,0.5119022088784044,399.78615384616137,0.5276964746870266,0.6647996031746032,0.3728773060680151,0.29192229710658807,0.782891027037563,0.012419466880739125,0.4723041903189774,0.33521825396825394,0.6271226939319849,-0.291904439963731,-0.4654662361738574,-0.012419132988790344,0.1672907666987143,0.16787103174603177,0.1608546343631918,0.007016397382839962,0.04361949166473948,0.0004971664493690493,0.7144534850835786,0.6547827380952381,0.7599433207379418,-0.10516058264270367,-0.13837950775143026,-0.004567638989017239,0.118255581698263,0.17734623015873016,0.07920204489886641,0.09814418525986375,1.2391622638681195,0.004070476527179097
江苏,320000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=8526.00；城镇化率_最新年值=0.76；65岁及以上占比_最新年值=0.19；总人口_线性趋势斜率=57.51,8027.2,8526.0,7327.0,1199.0,0.16364132660024566,57.50846153846225,4988.7692,6439.69,3210.3,3229.3899999999994,1.0059464847522035,148.20610000000195,3038.4184000000005,2086.0,4116.7,-2030.6999999999998,-0.49328345519469474,-90.69819230769355,1155.8652,1108.92,1177.64,-68.72000000000003,-0.05835399612784894,-1.8147769230769408,5819.4776,5816.16,5425.29,390.8699999999999,0.07204591828270929,23.904569230769404,1051.858,1600.91,724.07,876.84,1.2109878879113898,35.41856153846211,2.9775999999999994,2.46,3.09,-0.6299999999999999,-0.20388349514563103,-0.015923076923077244,24183.72,34834.0,23550.0,11284.0,0.47915074309978767,290.013846153853,0.6160812453429418,0.7553002580342482,0.4381465811382558,0.3171536768959924,0.7238529080201028,0.014180904789603457,0.38391719726073215,0.24466338259441708,0.5618534188617442,-0.3171900362673271,-0.564542326555422,-0.014180933048307915,0.14452188919832273,0.13006333567909922,0.16072608161594104,-0.030662745936841818,-0.19077641679905574,-0.0013120812276623032,0.7256383613238989,0.682167487684729,0.7404517537873618,-0.05828426610263282,-0.07871446830196924,-0.002143679951970301,0.12983985389271102,0.18776800375322544,0.09882216459669715,0.08894583915652829,0.9000596123301376,0.0034557463292826276
四川,510000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=8364.00；城镇化率_最新年值=0.60；65岁及以上占比_最新年值=0.18；总人口_线性趋势斜率=9.97,8215.12,8364.0,8329.0,35.0,0.004202185136270861,9.969230769231133,3571.2904,5026.76,1971.94,3054.82,1.549144497297078,133.279169230771,4643.82,3337.0,6357.06,-3020.0600000000004,-0.47507180992471365,-123.3075384615399,1416.7028,1168.75,1645.5,-476.75,-0.28972956548161655,-19.066530769231022,5729.014400000001,5652.65,5924.72,-272.0700000000006,-0.0459211574555423,-7.000269230769316,1069.4032,1542.6,758.78,783.8199999999999,1.0330003426553152,36.03616923076982,2.9388000000000005,2.51,3.14,-0.6300000000000003,-0.20063694267515933,-0.024961538461538927,25848.2,33735.0,27007.0,6728.0,0.24912059836338726,162.17384615385168,0.4337454640699962,0.6009995217599235,0.2367559130747989,0.3642436086851246,1.5384773455269445,0.015596152540810057,0.5662532640187266,0.3989717838354854,0.7632440869252012,-0.36427230308971575,-0.4772684247803611,-0.015595853265053698,0.17257474404002973,0.13973577235772358,0.1975627326209629,-0.05782696026323933,-0.29270176361745387,-0.0025188427011729802,0.6975509989183567,0.6758309421329507,0.7113362948733342,-0.03550535274038347,-0.049913596418844075,-0.0016800896732527342,0.1298743050231524,0.18443328550932567,0.09110097250570297,0.0933323130036227,1.0244930480602723,0.0041989492769747
河北,130000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=7378.00；城镇化率_最新年值=0.63；65岁及以上占比_最新年值=0.16；总人口_线性趋势斜率=35.96,7152.2,7378.0,6674.0,704.0,0.10548396763560083,35.95692307692345,3426.5972,4679.13,1989.91,2689.2200000000003,1.3514279540280716,119.72369230769384,3725.5679999999998,2699.0,4684.09,-1985.0900000000001,-0.42379416279362697,-83.76249230769348,1285.6676,1251.7,1190.76,60.940000000000055,0.051177399308005016,7.908884615384699,5117.464,4912.09,5049.61,-137.51999999999953,-0.027233786371620685,-3.711130769230928,749.0688,1214.2,433.63,780.57,1.8000830200862488,31.75914615384661,3.2232000000000003,2.53,3.64,-1.1100000000000003,-0.304945054945055,-0.032053846153846606,20460.8,29644.0,18121.0,11523.0,0.6358920589371447,316.033846153852,0.4752984796602683,0.6342003252914069,0.298158525621816,0.3360417996695909,1.127057490537185,0.014474593456020621,0.5246965018583408,0.3658172946597994,0.701841474378184,-0.3360241797183846,-0.47877503964281193,-0.014473990558052638,0.1797004069007569,0.16965302249932232,0.178417740485466,-0.008764717986143672,-0.04912470005670569,0.00018518291628224397,0.7164793437005408,0.6657752778530768,0.756609229847168,-0.09083395199409128,-0.12005398349745133,-0.0041047968667504015,0.10382030213891301,0.16457034426673897,0.0649730296673659,0.09959731459937307,1.5329024228863681,0.003919610862426509
浙江,330000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=6670.00；城镇化率_最新年值=0.75；65岁及以上占比_最新年值=0.16；总人口_线性趋势斜率=91.46,5672.24,6670.0,4680.0,1990.0,0.4252136752136752,91.45769230769358,3587.9611999999997,5033.18,2070.93,2962.2500000000005,1.4303960056592935,126.41912307692472,2084.2459999999996,1637.0,2609.07,-972.0700000000002,-0.372573369054874,-34.95823076923116,769.1992,819.82,714.85,104.97000000000003,0.146841994824089,4.52902307692312,4245.798400000001,4801.94,3541.78,1260.1599999999994,0.35579849680104336,62.413115384616205,657.2412,1048.24,423.37,624.87,1.4759430285565818,24.515384615384978,2.700799999999999,2.35,2.95,-0.6000000000000001,-0.2033898305084746,-0.02213846153846189,18443.08,28820.0,15062.0,13758.0,0.9134245120169964,462.7569230769315,0.6222044259331198,0.7545997001499251,0.44250641025641024,0.3120932898935148,0.7052853532961758,0.012372229049228498,0.3777893100353198,0.2454272863568216,0.5574935897435898,-0.31206630338676816,-0.5597666217656387,-0.012371697501018901,0.13685096000857871,0.12291154422788607,0.1527457264957265,-0.029834182267840445,-0.19531926000348782,-0.0014792713344216675,0.7492269340569928,0.7199310344827585,0.7567905982905984,-0.036859563807839835,-0.04870510269432048,-0.0008634016357538262,0.11392191752193913,0.15715742128935534,0.09046367521367521,0.06669374607568013,0.7372433843545433,0.0023426451982649647
湖南,430000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=6539.00；城镇化率_最新年值=0.62；65岁及以上占比_最新年值=0.17；总人口_线性趋势斜率=4.17,6561.4,6539.0,6562.0,-23.0,-0.003505028954587016,4.1746153846154135,3059.6144,4058.76,1909.66,2149.1000000000004,1.1253835761339717,95.8295538461551,3501.776,2480.0,4652.34,-2172.34,-0.4669349187720588,-91.65715384615504,1201.1704,1084.28,1199.51,-115.23000000000002,-0.09606422622570884,0.13834615384614546,4598.4872,4363.83,4790.4,-426.5699999999997,-0.0890468436873747,-17.12078461538489,761.7423999999999,1090.89,572.09,518.8000000000001,0.9068503207537276,21.15670000000034,3.17,2.39,3.54,-1.15,-0.32485875706214684,-0.0252076923076927,19158.92,27543.0,19101.0,8442.0,0.44196638919428305,159.10000000000434,0.46588364395621484,0.6207004129071724,0.2910179823224627,0.3296824305847097,1.1328593097707784,0.01426326577979958,0.5341148879293945,0.37926288423306315,0.7089820176775373,-0.3297191334444742,-0.4650599383670668,-0.014263604575428178,0.18298368753298838,0.16581740327267167,0.18279640353550747,-0.016979000262835803,-0.09288476104803506,-9.245031998352738e-05,0.7009749980073091,0.6673543355253096,0.7300213349588539,-0.06266699943354426,-0.08584269586734249,-0.0030483183546221562,0.11604131639517118,0.16682826120201869,0.08718226150563853,0.07964599969638016,0.9135573948288671,0.003140715080182262
安徽,340000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=6123.00；城镇化率_最新年值=0.63；65岁及以上占比_最新年值=0.16；总人口_线性趋势斜率=-0.96,6079.868399999999,6123.0,5986.0,137.0,0.022886735716672234,-0.9641692307693189,2802.39,3831.16,1664.71,2166.45,1.3013978410654106,90.07628461538576,3247.8128,2292.0,4321.29,-2029.29,-0.469602826933624,-96.17753846153975,1187.0639999999999,1017.75,1359.36,-341.6099999999999,-0.25130208333333326,-14.35788461538483,4198.0932,4144.83,4103.44,41.39000000000033,0.010086658998303943,-6.304853846154028,694.7123999999999,960.42,523.2,437.2199999999999,0.8356651376146786,19.698523076923358,3.0932,2.46,3.71,-1.25,-0.33692722371967654,-0.032584615384615635,18398.32,25375.0,17227.0,8148.0,0.4729784640390085,165.8976923076952,0.4610742853108821,0.6256998203495019,0.2781005679919813,0.3475992523575206,1.2499048630765228,0.014821916954298828,0.5340729007226591,0.37432631063204314,0.7218994320080186,-0.3475731213759755,-0.48147027960553207,-0.01566227159218312,0.19516201580586517,0.16621754042136208,0.22708987637821582,-0.060872335956853735,-0.2680539393815667,-0.0023200284850279896,0.6905943343784129,0.6769279764821166,0.6855061810892081,-0.008578204607091577,-0.012513679444088419,-0.0009186941254538199,0.11424384652811,0.1568544830965213,0.08740394253257602,0.06945054056394528,0.7945927672319886,0.0032387151634653854
湖北,420000.0,0,中等人口规模-老龄化中-上升型,总人口_最新年值=5834.00；城镇化率_最新年值=0.66；65岁及以上占比_最新年值=0.17；总人口_线性趋势斜率=9.87,5773.96,5834.0,5646.0,188.0,0.03329791002479632,9.865384615384727,3016.7403999999997,3870.86,2034.41,1836.45,0.9026941471974675,81.8610923076934,2757.2140000000004,1963.0,3611.59,-1648.5900000000001,-0.45647208016413826,-71.997000000001,943.6496,833.11,1062.17,-229.06000000000006,-0.21565286159466002,-9.8769000000001,4176.8456,3991.93,4121.3,-129.37000000000035,-0.031390580642030506,-1.9394769230770783,653.4652000000001,1008.96,462.53,546.4300000000001,1.181393639331503,21.681815384615728,3.0619999999999994,2.6,3.28,-0.6799999999999997,-0.20731707317073164,-0.019600000000000294,17315.2,22815.0,18234.0,4581.0,0.2512339585389931,79.88384615384915,0.5212439324397808,0.6635001714089819,0.36032766560396745,0.3031725058050144,0.8413800402942924,0.013324014338838498,0.4787551076699209,0.3364758313335619,0.6396723343960327,-0.30319650306247076,-0.47398720682323014,-0.01332423585198425,0.16360818403034283,0.1428025368529311,0.18812787814381865,-0.045325341290887555,-0.2409283607410783,-0.0020072900830424003,0.7234819031056362,0.6842526568392183,0.7299504073680482,-0.04569775052882985,-0.06260391126241073,-0.0015576582750243925,0.11290997999570457,0.17294480630785053,0.0819217144881332,0.09102309181971734,1.111098472345846,0.003564957870077027
河南,410000.0,1,高人口规模-老龄化中-上升型,总人口_最新年值=9785.00；城镇化率_最新年值=0.59；65岁及以上占比_最新年值=0.15；总人口_线性趋势斜率=18.62,9642.92,9785.0,9488.0,297.0,0.031302698145025294,18.61846153846182,4045.2028000000005,5794.68,2077.29,3717.3900000000003,1.7895382926794046,163.99244615384833,5597.7044,3990.0,7410.71,-3420.71,-0.46159005007617354,-145.37693846154036,1862.0615999999998,1894.59,0.0,1894.59,-0.10300172789865125,36.17132307692233,6117.9328000000005,6419.12,0.0,6419.12,0.05425434079541625,106.33917692307415,901.2064,1471.29,0.0,1471.29,1.1961907636214464,44.539553846154135,3.3392,2.67,3.76,-1.0899999999999999,-0.2898936170212766,-0.02704615384615417,26320.8,37218.0,25082.0,12136.0,0.48385296228370944,246.54153846154378,0.4178964258907634,0.5922003065917221,0.21893865935919055,0.3732616472325315,1.7048686071478991,0.01611478472661525,0.5821022659845559,0.4077669902912621,0.7810613406408095,-0.37329435034954733,-0.4779321814126454,-0.016115086601541553,0.19284456538369427,0.19362187020950433,0.0,0.19362187020950433,-0.19304783840127177,0.0033941148413531206,0.6341303177885298,0.6560163515585079,0.0,0.6560163515585079,-0.049339786364657606,0.00987898879230786,0.09302519832562915,0.15036177823198774,0.0,0.15036177823198774,0.8966152332069048,0.0044192095297778695
