省份,行政区划代码,人口聚类,口粮聚类,经济聚类,饲料粮聚类
上海,310000.0,低人口规模-老龄化高-上升型,低水平-稳定型,高经济水平-上升型,低水平-上升型
云南,530000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
内蒙古,150000.0,低人口规模-老龄化高-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
北京,110000.0,低人口规模-老龄化高-上升型,低水平-稳定型,高经济水平-上升型,低水平-上升型
吉林,220000.0,低人口规模-老龄化高-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
四川,510000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
天津,120000.0,低人口规模-老龄化高-上升型,低水平-稳定型,高经济水平-上升型,低水平-上升型
宁夏,640000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
安徽,340000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
山东,370000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
山西,140000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
广东,440000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,高经济水平-上升型,高水平-上升型
广西,450000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
新疆,650000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
江苏,320000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,高经济水平-上升型,高水平-上升型
江西,360000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
河北,130000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
河南,410000.0,高人口规模-老龄化中-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
浙江,330000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,高经济水平-上升型,高水平-上升型
海南,450000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
湖北,420000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
湖南,430000.0,中等人口规模-老龄化中-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
甘肃,620000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
福建,350000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,高经济水平-上升型,高水平-上升型
西藏,540000.0,中等人口规模-老龄化低-上升型,高水平-下降型,低经济水平-上升型,低水平-上升型
贵州,520000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
辽宁,210000.0,低人口规模-老龄化高-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
重庆,500000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
陕西,610000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
青海,630000.0,中等人口规模-老龄化低-上升型,低水平-稳定型,低经济水平-上升型,低水平-上升型
黑龙江,230000.0,低人口规模-老龄化高-上升型,低水平-稳定型,低经济水平-上升型,高水平-上升型
