省份,food_grain_clustering,feed_grain_clustering,population_clustering,economy_clustering,consensus_cluster,consensus_count
上海,0,0,3,1,0,2
云南,0,0,0,3,0,3
内蒙古,3,3,3,2,3,3
北京,0,0,3,1,0,2
吉林,3,3,3,3,3,4
四川,2,0,2,3,2,2
天津,0,0,3,0,0,3
宁夏,0,2,0,2,0,2
安徽,3,3,2,3,3,3
山东,0,3,2,0,0,2
山西,0,2,0,3,0,2
广东,0,1,2,0,0,2
广西,0,0,0,3,0,3
新疆,2,2,0,2,2,3
江苏,3,3,2,0,3,2
江西,3,3,0,3,3,3
河北,3,3,2,3,3,3
河南,3,3,1,3,3,3
浙江,3,1,2,0,3,1
海南,0,1,0,2,0,2
湖北,0,0,2,3,0,2
湖南,3,1,2,3,3,2
甘肃,2,2,0,2,2,3
福建,0,1,0,0,0,3
西藏,1,2,0,2,2,2
贵州,0,0,0,3,0,3
辽宁,3,3,3,0,3,3
重庆,3,1,0,3,3,2
陕西,3,2,0,3,3,2
青海,0,2,0,2,0,2
黑龙江,3,3,3,3,3,4
