省份,年份,猪肉（千克/人）,牛肉（千克/人）,羊肉（千克/人）,禽肉（千克/人）,水产品（千克/人）,蛋类（千克/人）,奶类（千克/人）,缺失分项数
上海,2000,,,,,,,,7
上海,2001,,,,,,,,7
上海,2002,,,,,,,,7
上海,2003,,,,,,,,7
上海,2004,,,,,,,,7
上海,2005,,,,,,,,7
上海,2006,,,,,,,,7
上海,2007,,,,,,,,7
上海,2008,,,,,,,,7
上海,2009,,,,,,,,7
上海,2010,,,,,,,,7
上海,2011,,,,,,,,7
上海,2012,,,,,,,,7
上海,2013,,,,,,,,7
上海,2014,,,,,,,,7
云南,2000,,,,,,,,7
云南,2001,,,,,,,,7
云南,2002,,,,,,,,7
云南,2003,,,,,,,,7
云南,2004,,,,,,,,7
云南,2005,,,,,,,,7
云南,2006,,,,,,,,7
云南,2007,,,,,,,,7
云南,2008,,,,,,,,7
云南,2009,,,,,,,,7
云南,2010,,,,,,,,7
云南,2011,,,,,,,,7
云南,2012,,,,,,,,7
云南,2013,,,,,,,,7
云南,2014,,,,,,,,7
内蒙古,2000,,,,,,,,7
内蒙古,2001,,,,,,,,7
内蒙古,2002,,,,,,,,7
内蒙古,2003,,,,,,,,7
内蒙古,2004,,,,,,,,7
内蒙古,2005,,,,,,,,7
内蒙古,2006,,,,,,,,7
内蒙古,2007,,,,,,,,7
内蒙古,2008,,,,,,,,7
内蒙古,2009,,,,,,,,7
内蒙古,2010,,,,,,,,7
内蒙古,2011,,,,,,,,7
内蒙古,2012,,,,,,,,7
内蒙古,2013,,,,,,,,7
内蒙古,2014,,,,,,,,7
北京,2000,,,,,,,,7
北京,2001,,,,,,,,7
北京,2002,,,,,,,,7
北京,2003,,,,,,,,7
北京,2004,,,,,,,,7
北京,2005,,,,,,,,7
北京,2006,,,,,,,,7
北京,2007,,,,,,,,7
北京,2008,,,,,,,,7
北京,2009,,,,,,,,7
北京,2010,,,,,,,,7
北京,2011,,,,,,,,7
北京,2012,,,,,,,,7
北京,2013,,,,,,,,7
北京,2014,,,,,,,,7
吉林,2000,,,,,,,,7
吉林,2001,,,,,,,,7
吉林,2002,,,,,,,,7
吉林,2003,,,,,,,,7
吉林,2004,,,,,,,,7
吉林,2005,,,,,,,,7
吉林,2006,,,,,,,,7
吉林,2007,,,,,,,,7
吉林,2008,,,,,,,,7
吉林,2009,,,,,,,,7
吉林,2010,,,,,,,,7
吉林,2011,,,,,,,,7
吉林,2012,,,,,,,,7
吉林,2013,,,,,,,,7
吉林,2014,,,,,,,,7
四川,2000,,,,,,,,7
四川,2001,,,,,,,,7
四川,2002,,,,,,,,7
四川,2003,,,,,,,,7
四川,2004,,,,,,,,7
四川,2005,,,,,,,,7
四川,2006,,,,,,,,7
四川,2007,,,,,,,,7
四川,2008,,,,,,,,7
四川,2009,,,,,,,,7
四川,2010,,,,,,,,7
四川,2011,,,,,,,,7
四川,2012,,,,,,,,7
四川,2013,,,,,,,,7
天津,2000,,,,,,,,7
天津,2001,,,,,,,,7
天津,2002,,,,,,,,7
天津,2003,,,,,,,,7
天津,2004,,,,,,,,7
天津,2005,,,,,,,,7
天津,2006,,,,,,,,7
天津,2007,,,,,,,,7
天津,2008,,,,,,,,7
天津,2009,,,,,,,,7
天津,2010,,,,,,,,7
天津,2011,,,,,,,,7
天津,2012,,,,,,,,7
天津,2013,,,,,,,,7
天津,2014,,,,,,,,7
宁夏,2000,,,,,,,,7
宁夏,2001,,,,,,,,7
宁夏,2002,,,,,,,,7
宁夏,2003,,,,,,,,7
宁夏,2004,,,,,,,,7
宁夏,2005,,,,,,,,7
宁夏,2006,,,,,,,,7
宁夏,2007,,,,,,,,7
宁夏,2008,,,,,,,,7
宁夏,2009,,,,,,,,7
宁夏,2010,,,,,,,,7
宁夏,2011,,,,,,,,7
宁夏,2012,,,,,,,,7
宁夏,2013,,,,,,,,7
宁夏,2014,,,,,,,,7
安徽,2000,,,,,,,,7
安徽,2001,,,,,,,,7
安徽,2002,,,,,,,,7
安徽,2003,,,,,,,,7
安徽,2004,,,,,,,,7
安徽,2005,,,,,,,,7
安徽,2006,,,,,,,,7
安徽,2007,,,,,,,,7
安徽,2008,,,,,,,,7
安徽,2009,,,,,,,,7
安徽,2010,,,,,,,,7
安徽,2011,,,,,,,,7
安徽,2012,,,,,,,,7
安徽,2013,,,,,,,,7
安徽,2014,,,,,,,,7
山东,2000,,,,,,,,7
山东,2001,,,,,,,,7
山东,2002,,,,,,,,7
山东,2003,,,,,,,,7
山东,2004,,,,,,,,7
山东,2005,,,,,,,,7
山东,2006,,,,,,,,7
山东,2007,,,,,,,,7
山东,2008,,,,,,,,7
山东,2009,,,,,,,,7
山东,2010,,,,,,,,7
山东,2011,,,,,,,,7
山东,2012,,,,,,,,7
山西,2000,,,,,,,,7
山西,2001,,,,,,,,7
山西,2002,,,,,,,,7
山西,2003,,,,,,,,7
山西,2004,,,,,,,,7
山西,2005,,,,,,,,7
山西,2006,,,,,,,,7
山西,2007,,,,,,,,7
山西,2008,,,,,,,,7
山西,2009,,,,,,,,7
山西,2010,,,,,,,,7
山西,2011,,,,,,,,7
山西,2012,,,,,,,,7
山西,2013,,,,,,,,7
山西,2014,,,,,,,,7
广东,2000,,,,,,,,7
广东,2001,,,,,,,,7
广东,2002,,,,,,,,7
广东,2003,,,,,,,,7
广东,2004,,,,,,,,7
广东,2005,,,,,,,,7
广东,2006,,,,,,,,7
广东,2007,,,,,,,,7
广东,2008,,,,,,,,7
广东,2009,,,,,,,,7
广东,2010,,,,,,,,7
广东,2011,,,,,,,,7
广东,2012,,,,,,,,7
广东,2013,27.82,,,,,,,6
广东,2014,29.04,,,,,,,6
广西,2000,,,,,,,,7
广西,2001,,,,,,,,7
广西,2002,,,,,,,,7
广西,2003,,,,,,,,7
广西,2004,,,,,,,,7
广西,2005,,,,,,,,7
广西,2006,,,,,,,,7
广西,2007,,,,,,,,7
广西,2008,,,,,,,,7
广西,2009,,,,,,,,7
广西,2010,,,,,,,,7
广西,2011,,,,,,,,7
广西,2012,,,,,,,,7
广西,2013,,,,,,,,7
广西,2014,,,,,,,,7
新疆,2000,,,,,,,,7
新疆,2001,,,,,,,,7
新疆,2002,,,,,,,,7
新疆,2003,,,,,,,,7
新疆,2004,,,,,,,,7
新疆,2005,,,,,,,,7
新疆,2006,,,,,,,,7
新疆,2007,,,,,,,,7
新疆,2008,,,,,,,,7
新疆,2009,,,,,,,,7
新疆,2010,,,,,,,,7
新疆,2011,,,,,,,,7
新疆,2012,,,,,,,,7
新疆,2013,,,,,,,,7
新疆,2014,,,,,,,,7
江苏,2000,,,,,,,,7
江苏,2001,,,,,,,,7
江苏,2002,,,,,,,,7
江苏,2003,,,,,,,,7
江苏,2004,,,,,,,,7
江苏,2005,,,,,,,,7
江苏,2006,,,,,,,,7
江苏,2007,,,,,,,,7
江苏,2008,,,,,,,,7
江苏,2009,,,,,,,,7
江苏,2010,,,,,,,,7
江苏,2011,,,,,,,,7
江苏,2012,,,,,,,,7
江西,2000,,,,,,,,7
江西,2001,,,,,,,,7
江西,2002,,,,,,,,7
江西,2003,,,,,,,,7
江西,2004,,,,,,,,7
江西,2005,,,,,,,,7
江西,2006,,,,,,,,7
江西,2007,,,,,,,,7
江西,2008,,,,,,,,7
江西,2009,,,,,,,,7
江西,2010,,,,,,,,7
江西,2011,,,,,,,,7
江西,2012,,,,,,,,7
江西,2013,,,,,,,,7
江西,2014,,,,,,,,7
河北,2000,,,,,,,,7
河北,2001,,,,,,,,7
河北,2002,,,,,,,,7
河北,2003,,,,,,,,7
河北,2004,,,,,,,,7
河北,2005,,,,,,,,7
河北,2006,,,,,,,,7
河北,2007,,,,,,,,7
河北,2008,,,,,,,,7
河北,2009,,,,,,,,7
河北,2010,,,,,,,,7
河北,2011,,,,,,,,7
河北,2012,,,,,,,,7
河南,2000,,,,,,,,7
河南,2001,,,,,,,,7
河南,2002,,,,,,,,7
