省份,年份,行政区划代码,猪肉（千克/人）,牛肉（千克/人）,羊肉（千克/人）,禽肉（千克/人）,水产品（千克/人）,蛋类（千克/人）,奶类（千克/人）,缺失分项数
上海,2000,310000,,,,,,,,7
上海,2001,310000,,,,,,,,7
上海,2002,310000,,,,,,,,7
上海,2003,310000,,,,,,,,7
上海,2004,310000,,,,,,,,7
上海,2005,310000,,,,,,,,7
上海,2006,310000,,,,,,,,7
上海,2007,310000,,,,,,,,7
上海,2008,310000,,,,,,,,7
上海,2009,310000,,,,,,,,7
上海,2010,310000,,,,,,,,7
上海,2011,310000,,,,,,,,7
上海,2012,310000,,,,,,,,7
上海,2013,310000,,,,,,,,7
上海,2014,310000,,,,,,,,7
上海,2015,310000,20.6,2.6,1.0,12.1,25.2,10.4,21.7,0
上海,2016,310000,20.2,2.8,1.1,13.3,25.7,11.1,21.0,0
上海,2017,310000,19.5,2.9,0.9,12.8,25.1,10.7,20.8,0
上海,2018,310000,22.4,3.0,1.1,12.3,24.5,12.0,20.8,0
上海,2019,310000,19.8,3.5,1.0,13.1,27.2,12.3,20.8,0
上海,2020,310000,19.1,4.2,1.0,14.0,27.1,13.9,23.1,0
上海,2021,310000,23.1,4.4,1.2,14.2,27.9,14.0,24.0,0
上海,2022,310000,23.3,4.3,1.1,12.6,24.6,14.3,20.6,0
上海,2023,310000,24.1,4.9,1.3,12.7,24.5,15.0,21.9,0
上海,2024,310000,23.3,5.4,1.5,13.0,23.9,14.5,20.5,0
云南,2000,530000,,,,,,,,7
云南,2001,530000,,,,,,,,7
云南,2002,530000,,,,,,,,7
云南,2003,530000,,,,,,,,7
云南,2004,530000,,,,,,,,7
云南,2005,530000,,,,,,,,7
云南,2006,530000,,,,,,,,7
云南,2007,530000,,,,,,,,7
云南,2008,530000,,,,,,,,7
云南,2009,530000,,,,,,,,7
云南,2010,530000,,,,,,,,7
云南,2011,530000,,,,,,,,7
云南,2012,530000,,,,,,,,7
云南,2013,530000,,,,,,,,7
云南,2014,530000,,,,,,,,7
云南,2015,530000,25.9,1.6,0.4,7.4,3.7,5.0,5.5,0
云南,2016,530000,26.2,1.8,0.5,7.9,3.9,4.8,5.3,0
云南,2017,530000,26.9,1.7,0.5,7.6,3.7,4.5,5.3,0
云南,2018,530000,27.5,2.0,0.4,6.7,3.5,4.3,5.1,0
云南,2019,530000,27.7,2.1,0.4,7.9,4.5,4.5,5.8,0
云南,2020,530000,24.7,1.7,0.3,9.6,4.8,5.4,6.2,0
云南,2021,530000,30.8,1.9,0.4,10.2,5.2,6.0,7.2,0
云南,2022,530000,33.4,2.0,0.4,10.0,5.5,6.2,6.6,0
云南,2023,530000,35.4,2.3,0.5,11.2,6.3,7.8,8.0,0
云南,2024,530000,34.4,3.0,0.6,11.2,6.1,6.0,7.7,0
内蒙古,2000,150000,,,,,,,,7
内蒙古,2001,150000,,,,,,,,7
内蒙古,2002,150000,,,,,,,,7
内蒙古,2003,150000,,,,,,,,7
内蒙古,2004,150000,,,,,,,,7
内蒙古,2005,150000,,,,,,,,7
内蒙古,2006,150000,,,,,,,,7
内蒙古,2007,150000,,,,,,,,7
内蒙古,2008,150000,,,,,,,,7
内蒙古,2009,150000,,,,,,,,7
内蒙古,2010,150000,,,,,,,,7
内蒙古,2011,150000,,,,,,,,7
内蒙古,2012,150000,,,,,,,,7
内蒙古,2013,150000,,,,,,,,7
内蒙古,2014,150000,,,,,,,,7
内蒙古,2015,150000,16.9,3.8,8.6,5.1,4.9,9.3,21.9,0
内蒙古,2016,150000,16.5,4.3,9.9,5.9,5.2,9.3,22.7,0
内蒙古,2017,150000,17.0,4.3,8.9,5.3,4.9,9.1,22.7,0
内蒙古,2018,150000,20.0,3.3,7.5,5.6,5.2,9.2,22.2,0
内蒙古,2019,150000,19.5,3.5,6.4,6.5,6.7,11.0,24.0,0
内蒙古,2020,150000,18.3,3.9,6.4,8.0,6.5,14.3,24.8,0
内蒙古,2021,150000,26.8,4.1,7.1,7.4,6.4,13.7,23.8,0
内蒙古,2022,150000,24.9,4.0,6.6,6.8,6.6,14.2,20.9,0
内蒙古,2023,150000,27.4,4.3,7.4,8.3,8.0,16.5,25.4,0
内蒙古,2024,150000,25.5,6.1,8.4,9.2,8.0,16.9,29.3,0
北京,2000,110000,,,,,,,,7
北京,2001,110000,,,,,,,,7
北京,2002,110000,,,,,,,,7
北京,2003,110000,,,,,,,,7
北京,2004,110000,,,,,,,,7
北京,2005,110000,,,,,,,,7
北京,2006,110000,,,,,,,,7
北京,2007,110000,,,,,,,,7
北京,2008,110000,,,,,,,,7
北京,2009,110000,,,,,,,,7
北京,2010,110000,,,,,,,,7
北京,2011,110000,,,,,,,,7
北京,2012,110000,,,,,,,,7
北京,2013,110000,,,,,,,,7
北京,2014,110000,,,,,,,,7
北京,2015,110000,14.2,3.3,3.0,6.0,9.6,13.7,26.9,0
北京,2016,110000,13.1,2.9,3.1,5.7,8.5,12.0,23.2,0
北京,2017,110000,12.7,2.9,2.8,5.5,8.6,12.1,22.5,0
北京,2018,110000,16.3,3.3,2.7,5.8,8.9,14.6,26.0,0
北京,2019,110000,14.6,3.6,2.6,6.5,10.1,14.5,28.9,0
北京,2020,110000,15.3,3.9,3.1,7.9,9.5,16.9,30.1,0
北京,2021,110000,18.5,4.0,3.4,7.6,10.0,16.2,29.8,0
北京,2022,110000,17.5,3.8,2.9,6.9,9.4,16.3,22.0,0
北京,2023,110000,18.2,3.8,3.4,7.3,10.2,17.4,20.7,0
北京,2024,110000,15.7,4.1,3.3,6.9,9.1,15.6,17.1,0
吉林,2000,220000,,,,,,,,7
吉林,2001,220000,,,,,,,,7
吉林,2002,220000,,,,,,,,7
吉林,2003,220000,,,,,,,,7
吉林,2004,220000,,,,,,,,7
吉林,2005,220000,,,,,,,,7
吉林,2006,220000,,,,,,,,7
吉林,2007,220000,,,,,,,,7
吉林,2008,220000,,,,,,,,7
吉林,2009,220000,,,,,,,,7
吉林,2010,220000,,,,,,,,7
吉林,2011,220000,,,,,,,,7
吉林,2012,220000,,,,,,,,7
吉林,2013,220000,,,,,,,,7
