省份,行政区划代码,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,21.7,21.0,20.8,20.8,20.8,23.1,24.0,20.6,21.9,20.5
云南,530000,,,5.5,5.3,5.3,5.1,5.8,6.2,7.2,6.6,8.0,7.7
内蒙古,150000,,,21.9,22.7,22.7,22.2,24.0,24.8,23.8,20.9,25.4,29.3
北京,110000,,,26.9,23.2,22.5,26.0,28.9,30.1,29.8,22.0,20.7,17.1
吉林,220000,,,9.5,9.5,9.7,10.0,10.8,11.6,11.3,9.0,8.4,7.8
四川,510000,,11.23,10.69,11.06,12.28,12.48,11.6,10.0,11.5,11.9,12.8,12.3
天津,120000,,,17.1,17.0,17.2,18.6,17.0,16.8,17.2,14.7,15.2,13.8
宁夏,640000,,,15.5,14.4,13.4,13.5,14.6,13.5,15.4,14.8,14.5,14.6
安徽,340000,,,10.7,10.5,11.0,11.7,12.0,11.3,13.3,11.5,13.3,13.2
山东,370000,17.24,19.6,18.2,17.7,17.3,16.4,16.9,17.6,17.1,14.0,15.8,15.0
山西,140000,,,14.7,14.1,15.0,15.7,16.8,17.9,19.2,17.3,16.3,16.2
广东,440000,,,8.3,7.5,7.7,8.6,8.8,9.6,12.9,9.3,9.6,8.6
广西,450000,,,5.7,5.6,5.6,5.6,5.0,5.6,6.3,5.0,6.4,5.9
新疆,650000,,,19.5,20.5,21.0,19.9,21.1,18.7,18.4,17.2,19.6,24.1
江苏,320000,16.58,17.04,16.4,15.8,15.6,15.1,14.7,15.4,15.0,14.4,16.8,15.8
江西,360000,,,11.2,10.1,11.1,10.8,11.0,11.2,12.4,10.4,11.6,10.6
河北,130000,14.03,14.09,13.9,15.2,14.4,14.4,14.5,16.5,17.6,15.8,17.8,15.5
河南,410000,,,10.9,11.0,11.5,12.5,13.1,13.5,16.0,13.1,13.4,12.7
浙江,330000,,,12.5,12.0,12.0,13.2,13.5,14.7,16.9,14.1,14.3,13.6
海南,450000,,2.38,4.3,4.4,4.2,4.7,4.5,4.9,5.7,4.5,5.8,5.0
湖北,420000,,,8.0,7.6,6.9,6.8,7.4,7.7,10.9,9.1,9.2,8.2
湖南,430000,,,5.8,5.4,5.7,6.7,6.9,7.4,8.9,8.0,7.9,7.9
甘肃,620000,,,13.4,13.8,13.9,13.6,15.9,15.7,17.4,14.7,11.6,12.1
福建,350000,,,10.8,11.0,10.8,11.7,10.7,11.7,13.4,11.4,13.0,12.1
西藏,540000,,,21.4,20.4,22.5,14.3,11.6,8.5,9.3,9.6,7.6,10.5
贵州,520000,,,5.3,5.5,5.4,4.4,4.6,5.1,6.4,6.7,6.7,6.7
辽宁,210000,,,14.4,14.8,15.0,14.9,16.0,17.7,19.3,15.6,15.6,14.2
重庆,500000,16.19,16.33,14.6,16.62,17.21,12.64,13.3,14.0,17.5,15.7,17.4,16.3
陕西,610000,10.0,10.1,12.6,13.4,14.6,13.8,14.5,14.7,15.4,14.7,13.7,13.7
青海,630000,,,17.4,18.2,17.9,17.6,18.8,16.7,17.0,17.5,17.8,18.4
黑龙江,230000,,,10.4,9.8,10.4,10.4,9.8,10.6,12.4,10.6,10.5,10.0
