省份,行政区划代码,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,25.2,25.7,25.1,24.5,27.2,27.1,27.9,24.6,24.5,23.9
云南,530000,,,3.7,3.9,3.7,3.5,4.5,4.8,5.2,5.5,6.3,6.1
内蒙古,150000,,,4.9,5.2,4.9,5.2,6.7,6.5,6.4,6.6,8.0,8.0
北京,110000,,,9.6,8.5,8.6,8.9,10.1,9.5,10.0,9.4,10.2,9.1
吉林,220000,,,7.0,7.4,7.3,8.0,9.9,10.2,9.9,9.7,10.1,10.2
四川,510000,,6.44,6.8,7.27,7.63,7.2,9.4,9.2,9.9,9.8,10.1,9.8
天津,120000,,,16.6,16.9,16.9,16.7,17.4,16.8,17.3,17.2,16.7,14.9
宁夏,640000,,,2.6,2.8,2.6,2.5,3.0,2.9,2.8,3.0,3.2,3.1
安徽,340000,,,10.8,11.2,10.8,12.0,15.2,14.6,15.1,14.1,16.0,17.2
山东,370000,10.5,11.2,11.2,11.7,11.6,12.1,13.8,15.7,11.9,12.6,15.1,13.4
山西,140000,,,3.0,2.2,2.4,2.6,3.0,3.1,2.9,3.1,3.6,3.5
广东,440000,,,22.0,22.0,22.8,22.0,28.6,30.0,27.5,24.4,27.7,27.5
广西,450000,,,10.2,10.5,10.6,9.9,13.4,13.5,12.8,12.0,12.4,12.9
新疆,650000,,,3.2,3.5,3.3,2.9,3.2,3.1,2.9,3.1,2.9,2.8
江苏,320000,16.89,17.04,17.4,17.9,18.1,17.8,19.6,19.5,22.1,23.0,25.5,26.8
江西,360000,,,12.2,12.2,12.6,12.7,15.5,15.7,18.4,18.2,19.6,19.3
河北,130000,5.23,5.13,5.3,6.0,5.7,5.9,7.4,7.6,8.4,8.8,10.2,8.8
河南,410000,,,3.7,4.1,3.8,4.0,4.7,5.2,5.9,5.7,7.7,7.2
浙江,330000,,,24.3,23.3,23.7,22.9,25.9,25.9,30.5,30.5,29.6,32.1
海南,450000,21.56,21.72,26.8,26.7,25.6,27.0,31.6,30.8,33.6,30.0,33.5,33.9
湖北,420000,,,14.9,15.8,15.1,15.4,17.6,18.1,19.5,17.9,17.6,16.8
湖南,430000,,,11.5,12.3,11.8,11.9,14.8,14.6,14.6,14.6,14.6,15.3
甘肃,620000,,,2.0,2.1,2.2,2.4,3.1,2.8,2.8,2.8,3.0,2.9
福建,350000,,,26.0,26.6,25.8,23.9,25.3,26.4,26.8,25.7,31.5,30.7
西藏,540000,,,0.5,0.4,0.7,0.5,0.6,0.4,0.5,0.5,0.6,0.7
贵州,520000,,,2.2,2.4,2.4,2.2,2.8,3.0,3.5,3.6,3.7,3.9
辽宁,210000,,,13.9,14.8,14.5,13.7,15.4,15.1,17.1,17.0,18.1,16.6
重庆,500000,9.15,9.58,9.89,9.97,10.47,9.93,12.1,12.5,14.9,15.0,15.6,14.9
陕西,610000,1.7,1.6,2.1,2.2,2.5,2.8,3.3,3.1,3.2,3.4,3.7,3.5
青海,630000,,,2.1,2.0,2.0,1.7,2.0,1.9,1.8,2.1,2.4,2.5
黑龙江,230000,,,7.9,8.3,8.2,9.0,10.3,10.3,10.7,11.2,11.8,11.9
