省份,行政区划代码,2000年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,,2.6,2.8,2.9,3.0,3.5,4.2,4.4,4.3,4.9,5.4
云南,530000,,,,1.6,1.8,1.7,2.0,2.1,1.7,1.9,2.0,2.3,3.0
内蒙古,150000,,,,3.8,4.3,4.3,3.3,3.5,3.9,4.1,4.0,4.3,6.1
北京,110000,,,,3.3,2.9,2.9,3.3,3.6,3.9,4.0,3.8,3.8,4.1
吉林,220000,,,,1.7,2.1,2.2,2.3,2.5,2.7,2.9,2.9,3.2,4.4
四川,510000,,,1.19,1.17,1.27,1.54,1.73,1.9,1.9,1.9,1.9,2.6,2.7
天津,120000,,,,2.6,2.8,3.0,2.9,2.8,2.9,2.6,2.8,2.9,3.5
宁夏,640000,,,,3.5,3.5,3.6,4.1,4.8,4.9,5.0,6.0,6.5,8.4
安徽,340000,,,,1.5,1.8,1.9,2.2,2.3,2.3,2.6,2.7,3.2,4.2
山东,370000,,0.93,1.0,1.0,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.9,2.5
山西,140000,,,,0.6,0.7,0.8,0.7,0.7,0.8,0.8,0.8,1.0,1.2
广东,440000,,,,1.8,1.8,2.0,2.2,3.1,3.2,3.0,3.4,4.2,5.0
广西,450000,,,,1.3,1.6,1.8,1.9,2.0,1.9,1.8,1.7,2.3,3.0
新疆,650000,,,,4.6,4.8,4.6,5.1,5.0,5.3,6.5,6.1,6.9,8.0
江苏,320000,,1.53,1.55,1.7,1.8,1.9,2.1,2.3,2.2,2.6,2.5,4.0,4.6
江西,360000,,,,1.6,1.8,2.1,2.2,2.5,2.6,3.0,3.1,4.1,4.9
河北,130000,,0.98,1.05,1.2,1.4,1.4,1.5,1.5,1.7,1.5,1.5,2.0,2.8
河南,410000,,,,1.2,1.2,1.2,1.2,1.4,1.5,1.9,1.7,2.1,3.2
浙江,330000,,,,1.7,1.8,2.0,2.5,2.7,2.9,3.5,3.7,4.7,5.7
海南,450000,,,,1.5,1.9,1.8,21.0,1.4,2.4,2.9,2.7,3.5,4.2
湖北,420000,,,,1.6,1.6,1.7,1.9,2.3,2.5,2.5,2.5,2.9,3.4
湖南,430000,,,,1.5,1.8,1.9,1.9,2.2,2.2,2.2,2.4,3.1,3.8
甘肃,620000,,,,1.4,1.4,1.4,1.2,1.5,1.6,1.8,1.6,2.0,2.5
福建,350000,,,,1.5,1.9,1.9,1.9,2.2,2.1,2.4,2.5,3.5,4.2
西藏,540000,,,,26.4,21.8,13.9,17.9,17.5,17.4,21.9,23.0,25.8,25.9
贵州,520000,2.36,,,1.2,1.2,1.2,1.0,1.0,1.0,1.1,1.1,1.2,1.6
辽宁,210000,,,,2.1,2.6,2.6,2.6,2.7,3.1,3.8,3.8,3.9,4.8
重庆,500000,,1.31,1.26,1.26,1.37,1.43,1.34,1.7,1.9,2.3,2.7,3.3,3.5
陕西,610000,,0.6,0.7,0.6,0.6,0.7,1.0,1.2,1.2,1.2,1.3,1.4,1.8
青海,630000,,,,4.5,5.0,5.3,9.4,9.0,10.0,5.1,9.9,10.3,10.8
黑龙江,230000,,,,1.5,1.8,1.9,2.0,1.9,2.3,2.5,2.6,2.9,3.9
