省份,行政区划代码,2000年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,,12.1,13.3,12.8,12.3,13.1,14.0,14.2,12.6,12.7,13.0
云南,530000,,,,7.4,7.9,7.6,6.7,7.9,9.6,10.2,10.0,11.2,11.2
内蒙古,150000,,,,5.1,5.9,5.3,5.6,6.5,8.0,7.4,6.8,8.3,9.2
北京,110000,,,,6.0,5.7,5.5,5.8,6.5,7.9,7.6,6.9,7.3,6.9
吉林,220000,,,,3.8,4.8,5.0,4.9,5.6,7.1,7.2,6.0,6.0,6.2
四川,510000,,,10.46,10.66,11.3,10.95,10.45,13.2,14.5,13.1,12.6,12.4,11.9
天津,120000,,,,4.9,5.6,5.6,5.7,6.1,7.0,6.7,6.5,6.6,6.6
宁夏,640000,,,,6.0,6.1,6.0,6.8,7.7,8.4,9.2,8.7,8.3,8.4
安徽,340000,,,,10.8,11.9,10.2,12.0,14.7,15.7,15.5,15.0,17.1,17.8
山东,370000,,3.83,5.6,5.9,6.3,5.9,6.0,6.5,8.2,9.3,8.1,9.5,9.9
山西,140000,,,,2.1,2.1,2.3,2.4,2.9,4.1,4.0,3.7,4.0,4.0
广东,440000,,,,18.6,20.1,20.6,21.1,25.9,31.1,24.6,24.3,24.9,25.0
广西,450000,,,,18.6,19.5,19.6,18.5,24.8,30.7,26.1,22.9,21.7,22.3
新疆,650000,,,,5.2,5.8,6.0,4.9,5.3,6.9,6.5,6.0,5.2,5.5
江苏,320000,,7.27,9.47,9.9,11.1,10.3,10.7,12.4,13.2,14.0,14.2,15.9,16.6
江西,360000,,,,8.1,8.5,8.4,8.7,10.6,12.8,13.7,13.4,14.6,15.6
河北,130000,,2.01,3.77,4.0,4.4,4.1,4.9,5.4,7.2,8.1,8.1,9.1,8.5
河南,410000,,,,5.1,5.7,5.3,6.0,6.9,8.7,9.5,8.7,10.6,10.4
浙江,330000,,,,9.8,10.6,10.6,10.7,11.9,13.0,14.3,13.8,13.2,14.1
海南,450000,,19.29,18.61,18.91,21.5,20.41,18.76,24.7,30.4,28.2,26.3,25.8,26.3
湖北,420000,,,,5.5,6.1,5.4,5.6,7.0,7.7,8.5,8.0,9.6,8.3
湖南,430000,,,,9.7,10.7,10.7,10.8,13.7,15.8,15.3,14.3,13.1,13.5
甘肃,620000,,,,4.0,4.2,4.4,4.8,5.6,6.3,6.5,5.7,5.2,5.3
福建,350000,,,,10.6,12.2,11.8,11.5,13.0,15.7,15.0,13.6,14.6,14.5
西藏,540000,,,,0.9,0.9,1.4,1.5,1.7,1.2,1.2,1.0,1.2,1.0
贵州,520000,,,,5.1,5.4,5.0,4.6,5.6,6.6,6.9,6.9,7.0,7.4
辽宁,210000,,,,4.7,5.3,5.2,5.1,5.6,7.1,7.5,6.8,7.5,7.6
重庆,500000,4.09,,,10.2,11.3,11.6,10.0,11.9,13.6,14.6,14.5,14.1,13.9
陕西,610000,,1.5,1.6,2.3,2.8,2.7,2.9,3.5,4.0,4.1,4.1,4.5,4.3
青海,630000,,,,3.2,3.2,3.5,2.9,3.4,3.7,3.9,3.8,3.9,4.1
黑龙江,230000,,,,4.5,5.5,5.7,5.3,6.0,8.2,8.6,6.9,6.9,7.1
