省份,行政区划代码,2000年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,,1.0,1.1,0.9,1.1,1.0,1.0,1.2,1.1,1.3,1.5
云南,530000,,,,0.4,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.6
内蒙古,150000,,,,8.6,9.9,8.9,7.5,6.4,6.4,7.1,6.6,7.4,8.4
北京,110000,,,,3.0,3.1,2.8,2.7,2.6,3.1,3.4,2.9,3.4,3.3
吉林,220000,,,,0.7,1.0,0.8,0.7,0.6,0.8,0.8,0.8,1.1,1.2
四川,510000,,,0.3,0.38,0.6,0.53,0.48,0.4,0.4,0.5,0.5,0.5,0.6
天津,120000,,,,3.0,3.3,3.2,2.7,2.6,2.7,2.7,2.96,3.1,3.3
宁夏,640000,,,,5.4,5.3,4.7,4.1,4.1,4.4,5.0,5.9,5.5,5.8
安徽,340000,,,,0.7,1.0,0.9,0.9,0.9,0.9,1.1,1.0,1.4,1.6
山东,370000,,0.7,0.8,1.0,1.3,1.1,1.0,1.0,1.0,1.1,1.2,1.9,2.1
山西,140000,,,,1.2,1.5,1.3,1.1,1.1,1.3,1.5,1.3,1.4,1.4
广东,440000,,,,0.6,0.8,0.7,0.7,0.7,0.6,0.7,0.7,0.9,0.9
广西,450000,,,,0.4,0.7,0.8,0.7,0.6,0.5,0.5,0.5,0.6,0.7
新疆,650000,,,,13.2,13.1,11.7,14.0,12.2,12.7,13.3,13.9,16.6,16.3
江苏,320000,,0.67,0.69,0.8,1.0,0.8,0.9,0.8,0.8,1.1,1.1,1.4,1.4
江西,360000,,,,0.2,0.3,0.4,0.4,0.3,0.3,0.5,0.5,0.7,0.8
河北,130000,,0.81,0.9,1.3,1.5,1.4,1.4,1.3,1.6,1.6,1.6,2.3,2.4
河南,410000,,,,0.9,1.1,1.1,1.1,1.0,1.1,1.4,1.3,1.6,2.0
浙江,330000,,,,0.5,0.7,0.6,0.7,0.7,0.6,0.8,0.9,1.1,1.4
海南,450000,,,,0.6,0.7,0.8,1.0,0.9,0.8,1.1,0.9,1.1,1.2
湖北,420000,,,,0.6,0.8,0.6,0.6,0.6,0.7,0.7,0.7,1.0,1.0
湖南,430000,,,,0.5,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.8,0.9
甘肃,620000,,,,2.4,2.8,2.4,2.4,2.2,1.8,1.8,2.3,2.4,2.3
福建,350000,,,,0.7,0.8,0.8,0.7,0.7,0.6,0.8,0.8,0.9,1.2
西藏,540000,,,,5.8,9.6,7.9,4.5,3.7,5.5,6.6,6.6,6.7,5.1
贵州,520000,0.68,,,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.4,0.3,0.3
辽宁,210000,,,,1.3,1.8,1.5,1.3,1.1,1.4,1.6,1.5,1.9,2.1
重庆,500000,,0.39,0.35,0.52,0.76,0.75,0.58,0.5,0.5,0.7,0.7,1.0,0.9
陕西,610000,,0.7,0.7,1.0,1.2,1.2,1.1,1.4,1.3,1.2,1.2,1.4,1.5
青海,630000,,,,6.9,8.0,7.1,6.6,5.5,4.7,5.1,5.6,6.6,6.1
黑龙江,230000,,,,1.2,1.5,1.4,1.1,1.1,1.4,1.6,1.6,2.0,2.0
