省份,行政区划代码,2000年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,,10.4,11.1,10.7,12.0,12.3,13.9,14.0,14.3,15.0,14.5
云南,530000,,,,5.0,4.8,4.5,4.3,4.5,5.4,6.0,6.2,7.8,6.0
内蒙古,150000,,,,9.3,9.3,9.1,9.2,11.0,14.3,13.7,14.2,16.5,16.9
北京,110000,,,,13.7,12.0,12.1,14.6,14.5,16.9,16.2,16.3,17.4,15.6
吉林,220000,,,,9.7,10.3,10.9,10.1,11.1,14.0,14.4,14.4,15.1,16.2
四川,510000,,,8.18,8.73,8.61,8.89,8.43,9.0,9.9,10.0,9.8,11.4,9.7
天津,120000,,,,16.8,17.8,18.3,17.7,18.5,21.5,20.0,20.2,19.9,19.6
宁夏,640000,,,,6.0,5.5,5.5,5.9,6.2,7.4,7.6,8.4,7.6,7.5
安徽,340000,,,,10.5,11.3,11.6,11.3,12.5,14.2,13.8,13.8,17.1,15.6
山东,370000,,13.6,14.1,15.7,16.7,17.2,16.0,17.5,20.1,21.3,22.4,25.1,24.7
山西,140000,,,,10.3,10.0,10.9,11.3,13.4,16.3,17.1,16.5,15.0,15.1
广东,440000,,,,6.9,7.0,7.3,7.4,8.4,9.9,8.4,8.8,10.0,10.0
广西,450000,,,,5.7,5.3,5.6,5.5,6.3,7.6,6.4,6.2,6.7,6.5
新疆,650000,,,,6.8,6.6,6.5,5.6,6.4,8.5,8.4,9.0,8.6,9.6
江苏,320000,,9.54,9.47,10.2,10.3,10.7,10.5,11.3,13.2,14.1,15.2,17.4,17.4
江西,360000,,,,7.5,6.8,7.0,7.2,7.7,9.5,11.2,11.1,13.1,10.7
河北,130000,,11.27,10.58,12.5,13.3,14.0,13.7,15.7,18.7,20.2,22.1,23.4,19.6
河南,410000,,,,12.3,12.8,14.3,12.8,14.6,18.9,20.0,20.1,24.3,22.9
浙江,330000,,,,7.6,8.1,8.5,8.4,9.2,10.6,12.4,12.4,13.2,13.4
海南,450000,,,4.18,4.8,4.78,4.5,4.8,4.9,5.6,5.8,5.3,6.0,5.8
湖北,420000,,,,8.5,8.4,7.6,7.1,7.6,9.7,9.6,9.9,10.8,9.0
湖南,430000,,,,7.2,7.6,8.0,7.8,8.7,10.3,10.9,10.7,12.3,10.7
甘肃,620000,,,,7.6,7.1,7.3,8.7,8.1,9.3,10.4,10.3,9.5,9.6
福建,350000,,,,8.2,8.8,8.7,8.6,9.1,10.7,11.4,11.1,10.4,13.1
西藏,540000,,,,3.1,2.9,3.7,3.6,3.2,2.4,2.7,3.3,3.0,3.2
贵州,520000,,,,4.4,4.3,4.2,3.4,3.7,4.8,4.8,5.2,5.2,5.3
辽宁,210000,,,,12.3,13.3,13.6,12.1,13.1,16.6,17.5,18.7,19.4,19.3
重庆,500000,5.79,8.9,9.12,10.14,9.88,9.84,9.77,10.3,11.8,14.2,14.7,15.3,14.0
陕西,610000,,,,7.6,7.0,8.0,7.8,8.9,10.3,11.4,12.3,12.8,12.4
青海,630000,,,,4.3,4.6,4.8,3.7,4.2,5.2,5.6,7.0,6.6,6.3
黑龙江,230000,,,,9.6,9.9,11.1,10.9,12.2,16.4,16.7,16.0,16.5,17.1
