year,national_reference,series
2013,113.49,全国历史
2014,117.34,全国历史
2015,120.7,全国历史
2016,121.59,全国历史
2017,123.59,全国历史
2018,132.26,全国历史
2019,131.64,全国历史
2020,133.21,全国历史
2021,157.89,全国历史
2022,161.72,全国历史
2023,180.87,全国历史
2024,172.66,全国历史
2025,175.7252572049035,全国校准主序列
2026,179.9088100421585,全国校准主序列
2027,184.21056481216883,全国校准主序列
2028,188.7143681827415,全国校准主序列
2029,193.5770304261476,全国校准主序列
2030,198.2387816276649,全国校准主序列
2031,203.0096349055037,全国校准主序列
2032,207.89630479866736,全国校准主序列
2033,211.50796757542292,全国校准主序列
2034,208.50796757542292,全国校准主序列
2035,205.50796757542292,全国校准主序列
