省份,年份,行政区划代码,猪肉（千克/人）（折算）,牛肉（千克/人）（折算）,羊肉（千克/人）（折算）,禽肉（千克/人）（折算）,水产品（千克/人）（折算）,蛋类（千克/人）（折算）,奶类（千克/人）（折算）,饲料粮折算值（千克/人）
上海,2000,310000,,,,,,,,
上海,2001,310000,,,,,,,,
上海,2002,310000,,,,,,,,
上海,2003,310000,,,,,,,,
上海,2004,310000,,,,,,,,
上海,2005,310000,,,,,,,,
上海,2006,310000,,,,,,,,
上海,2007,310000,,,,,,,,
上海,2008,310000,,,,,,,,
上海,2009,310000,,,,,,,,
上海,2010,310000,,,,,,,,
上海,2011,310000,,,,,,,,
上海,2012,310000,,,,,,,,
上海,2013,310000,,,,,,,,
上海,2014,310000,,,,,,,,
上海,2015,310000,67.98,5.2,1.0,22.99,20.16,20.8,10.85,148.98
上海,2016,310000,66.66,5.6,1.1,25.27,20.560000000000002,22.2,10.5,151.89
上海,2017,310000,64.35,5.8,0.9,24.32,20.080000000000002,21.4,10.4,147.25
上海,2018,310000,73.91999999999999,6.0,1.1,23.37,19.6,24.0,10.4,158.39
上海,2019,310000,65.34,7.0,1.0,24.889999999999997,21.76,24.6,10.4,154.99
上海,2020,310000,63.03,8.4,1.0,26.599999999999998,21.680000000000003,27.8,11.55,160.06000000000003
上海,2021,310000,76.23,8.8,1.2,26.979999999999997,22.32,28.0,12.0,175.53
上海,2022,310000,76.89,8.6,1.1,23.939999999999998,19.680000000000003,28.6,10.3,169.10999999999999
上海,2023,310000,79.53,9.8,1.3,24.13,19.6,30.0,10.95,175.30999999999997
上海,2024,310000,76.89,10.8,1.5,24.7,19.12,29.0,10.25,172.26
云南,2000,530000,,,,,,,,
云南,2001,530000,,,,,,,,
云南,2002,530000,,,,,,,,
云南,2003,530000,,,,,,,,
云南,2004,530000,,,,,,,,
云南,2005,530000,,,,,,,,
云南,2006,530000,,,,,,,,
云南,2007,530000,,,,,,,,
云南,2008,530000,,,,,,,,
云南,2009,530000,,,,,,,,
云南,2010,530000,,,,,,,,
云南,2011,530000,,,,,,,,
云南,2012,530000,,,,,,,,
云南,2013,530000,,,,,,,,
云南,2014,530000,,,,,,,,
云南,2015,530000,85.46999999999998,3.2,0.4,14.06,2.9600000000000004,10.0,2.75,118.83999999999999
云南,2016,530000,86.46,3.6,0.5,15.01,3.12,9.6,2.65,120.94
云南,2017,530000,88.77,3.4,0.5,14.44,2.9600000000000004,9.0,2.65,121.72
云南,2018,530000,90.75,4.0,0.4,12.73,2.8000000000000003,8.6,2.55,121.83
云南,2019,530000,91.41,4.2,0.4,15.01,3.6,9.0,2.9,126.52000000000001
云南,2020,530000,81.50999999999999,3.4,0.3,18.24,3.84,10.8,3.1,121.18999999999998
云南,2021,530000,101.64,3.8,0.4,19.38,4.16,12.0,3.6,144.98
云南,2022,530000,110.21999999999998,4.0,0.4,19.0,4.4,12.4,3.3,153.72000000000003
云南,2023,530000,116.82,4.6,0.5,21.279999999999998,5.04,15.6,4.0,167.83999999999997
云南,2024,530000,113.52,6.0,0.6,21.279999999999998,4.88,12.0,3.85,162.12999999999997
内蒙古,2000,150000,,,,,,,,
内蒙古,2001,150000,,,,,,,,
内蒙古,2002,150000,,,,,,,,
内蒙古,2003,150000,,,,,,,,
内蒙古,2004,150000,,,,,,,,
内蒙古,2005,150000,,,,,,,,
内蒙古,2006,150000,,,,,,,,
内蒙古,2007,150000,,,,,,,,
内蒙古,2008,150000,,,,,,,,
内蒙古,2009,150000,,,,,,,,
内蒙古,2010,150000,,,,,,,,
内蒙古,2011,150000,,,,,,,,
内蒙古,2012,150000,,,,,,,,
内蒙古,2013,150000,,,,,,,,
内蒙古,2014,150000,,,,,,,,
内蒙古,2015,150000,55.76999999999999,7.6,8.6,9.69,3.9200000000000004,18.6,10.95,115.12999999999998
内蒙古,2016,150000,54.449999999999996,8.6,9.9,11.21,4.16,18.6,11.35,118.26999999999998
内蒙古,2017,150000,56.099999999999994,8.6,8.9,10.069999999999999,3.9200000000000004,18.2,11.35,117.13999999999999
内蒙古,2018,150000,66.0,6.6,7.5,10.639999999999999,4.16,18.4,11.1,124.39999999999998
内蒙古,2019,150000,64.35,7.0,6.4,12.35,5.36,22.0,12.0,129.45999999999998
内蒙古,2020,150000,60.39,7.8,6.4,15.2,5.2,28.6,12.4,135.99
内蒙古,2021,150000,88.44,8.2,7.1,14.06,5.120000000000001,27.4,11.9,162.22
内蒙古,2022,150000,82.16999999999999,8.0,6.6,12.92,5.28,28.4,10.45,153.81999999999996
内蒙古,2023,150000,90.41999999999999,8.6,7.4,15.770000000000001,6.4,33.0,12.7,174.28999999999996
内蒙古,2024,150000,84.14999999999999,12.2,8.4,17.479999999999997,6.4,33.8,14.65,177.08
北京,2000,110000,,,,,,,,
北京,2001,110000,,,,,,,,
北京,2002,110000,,,,,,,,
