省份,year,indicator,indicator_code,forecast_method,median_robust_trend
上海,2025,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,171.17
上海,2026,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,170.2326
上海,2027,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,169.426436
上海,2028,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,168.73313495999997
上海,2029,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,168.13689606559998
上海,2030,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,167.62413061641598
上海,2031,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,167.18315233011774
上海,2032,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,166.80391100390125
上海,2033,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,166.47776346335507
上海,2034,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,166.19727657848534
上海,2035,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,165.9560578574974
云南,2025,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,162.62999999999997
云南,2026,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,163.05999999999997
云南,2027,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,163.42979999999997
云南,2028,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,163.74782799999997
云南,2029,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,164.02133207999998
云南,2030,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,164.25654558879998
云南,2031,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,164.45882920636797
云南,2032,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,164.63279311747644
云南,2033,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,164.78240208102974
云南,2034,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models,164.91106578968558
