省份,year,exponential_decline,local_trend,robust_linear,median_robust_trend,indicator,indicator_code,forecast_method
上海,2025,171.06912792488015,171.17,172.10999999999999,171.17,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2026,169.90765858605803,170.2326,171.95999999999998,170.2326,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2027,168.77486602738782,169.426436,171.81,169.426436,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2028,167.67004221664482,168.73313495999997,171.66,168.73313495999997,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2029,166.59249660298227,168.13689606559998,171.51,168.13689606559998,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2030,165.5415556853145,167.62413061641598,171.35999999999999,167.62413061641598,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2031,164.516562591357,167.18315233011774,171.20999999999998,167.18315233011774,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2032,163.51687666705968,166.80391100390125,171.06,166.80391100390125,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2033,162.54187307617727,166.47776346335507,170.91,166.47776346335507,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2034,161.59094240972644,166.19727657848534,170.76,166.19727657848534,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
上海,2035,160.66349030508525,165.9560578574974,170.60999999999999,165.9560578574974,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
云南,2025,161.72984134284118,162.62999999999997,162.92999999999998,162.62999999999997,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
云南,2026,161.3677628166929,163.05999999999997,163.72999999999996,163.05999999999997,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
云南,2027,161.0401406179666,163.42979999999997,164.52999999999997,163.42979999999997,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
云南,2028,160.74369579357983,163.74782799999997,165.32999999999996,163.74782799999997,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
云南,2029,160.4754614240916,164.02133207999998,166.12999999999997,164.02133207999998,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
云南,2030,160.23275292977536,164.25654558879998,166.92999999999998,164.25654558879998,饲料粮,feed_grain_pc_kg,median_of_robust_provincial_trend_models
