省份,train_start_year,train_end_year,sample_count,overall_slope,recent_slope,selected_slope,trend_direction,last_observed_value
上海,2015,2024,10,3.25,-1.0900000000000034,-0.15,declining,172.26
云南,2015,2024,10,5.463333333333338,8.740000000000038,3.0,platform,162.12999999999997
内蒙古,2015,2024,10,7.335999999999993,6.53000000000003,3.0,rising,177.08
北京,2015,2024,10,2.9620000000000006,-6.246666666666665,-3.944499999999999,declining,123.45
吉林,2015,2024,10,6.525999999999999,1.6399999999999721,3.0,rising,139.5
四川,2014,2024,11,3.6559999999999917,5.370000000000061,3.0,platform,194.33
天津,2015,2024,10,1.8480000000000019,-1.0666666666666629,-0.15,declining,137.95000000000002
宁夏,2015,2024,10,2.9542857142857133,2.079999999999984,2.342285714285703,platform,87.42999999999999
安徽,2015,2024,10,8.355000000000004,5.039999999999992,3.0,rising,195.37
山东,2013,2024,12,6.294727272727274,3.0400000000000063,3.0,platform,166.46
山西,2015,2024,10,4.798000000000002,-1.1099999999999994,-0.15,declining,95.4
广东,2015,2024,10,6.630000000000003,-1.009999999999991,-0.15,declining,231.42
广西,2015,2024,10,4.412500000000001,0.6100000000000136,2.3211250000000083,rising,187.54
新疆,2015,2024,10,1.9033333333333313,4.989999999999995,3.0,rising,88.11999999999999
江苏,2013,2024,12,6.449041666666667,9.399999999999977,3.0,rising,203.96
江西,2015,2024,10,11.591666666666674,12.859999999999985,3.0,platform,203.16000000000005
河北,2013,2024,12,6.834999999999999,8.640000000000043,-1.19424999999997,declining,142.82000000000002
河南,2015,2024,10,9.166250000000002,7.3100000000000165,3.0,platform,157.68
浙江,2015,2024,10,7.800000000000001,3.090000000000032,3.0,rising,201.17000000000004
海南,2015,2024,10,7.289000000000004,2.1399999999999295,3.0,rising,222.89
湖北,2015,2024,10,4.468571428571423,-3.4166666666666763,-6.478773809523823,declining,144.57999999999996
湖南,2015,2024,10,7.447500000000005,3.819999999999993,3.0,platform,190.21
甘肃,2015,2024,10,3.1199999999999974,-2.506666666666675,-0.5373333333333397,declining,97.40999999999998
福建,2015,2024,10,5.1299999999999955,2.3199999999999648,3.0,rising,204.51
西藏,2015,2024,10,0.23500000000000298,5.1499999999999915,3.0,platform,92.79
贵州,2015,2024,10,1.9675000000000011,3.9000000000000057,3.0,rising,136.6
辽宁,2015,2024,10,7.784285714285717,6.9399999999999835,3.0,platform,174.21999999999997
重庆,2015,2024,10,8.264857142857144,12.179999999999978,3.0,platform,231.87
陕西,2015,2024,10,4.904285714285716,6.1000000000000085,3.0,platform,100.85
青海,2015,2024,10,2.2342857142857144,0.6599999999999966,1.132285714285712,platform,97.24
黑龙江,2015,2024,10,7.532857142857141,-1.7866666666666617,-0.15,declining,146.26
