省份,行政区划代码,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,148.98,151.89,147.25,158.39,154.99,160.06000000000003,175.53,169.10999999999999,175.30999999999997,172.26
云南,530000,,,118.83999999999999,120.94,121.72,121.83,126.52000000000001,121.18999999999998,144.98,153.72000000000003,167.83999999999997,162.12999999999997
内蒙古,150000,,,115.12999999999998,118.26999999999998,117.13999999999999,124.39999999999998,129.45999999999998,135.99,162.22,153.81999999999996,174.28999999999996,177.08
北京,110000,,,116.39,105.35999999999999,103.28999999999999,123.43,121.86,132.85,142.19,132.48,138.24,123.44999999999999
吉林,220000,,,90.24000000000001,92.44999999999999,98.99999999999999,108.58,106.87,108.50999999999998,137.89,135.29,142.89,139.5
四川,510000,,162.11200000000002,166.455,162.043,173.767,180.89299999999997,170.82000000000002,156.31,182.64999999999995,188.01999999999998,206.79000000000002,194.33
天津,120000,,,125.08,130.29,130.7,132.83,128.71,133.17,141.15,142.80999999999997,142.58999999999997,137.95000000000002
宁夏,640000,,,69.06,66.44,63.87,68.87,71.22,73.17,84.02,89.74,85.35000000000001,87.42999999999999
安徽,340000,,,118.94,122.75999999999999,122.14,139.08,144.57,140.79000000000002,161.28,166.32,196.57000000000002,195.36999999999998
山东,370000,96.726,103.96,106.23999999999998,109.32,109.94,117.14999999999999,118.22000000000001,121.26,148.96,149.64,178.41,166.46
山西,140000,,,68.09,65.39999999999999,69.50999999999999,75.22999999999999,79.27,86.73,98.72999999999999,102.24000000000001,99.22,95.39999999999999
广东,440000,,,173.1,173.97,176.56,194.09,201.5,200.49,196.37,208.3,237.88000000000002,231.42
广西,450000,,,152.82,151.85000000000002,155.2,164.66,160.04,159.74,180.20000000000002,180.81,188.11999999999998,187.53999999999996
新疆,650000,,,72.05000000000001,72.51,71.31,69.19,68.41,76.46,83.47,82.75,83.13,88.11999999999999
江苏,320000,122.577,127.192,130.21,131.54,132.2,138.18,133.33,139.71,169.10999999999999,178.51,205.17999999999998,203.96
江西,360000,,,117.13000000000001,114.12999999999997,118.17,135.44,136.29,149.14999999999998,179.14,183.67999999999998,214.33999999999997,203.16000000000003
河北,130000,81.38000000000001,84.41499999999999,88.41000000000001,91.59,92.34,105.17,104.33999999999997,112.97999999999999,141.91,150.41,168.29999999999998,142.82000000000002
河南,410000,,,83.29,84.35,86.93,92.52000000000001,96.01999999999998,103.33,136.02999999999997,137.22000000000003,169.23999999999998,157.68
浙江,330000,,,135.68,136.23,138.97,145.96,147.18,146.36999999999998,189.64000000000001,195.38000000000002,198.08,201.17000000000004
海南,450000,,,155.945,167.50399999999996,156.99499999999998,208.68599999999998,154.95000000000002,157.08999999999997,195.52999999999997,193.44,226.53,222.89
湖北,420000,,,121.08999999999999,117.47,113.3,120.52999999999999,118.79999999999998,122.07999999999998,154.82999999999998,148.34000000000003,166.29999999999998,144.57999999999996
湖南,430000,,,133.89999999999998,135.09999999999997,142.54999999999998,151.73,148.52999999999997,145.90999999999997,177.70000000000002,181.52,203.45999999999995,190.20999999999998
甘肃,620000,,,77.88,75.63,74.49,87.22999999999999,87.35000000000001,84.92999999999999,104.92999999999999,104.6,102.55,97.40999999999998
福建,350000,,,150.59,157.29999999999998,155.93,164.54999999999998,147.18,146.69,176.45,178.76999999999995,205.95000000000005,204.51
西藏,540000,,,99.72,101.91999999999999,82.64999999999999,80.01,73.42,74.05999999999999,83.59,88.74,94.29,92.79
贵州,520000,,,123.94000000000001,118.63,116.30000000000001,117.73,110.58,102.88000000000001,124.16999999999999,133.64999999999998,132.7,136.6
辽宁,210000,,,117.08,123.30000000000001,123.92999999999999,121.5,122.73,129.67,168.57,171.57000000000002,186.33999999999997,174.21999999999997
重庆,500000,,,169.02300000000002,171.764,174.016,184.07099999999997,174.65000000000003,169.40999999999997,212.79,234.03999999999996,246.21999999999994,231.86999999999998
陕西,610000,,,64.07,63.18000000000001,66.69,72.29,74.11,76.38,92.3,98.4,109.53999999999999,100.85
青海,630000,,,74.95,84.57,82.12,80.81,78.07000000000001,78.73,86.75,100.28,100.21000000000001,97.24
黑龙江,230000,,,89.34,93.75,100.81,110.41999999999999,103.66999999999999,117.41999999999999,151.61999999999998,142.07,157.7,146.26
