省份,model,train_start_year,train_end_year,sample_count,status,detail
上海,arima,2015,2024,10,success,
上海,linear_regression,2015,2024,10,success,
上海,logistic_curve,2015,2024,10,success,
上海,mlp,2015,2024,10,success,
云南,arima,2015,2024,10,success,
云南,linear_regression,2015,2024,10,success,
云南,logistic_curve,2015,2024,10,success,
云南,mlp,2015,2024,10,success,
内蒙古,arima,2015,2024,10,success,
内蒙古,linear_regression,2015,2024,10,success,
内蒙古,logistic_curve,2015,2024,10,success,
内蒙古,mlp,2015,2024,10,success,
北京,arima,2015,2024,10,success,
北京,linear_regression,2015,2024,10,success,
北京,logistic_curve,2015,2024,10,success,
北京,mlp,2015,2024,10,success,
吉林,arima,2015,2024,10,success,
吉林,linear_regression,2015,2024,10,success,
吉林,logistic_curve,2015,2024,10,success,
吉林,mlp,2015,2024,10,success,
四川,arima,2014,2024,11,success,
四川,linear_regression,2014,2024,11,success,
四川,logistic_curve,2014,2024,11,success,
四川,mlp,2014,2024,11,success,
天津,arima,2015,2024,10,success,
天津,linear_regression,2015,2024,10,success,
天津,logistic_curve,2015,2024,10,success,
天津,mlp,2015,2024,10,success,
宁夏,arima,2015,2024,10,success,
宁夏,linear_regression,2015,2024,10,success,
宁夏,logistic_curve,2015,2024,10,success,
宁夏,mlp,2015,2024,10,success,
安徽,arima,2015,2024,10,success,
安徽,linear_regression,2015,2024,10,success,
安徽,logistic_curve,2015,2024,10,success,
安徽,mlp,2015,2024,10,success,
山东,arima,2013,2024,12,success,
山东,linear_regression,2013,2024,12,success,
山东,logistic_curve,2013,2024,12,success,
山东,mlp,2013,2024,12,success,
山西,arima,2015,2024,10,success,
山西,linear_regression,2015,2024,10,success,
山西,logistic_curve,2015,2024,10,success,
山西,mlp,2015,2024,10,success,
广东,arima,2015,2024,10,success,
广东,linear_regression,2015,2024,10,success,
广东,logistic_curve,2015,2024,10,success,
广东,mlp,2015,2024,10,success,
广西,arima,2015,2024,10,success,
广西,linear_regression,2015,2024,10,success,
广西,logistic_curve,2015,2024,10,success,
广西,mlp,2015,2024,10,success,
新疆,arima,2015,2024,10,success,
新疆,linear_regression,2015,2024,10,success,
新疆,logistic_curve,2015,2024,10,success,
新疆,mlp,2015,2024,10,success,
江苏,arima,2013,2024,12,success,
江苏,linear_regression,2013,2024,12,success,
江苏,logistic_curve,2013,2024,12,success,
江苏,mlp,2013,2024,12,success,
江西,arima,2015,2024,10,success,
江西,linear_regression,2015,2024,10,success,
江西,logistic_curve,2015,2024,10,success,
江西,mlp,2015,2024,10,success,
河北,arima,2013,2024,12,success,
河北,linear_regression,2013,2024,12,success,
河北,logistic_curve,2013,2024,12,success,
河北,mlp,2013,2024,12,success,
河南,arima,2015,2024,10,success,
河南,linear_regression,2015,2024,10,success,
河南,logistic_curve,2015,2024,10,success,
河南,mlp,2015,2024,10,success,
浙江,arima,2015,2024,10,success,
浙江,linear_regression,2015,2024,10,success,
浙江,logistic_curve,2015,2024,10,success,
浙江,mlp,2015,2024,10,success,
海南,arima,2013,2024,12,success,
海南,linear_regression,2013,2024,12,success,
海南,logistic_curve,2013,2024,12,success,
海南,mlp,2013,2024,12,success,
湖北,arima,2015,2024,10,success,
湖北,linear_regression,2015,2024,10,success,
湖北,logistic_curve,2015,2024,10,success,
湖北,mlp,2015,2024,10,success,
湖南,arima,2015,2024,10,success,
湖南,linear_regression,2015,2024,10,success,
湖南,logistic_curve,2015,2024,10,success,
湖南,mlp,2015,2024,10,success,
甘肃,arima,2015,2024,10,success,
甘肃,linear_regression,2015,2024,10,success,
甘肃,logistic_curve,2015,2024,10,success,
甘肃,mlp,2015,2024,10,success,
福建,arima,2015,2024,10,success,
福建,linear_regression,2015,2024,10,success,
福建,logistic_curve,2015,2024,10,success,
福建,mlp,2015,2024,10,success,
西藏,arima,2015,2024,10,success,
西藏,linear_regression,2015,2024,10,success,
西藏,logistic_curve,2015,2024,10,success,
西藏,mlp,2015,2024,10,success,
贵州,arima,2015,2024,10,success,
贵州,linear_regression,2015,2024,10,success,
贵州,logistic_curve,2015,2024,10,success,
贵州,mlp,2015,2024,10,success,
辽宁,arima,2015,2024,10,success,
辽宁,linear_regression,2015,2024,10,success,
辽宁,logistic_curve,2015,2024,10,success,
辽宁,mlp,2015,2024,10,success,
重庆,arima,2000,2024,13,success,
重庆,linear_regression,2000,2024,13,success,
重庆,logistic_curve,2000,2024,13,success,
重庆,mlp,2000,2024,13,success,
陕西,arima,2015,2024,10,success,
陕西,linear_regression,2015,2024,10,success,
陕西,logistic_curve,2015,2024,10,success,
陕西,mlp,2015,2024,10,success,
青海,arima,2015,2024,10,success,
青海,linear_regression,2015,2024,10,success,
青海,logistic_curve,2015,2024,10,success,
青海,mlp,2015,2024,10,success,
黑龙江,arima,2015,2024,10,success,
黑龙江,linear_regression,2015,2024,10,success,
黑龙江,logistic_curve,2015,2024,10,success,
黑龙江,mlp,2015,2024,10,success,
