排序,省份,均值（千克/人）,分组
1,西藏,206.45,第1组_1-10位
2,内蒙古,160.60999999999999,第1组_1-10位
3,甘肃,152.43,第1组_1-10位
4,重庆,152.29076923076923,第1组_1-10位
5,江西,149.68,第1组_1-10位
6,河北,148.38750000000002,第1组_1-10位
7,湖南,148.14000000000001,第1组_1-10位
8,新疆,147.51,第1组_1-10位
9,黑龙江,146.45999999999998,第1组_1-10位
10,四川,144.20727272727274,第1组_1-10位
11,吉林,142.83999999999997,第2组_11-20位
12,安徽,142.78,第2组_11-20位
13,辽宁,140.15,第2组_11-20位
14,陕西,138.76,第2组_11-20位
15,浙江,136.43,第2组_11-20位
16,河南,136.0,第2组_11-20位
17,山西,135.69,第2组_11-20位
18,广西,134.18,第2组_11-20位
19,云南,129.76,第2组_11-20位
20,山东,125.50416666666666,第2组_11-20位
21,江苏,125.21833333333332,第3组_21-31位
22,福建,124.29,第3组_21-31位
23,贵州,122.16,第3组_21-31位
24,湖北,118.02000000000001,第3组_21-31位
25,宁夏,115.5,第3组_21-31位
26,广东,114.42,第3组_21-31位
27,青海,114.33,第3组_21-31位
28,天津,110.74000000000001,第3组_21-31位
29,上海,104.53,第3组_21-31位
30,海南,102.35416666666667,第3组_21-31位
31,北京,92.89,第3组_21-31位
