省份,year,indicator,indicator_code,forecast_method,median_robust_trend
上海,2025,口粮,grain_raw,median_of_robust_provincial_trend_models,87.58749999999999
上海,2026,口粮,grain_raw,median_of_robust_provincial_trend_models,81.57499999999999
上海,2027,口粮,grain_raw,median_of_robust_provincial_trend_models,75.5625
上海,2028,口粮,grain_raw,median_of_robust_provincial_trend_models,69.54999999999998
上海,2029,口粮,grain_raw,median_of_robust_provincial_trend_models,63.969130746666664
上海,2030,口粮,grain_raw,median_of_robust_provincial_trend_models,60.284119108800006
上海,2031,口粮,grain_raw,median_of_robust_provincial_trend_models,57.11500910023467
上海,2032,口粮,grain_raw,median_of_robust_provincial_trend_models,54.38957449286849
上海,2033,口粮,grain_raw,median_of_robust_provincial_trend_models,52.04570073053357
上海,2034,口粮,grain_raw,median_of_robust_provincial_trend_models,50.029969294925536
上海,2035,口粮,grain_raw,median_of_robust_provincial_trend_models,48.29644026030263
云南,2025,口粮,grain_raw,median_of_robust_provincial_trend_models,112.228125
云南,2026,口粮,grain_raw,median_of_robust_provincial_trend_models,106.25625000000001
云南,2027,口粮,grain_raw,median_of_robust_provincial_trend_models,100.28437500000001
云南,2028,口粮,grain_raw,median_of_robust_provincial_trend_models,94.3125
云南,2029,口粮,grain_raw,median_of_robust_provincial_trend_models,89.45175238400002
云南,2030,口粮,grain_raw,median_of_robust_provincial_trend_models,85.87650705024001
云南,2031,口粮,grain_raw,median_of_robust_provincial_trend_models,82.80179606320641
云南,2032,口粮,grain_raw,median_of_robust_provincial_trend_models,80.15754461435753
云南,2033,口粮,grain_raw,median_of_robust_provincial_trend_models,77.88348836834747
云南,2034,口粮,grain_raw,median_of_robust_provincial_trend_models,75.92779999677883
云南,2035,口粮,grain_raw,median_of_robust_provincial_trend_models,74.2459079972298
内蒙古,2025,口粮,grain_raw,median_of_robust_provincial_trend_models,162.6527777777778
内蒙古,2026,口粮,grain_raw,median_of_robust_provincial_trend_models,160.5055555555556
内蒙古,2027,口粮,grain_raw,median_of_robust_provincial_trend_models,158.35833333333338
内蒙古,2028,口粮,grain_raw,median_of_robust_provincial_trend_models,156.21111111111117
内蒙古,2029,口粮,grain_raw,median_of_robust_provincial_trend_models,154.06388888888895
内蒙古,2030,口粮,grain_raw,median_of_robust_provincial_trend_models,151.91666666666674
内蒙古,2031,口粮,grain_raw,median_of_robust_provincial_trend_models,149.76944444444453
内蒙古,2032,口粮,grain_raw,median_of_robust_provincial_trend_models,147.62222222222232
内蒙古,2033,口粮,grain_raw,median_of_robust_provincial_trend_models,145.4750000000001
内蒙古,2034,口粮,grain_raw,median_of_robust_provincial_trend_models,143.66389999838952
内蒙古,2035,口粮,grain_raw,median_of_robust_provincial_trend_models,142.822953998615
北京,2025,口粮,grain_raw,median_of_robust_provincial_trend_models,80.5625
