省份,year,indicator,indicator_code,model,value_kg_per_capita
上海,2025,口粮,grain_raw,robust_linear,87.58749999999999
上海,2026,口粮,grain_raw,robust_linear,81.57499999999999
上海,2027,口粮,grain_raw,robust_linear,75.5625
上海,2028,口粮,grain_raw,robust_linear,69.54999999999998
上海,2029,口粮,grain_raw,robust_linear,63.53749999999999
上海,2030,口粮,grain_raw,robust_linear,57.52499999999999
上海,2031,口粮,grain_raw,robust_linear,51.51249999999999
上海,2032,口粮,grain_raw,robust_linear,45.499999999999986
上海,2033,口粮,grain_raw,robust_linear,39.48749999999998
上海,2034,口粮,grain_raw,robust_linear,33.47499999999998
上海,2035,口粮,grain_raw,robust_linear,27.462499999999977
上海,2025,口粮,grain_raw,exponential_decline,89.28276170066661
上海,2026,口粮,grain_raw,exponential_decline,85.67670115366957
上海,2027,口粮,grain_raw,exponential_decline,82.66466619821752
上海,2028,口粮,grain_raw,exponential_decline,80.14880312419893
上海,2029,口粮,grain_raw,exponential_decline,78.04737764248162
上海,2030,口粮,grain_raw,exponential_decline,76.29211953610256
上海,2031,口粮,grain_raw,exponential_decline,74.82600472650597
上海,2032,口粮,grain_raw,exponential_decline,73.60140269954104
上海,2033,口粮,grain_raw,exponential_decline,72.57852910558337
上海,2034,口粮,grain_raw,exponential_decline,71.72415326251134
上海,2035,口粮,grain_raw,exponential_decline,71.01051857144387
上海,2025,口粮,grain_raw,local_trend,85.76666666666667
上海,2026,口粮,grain_raw,local_trend,79.03
上海,2027,口粮,grain_raw,local_trend,73.23646666666667
上海,2028,口粮,grain_raw,local_trend,68.254028
上海,2029,口粮,grain_raw,local_trend,63.969130746666664
上海,2030,口粮,grain_raw,local_trend,60.284119108800006
上海,2031,口粮,grain_raw,local_trend,57.11500910023467
上海,2032,口粮,grain_raw,local_trend,54.38957449286849
上海,2033,口粮,grain_raw,local_trend,52.04570073053357
上海,2034,口粮,grain_raw,local_trend,50.029969294925536
上海,2035,口粮,grain_raw,local_trend,48.29644026030263
云南,2025,口粮,grain_raw,robust_linear,112.228125
云南,2026,口粮,grain_raw,robust_linear,106.25625000000001
云南,2027,口粮,grain_raw,robust_linear,100.28437500000001
云南,2028,口粮,grain_raw,robust_linear,94.3125
