省份,行政区划代码,2000年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
上海,310000,,,,102.7,105.4,98.1,110.5,105.3,111.4,117.1,102.1,99.1,93.6
云南,530000,,,,134.5,135.1,126.8,117.3,124.0,139.1,141.0,135.8,125.8,118.2
内蒙古,150000,,,,156.5,156.1,152.3,153.0,169.8,173.1,158.7,153.2,168.6,164.8
北京,110000,,,,90.8,83.8,75.7,91.9,97.3,107.2,109.9,94.5,91.5,86.3
吉林,220000,,,,129.7,137.6,142.2,132.6,140.6,157.5,156.1,147.1,140.7,144.3
四川,510000,,,147.62,160.74,155.84,160.2,146.58,142.7,146.9,147.4,134.3,126.1,117.9
天津,120000,,,,127.4,126.9,120.1,118.3,105.2,111.1,107.2,101.2,98.1,91.9
宁夏,640000,,,,131.1,123.1,111.2,112.1,106.7,115.6,121.0,117.1,109.4,107.7
安徽,340000,,,,142.0,140.9,137.3,139.5,147.3,148.3,151.6,139.5,147.1,134.3
山东,370000,,147.75,131.6,127.4,125.7,122.8,117.2,117.6,124.0,133.9,131.6,127.7,98.8
山西,140000,,,,131.6,134.6,135.7,137.6,139.4,159.3,154.9,133.4,113.6,116.8
广东,440000,,,,118.3,118.1,116.8,108.7,115.9,128.2,111.6,106.5,114.3,105.8
广西,450000,,,,143.4,139.0,133.9,128.3,133.6,141.8,146.7,134.3,122.1,118.7
新疆,650000,,,,181.9,168.1,159.1,156.2,133.6,156.0,132.0,130.4,133.5,124.3
江苏,320000,,129.24,121.48,122.0,116.9,114.8,121.9,120.3,122.1,134.1,131.8,136.7,131.3
江西,360000,,,,150.9,146.2,140.4,134.5,134.0,154.0,174.3,160.9,158.4,143.2
河北,130000,,149.41,133.94,131.5,130.6,124.8,130.8,143.9,161.8,173.8,181.4,171.4,147.3
河南,410000,,,,127.3,125.1,124.5,123.4,132.2,150.9,146.7,137.0,151.0,141.9
浙江,330000,,,,130.6,135.6,134.1,132.9,132.9,137.3,152.1,146.5,133.8,128.5
海南,450000,,105.31,105.09,100.9,99.38,96.03,94.84,99.9,107.7,114.3,104.6,100.0,100.2
湖北,420000,,,,123.1,115.3,112.2,110.9,117.7,132.9,134.9,117.2,116.7,99.3
湖南,430000,,,,148.4,144.4,146.6,137.6,144.1,157.2,161.5,159.1,143.9,138.6
甘肃,620000,,,,159.9,157.4,151.0,151.8,158.0,159.0,165.3,152.5,138.0,131.4
福建,350000,,,,126.7,128.4,122.0,125.1,120.2,124.4,129.2,120.9,129.0,117.0
西藏,540000,,,,276.9,283.3,284.5,208.9,187.6,193.6,161.0,176.0,168.7,124.0
贵州,520000,,,,135.8,129.5,121.1,111.3,108.9,119.3,132.8,121.2,122.2,119.5
辽宁,210000,,,,135.8,134.7,128.6,127.8,127.9,145.9,161.3,149.3,145.7,144.5
重庆,500000,180.42,171.94,146.5,149.77,151.06,152.55,135.74,138.1,149.5,161.0,158.2,149.7,135.3
陕西,610000,,,,132.7,131.1,132.4,131.7,132.2,142.3,153.5,148.2,145.8,137.7
青海,630000,,,,117.6,123.8,116.8,113.2,108.1,112.2,122.4,120.4,106.5,102.3
黑龙江,230000,,,,138.6,142.6,141.2,139.9,138.8,167.1,169.7,148.0,144.1,134.6
